corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,CORINTO,ALEXANDRA  GARCIA DINDICUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20931
Concejo,CAUCA,CORINTO,ALFONSO  TAQUINAS LOPEZ,PARTIDO CAMBIO RADICAL,20963
Concejo,CAUCA,CORINTO,ALIRIO  RODRIGUEZ QUINTERO,PARTIDO ALIANZA VERDE,20981
Concejo,CAUCA,CORINTO,ALVARO  MONSALVE PORRAS,PARTIDO COLOMBIA RENACIENTE,20954
Concejo,CAUCA,CORINTO,AMPARO  CHUVILA GARCIA,PARTIDO POLITICO MIRA,20984
Concejo,CAUCA,CORINTO,ANGELA LISSETH CANO QUITUMBO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20939
Concejo,CAUCA,CORINTO,ANGELA MARCELA OTALORA DAUQUI,PARTIDO LIBERAL COLOMBIANO,20913
Concejo,CAUCA,CORINTO,ARGEMIRO  TROMPETA TALAGA,PARTIDO CAMBIO RADICAL,20970
Concejo,CAUCA,CORINTO,ARMINDA  ROJAS ,PARTIDO LIBERAL COLOMBIANO,20921
Concejo,CAUCA,CORINTO,AURA TULIA CAMAYO CAMPO,PARTIDO CAMBIO RADICAL,20961
Concejo,CAUCA,CORINTO,BEATRIZ  BALANTA ARARAT,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20995
Concejo,CAUCA,CORINTO,CARLOS ALBERTO CARDONA OSPINA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20926
Concejo,CAUCA,CORINTO,CARLOS HUMBERTO VELEZ MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21004
Concejo,CAUCA,CORINTO,CATALINA  LARGO MEZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20936
Concejo,CAUCA,CORINTO,CRISTHIAN ALFREDO MAFLA MUÑOZ,PARTIDO LIBERAL COLOMBIANO,20917
Concejo,CAUCA,CORINTO,DAINER  MORA VARGAS,PARTIDO LIBERAL COLOMBIANO,20919
Concejo,CAUCA,CORINTO,DANIELA FERNANDA AGUILAR ,PARTIDO ALIANZA VERDE,20979
Concejo,CAUCA,CORINTO,DARLY JOHANNA BALLESTEROS VIDARTE,PARTIDO LIBERAL COLOMBIANO,20918
Concejo,CAUCA,CORINTO,DENYS SOLFIRIA YATACUE GUGU,PARTIDO POLITICO MIRA,20991
Concejo,CAUCA,CORINTO,DIEGO FERNANDO MORALES ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21002
Concejo,CAUCA,CORINTO,DIEGO FERNANDO TALAGA MONTOYA,PARTIDO ALIANZA VERDE,20975
Concejo,CAUCA,CORINTO,EDILSON  CASTAÑO RAVE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20937
Concejo,CAUCA,CORINTO,ESPERANZA  JIMENEZ SANDOVAL,PARTIDO COLOMBIA RENACIENTE,20952
Concejo,CAUCA,CORINTO,FABIAN  LIPONS PALCO,PARTIDO ALIANZA VERDE,20982
Concejo,CAUCA,CORINTO,FABIO NELSON RAMOS LATIN,PARTIDO POLITICO MIRA,20988
Concejo,CAUCA,CORINTO,FERNANDO JAIME BUSTAMANTE RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,20910
Concejo,CAUCA,CORINTO,FRANCISCO  ULCUE MOSQUERA,PARTIDO CAMBIO RADICAL,20965
Concejo,CAUCA,CORINTO,GLORIA AMPARO LARGO URMENDIS,PARTIDO LIBERAL COLOMBIANO,20911
Concejo,CAUCA,CORINTO,GLORIA ELENA CAICEDO PALCO,PARTIDO CAMBIO RADICAL,20964
Concejo,CAUCA,CORINTO,GLORIA YANET ARIAS ZAPATA,PARTIDO POLITICO MIRA,20983
Concejo,CAUCA,CORINTO,HAROLD  ARARAT SOLARTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20994
Concejo,CAUCA,CORINTO,HEBERT JESUS TROCHEZ TALAGA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20922
Concejo,CAUCA,CORINTO,HECTOR FABIO KITAMIKADO VILLAMIL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21000
Concejo,CAUCA,CORINTO,HUMBERTO DE JESUS SALAZAR ECHEVERRY,PARTIDO LIBERAL COLOMBIANO,20916
Concejo,CAUCA,CORINTO,JAMES  MORALES MONTOYA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20928
Concejo,CAUCA,CORINTO,JAMES  OROZCO LOPEZ,PARTIDO ALIANZA VERDE,20977
Concejo,CAUCA,CORINTO,JASMIN  GONZALEZ LOZANO,PARTIDO COLOMBIA JUSTA LIBRES,20951
Concejo,CAUCA,CORINTO,JAVIER ANDRES JOAQUI TALAGA,PARTIDO COLOMBIA JUSTA LIBRES,20950
Concejo,CAUCA,CORINTO,JEISON AICARDO MARIN HOLGUIN,PARTIDO POLITICO MIRA,20986
Concejo,CAUCA,CORINTO,JESUS ANTONIO PALACIOS LOPEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20927
Concejo,CAUCA,CORINTO,JESUS HENRRY FERNANDEZ VIDAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20938
Concejo,CAUCA,CORINTO,JESUS MAURICIO LONDOÑO DICUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20935
Concejo,CAUCA,CORINTO,JHIM  PLATA CURE,PARTIDO COLOMBIA JUSTA LIBRES,20948
Concejo,CAUCA,CORINTO,JOHN FREYMAN QUILCUE LEY,PARTIDO ALIANZA VERDE,20973
Concejo,CAUCA,CORINTO,JORGE ALBERTO VARGAS VIVAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21005
Concejo,CAUCA,CORINTO,JORGE ELIECER GUTIERREZ ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20923
Concejo,CAUCA,CORINTO,JORGE ELIECER TUMBO LABIO,PARTIDO COLOMBIA JUSTA LIBRES,20945
Concejo,CAUCA,CORINTO,JOSE ANCIZAR BUITRAGO MEJIA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20929
Concejo,CAUCA,CORINTO,JOSE ARLEX MEJIA RENGIFO,PARTIDO ALIANZA VERDE,20972
Concejo,CAUCA,CORINTO,JOSE CAMILO POLANIA FLOREZ,PARTIDO COLOMBIA JUSTA LIBRES,20944
Concejo,CAUCA,CORINTO,JOSE ELIDES MINA CHARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21006
Concejo,CAUCA,CORINTO,JOSE IGNACIO QUEVEDO ROMERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20941
Concejo,CAUCA,CORINTO,JOSE JAVIER GUGU FERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20940
Concejo,CAUCA,CORINTO,JOSE LI MOSQUERA SALINAS,PARTIDO ALIANZA VERDE,20980
Concejo,CAUCA,CORINTO,JOSE ODAIR PATIÑO GOMEZ,PARTIDO CAMBIO RADICAL,20959
Concejo,CAUCA,CORINTO,JUAN CAMILO POLANIA CARDONA,PARTIDO COLOMBIA RENACIENTE,20953
Concejo,CAUCA,CORINTO,KEVIN ALBERTO CACERES BURGOS,PARTIDO COLOMBIA RENACIENTE,20955
Concejo,CAUCA,CORINTO,LAURENTINO  CRUZ TALAGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20942
Concejo,CAUCA,CORINTO,LEONEL FERNANDO RODRIGUEZ ULCUE,PARTIDO CAMBIO RADICAL,20967
Concejo,CAUCA,CORINTO,LEONORA  CANAS RIVERA,PARTIDO POLITICO MIRA,20985
Concejo,CAUCA,CORINTO,LIFIA  GRUESO RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21003
Concejo,CAUCA,CORINTO,LILIA  CAMPO IPIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20943
Concejo,CAUCA,CORINTO,LINA MARIA MARTINEZ MORALES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21001
Concejo,CAUCA,CORINTO,LUCERO  MUÑOZ QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20996
Concejo,CAUCA,CORINTO,LUIS ENRIQUE VICTORIA JARAMILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20998
Concejo,CAUCA,CORINTO,LUIS HERNANDO ROBAYO MARIN,PARTIDO CAMBIO RADICAL,20960
Concejo,CAUCA,CORINTO,LUZ ALBA TROMPETA LIZ,PARTIDO ALIANZA VERDE,20978
Concejo,CAUCA,CORINTO,LUZ ANGELA FLOREZ CASTAÑO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20930
Concejo,CAUCA,CORINTO,LUZ ELENA MONTOYA RICO,PARTIDO COLOMBIA RENACIENTE,20957
Concejo,CAUCA,CORINTO,LUZ IDALIA OSPINA ARENAS,PARTIDO POLITICO MIRA,20989
Concejo,CAUCA,CORINTO,MANUEL SANTOS GARCIA GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20997
Concejo,CAUCA,CORINTO,MARIA ANGELA CAMACHO CIFUENTES,PARTIDO ALIANZA VERDE,20974
Concejo,CAUCA,CORINTO,MARIA CRISTINA JAMBUEL TORRES,PARTIDO POLITICO MIRA,20990
Concejo,CAUCA,CORINTO,MARIA YESMI MAZO SUAREZ,PARTIDO ALIANZA VERDE,20976
Concejo,CAUCA,CORINTO,MARIBEL  VALENCIA LABIO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,20925
Concejo,CAUCA,CORINTO,MARTHA  CAMPO GUEJIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,20932
Concejo,CAUCA,CORINTO,MARTIN  JASCUE TAQUINAS,PARTIDO CAMBIO RADICAL,20958
Concejo,CAUCA,CORINTO,MILDRETH  GIL PEREZ,PARTIDO POLITICO MIRA,20987
