corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,GUACHENE,ADRIANA MARIA BONILLA ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21312
Concejo,CAUCA,GUACHENE,ALCIDES  RODRIGUEZ AGRON,PARTIDO CAMBIO RADICAL,21262
Concejo,CAUCA,GUACHENE,ALEXANDRA  MINA GUAZA,PARTIDO ALIANZA VERDE,21269
Concejo,CAUCA,GUACHENE,ANGELA MARIA CAMPO VALENCIA,PARTIDO ALIANZA VERDE,21270
Concejo,CAUCA,GUACHENE,ARBEY  ABONIA ARARAT,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21283
Concejo,CAUCA,GUACHENE,ASTRID CAROLINA CARABALI CAMPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21231
Concejo,CAUCA,GUACHENE,BEACTRIZ  ANGOLA HURTADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21284
Concejo,CAUCA,GUACHENE,BETSADIA  VASQUEZ DE ZAPATA,PARTIDO ALIANZA VERDE,21273
Concejo,CAUCA,GUACHENE,CARLOS ADRIAN LUCUMI CAICEDO,PARTIDO ALIANZA VERDE,21275
Concejo,CAUCA,GUACHENE,CARMEN ROSA LERMA ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21306
Concejo,CAUCA,GUACHENE,CESAR AUGUSTO AGRONO ,PARTIDO ALIANZA VERDE,21272
Concejo,CAUCA,GUACHENE,CESAR EDUARDO SANCHEZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,21228
Concejo,CAUCA,GUACHENE,CHRISTIAN EDUARDO ANGOLA BALANTA,PARTIDO COLOMBIA RENACIENTE,21253
Concejo,CAUCA,GUACHENE,CINDY JULIETH BANGUERO QUINTERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,21303
Concejo,CAUCA,GUACHENE,CLARA INES HURTADO QUINTERO,PARTIDO COLOMBIA RENACIENTE,21248
Concejo,CAUCA,GUACHENE,CRUZ OLIVIA BONILLA BEDOYA,PARTIDO COLOMBIA JUSTA LIBRES,21241
Concejo,CAUCA,GUACHENE,DANIEL HUMBERTO CASTRO MINA,PARTIDO ALIANZA VERDE,21267
Concejo,CAUCA,GUACHENE,DENIS ADIELA BANGUERO AMBUILA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21291
Concejo,CAUCA,GUACHENE,DIANA CAROLINA CANCHIMBO OREJUELA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21232
Concejo,CAUCA,GUACHENE,DIANA ESMITH GONZALEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21289
Concejo,CAUCA,GUACHENE,DIANA FARIDE LASSO QUINTERO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21305
Concejo,CAUCA,GUACHENE,DIEGO FERNANDO MONTENEGRO GONZALEZ,PARTIDO CAMBIO RADICAL,21260
Concejo,CAUCA,GUACHENE,DIEGO LUIS MANCILLA CANTOÑI,PARTIDO CAMBIO RADICAL,21261
Concejo,CAUCA,GUACHENE,EIDER  VILLEGAS BANGUERO,PARTIDO LIBERAL COLOMBIANO,21225
Concejo,CAUCA,GUACHENE,ELIACIR  JIMENEZ ARARAT,PARTIDO LIBERAL COLOMBIANO,21229
Concejo,CAUCA,GUACHENE,EMMA GLADYS CASTRO ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,21300
Concejo,CAUCA,GUACHENE,FABIAN  BORRERO MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21233
Concejo,CAUCA,GUACHENE,FANOR  AMBUILA MINOTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21279
Concejo,CAUCA,GUACHENE,FELICIANO  VIVEROS GOMEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,21301
