corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,LA SIERRA,ALBA SIRLEY MUÑOZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21462
Concejo,CAUCA,LA SIERRA,ALBEIRO  PIAMBA LEDEZMA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21474
Concejo,CAUCA,LA SIERRA,ALBEIRO YAMID ORDOÑEZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,21386
Concejo,CAUCA,LA SIERRA,ALDINEBER  HERNANDEZ MORALES,PARTIDO ADA,21417
Concejo,CAUCA,LA SIERRA,AMILBIO  JIMENEZ JIMENEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21464
Concejo,CAUCA,LA SIERRA,ANDRES FERNANDO MANQUILLO LEDEZMA,PARTIDO CONSERVADOR COLOMBIANO,21433
Concejo,CAUCA,LA SIERRA,ANGIE TATIANA PEÑA ORTIZ,PARTIDO COLOMBIA RENACIENTE,21413
Concejo,CAUCA,LA SIERRA,ARGENIS  URIBE AUSECHA,PARTIDO ADA,21423
Concejo,CAUCA,LA SIERRA,ARLES EVELIO ORDOÑEZ VIDAL,PARTIDO ALIANZA VERDE,21445
Concejo,CAUCA,LA SIERRA,ARMANDO  DELGADO BURBANO,PARTIDO CONSERVADOR COLOMBIANO,21431
Concejo,CAUCA,LA SIERRA,BEIMAR  RENGIFO ORDOÑEZ,PARTIDO ALIANZA VERDE,21447
Concejo,CAUCA,LA SIERRA,BERTHA OLIVIA MUÑOZ MUÑOZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21473
Concejo,CAUCA,LA SIERRA,BRIGGITH ALINA CASTRO CERON,PARTIDO CONSERVADOR COLOMBIANO,21434
Concejo,CAUCA,LA SIERRA,BRIYITH MARBEL CASTRO PALECHOR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21396
Concejo,CAUCA,LA SIERRA,CARLOS ARDIVEY VIDAL ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21457
Concejo,CAUCA,LA SIERRA,CARMENZA  QUIJANO GUERRERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21463
Concejo,CAUCA,LA SIERRA,CIRO  HERNANDEZ MUÑOZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21470
Concejo,CAUCA,LA SIERRA,CIRO ANTONIO CAMPO ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21472
Concejo,CAUCA,LA SIERRA,CLAUDIA PATRICIA CASTILLO MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21398
Concejo,CAUCA,LA SIERRA,DARIO  JIMENEZ ORTEGA,PARTIDO ADA,21418
Concejo,CAUCA,LA SIERRA,DUVER AARON JUSPIAN OIME,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21397
Concejo,CAUCA,LA SIERRA,EDIER  CAICEDO ORDOÑEZ,PARTIDO LIBERAL COLOMBIANO,21388
Concejo,CAUCA,LA SIERRA,EDUIN  PEREZ MUÑOZ,PARTIDO CAMBIO RADICAL,21443
Concejo,CAUCA,LA SIERRA,EDWIN ADRIAN PALECHOR CRUZ,PARTIDO ADA,21416
Concejo,CAUCA,LA SIERRA,EGIDIO  LEDEZMA QUIJANO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21471
Concejo,CAUCA,LA SIERRA,EISENHAWER  CORDOBA OBANDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21449
Concejo,CAUCA,LA SIERRA,ELVER  ARCINIEGAS ORDOÑEZ,PARTIDO CAMBIO RADICAL,21439
Concejo,CAUCA,LA SIERRA,ELVIO DIANEY SALAMANCA SOLARTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21461
Concejo,CAUCA,LA SIERRA,ELVIO HERNAN ORDOÑEZ ,PARTIDO CONSERVADOR COLOMBIANO,21432
Concejo,CAUCA,LA SIERRA,ENILSA  LEDEZMA QUIJANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21450
Concejo,CAUCA,LA SIERRA,ENUAR  ORDOÑEZ CRUZ,PARTIDO ADA,21421
Concejo,CAUCA,LA SIERRA,ESTEFANY YOHANA NARVAEZ GUERRERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21451
Concejo,CAUCA,LA SIERRA,EVER JULIAN NOGUERA MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21400
Concejo,CAUCA,LA SIERRA,FABIAN MAURICIO LEITON MORIONES,PARTIDO ADA,21415
Concejo,CAUCA,LA SIERRA,FEDERNEY  HOYOS BAOS,PARTIDO CAMBIO RADICAL,21437
Concejo,CAUCA,LA SIERRA,FERNANDO  ANACONA MUÑOZ,PARTIDO LIBERAL COLOMBIANO,21391
Concejo,CAUCA,LA SIERRA,FRANCY LORENA BARCO CHAVEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21459
Concejo,CAUCA,LA SIERRA,FRANCY OLIVA NARVAEZ CHILITO,PARTIDO ADA,21419
Concejo,CAUCA,LA SIERRA,GINA LORENA CARVAJAL MOSQUERA,PARTIDO CAMBIO RADICAL,21441
Concejo,CAUCA,LA SIERRA,GISETH ALEJANDRA OBANDO DIAZ,PARTIDO LIBERAL COLOMBIANO,21395
Concejo,CAUCA,LA SIERRA,GLORIA DEL CARMEN DELGADO BURBANO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21465
Concejo,CAUCA,LA SIERRA,GUIDO ALBERTO GOMEZ FRANCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21399
Concejo,CAUCA,LA SIERRA,HELDER ANTONIO SEVILLA HOYOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21458
Concejo,CAUCA,LA SIERRA,HELIO  CAMPO NOGUERA,PARTIDO COLOMBIA RENACIENTE,21410
Concejo,CAUCA,LA SIERRA,HELLY YOJANA HOYOS DORADO,PARTIDO COLOMBIA RENACIENTE,21408
Concejo,CAUCA,LA SIERRA,HERNAN  PALECHOR NARVAEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21401
Concejo,CAUCA,LA SIERRA,ISOLINA  HERNANDEZ PAZ,PARTIDO COLOMBIA RENACIENTE,21412
Concejo,CAUCA,LA SIERRA,IVAN ANDRES CHAMORRO ORTEGA,PARTIDO LIBERAL COLOMBIANO,21385
Concejo,CAUCA,LA SIERRA,JABIO ANDRES SEGURA VELASCO,PARTIDO LIBERAL COLOMBIANO,21390
Concejo,CAUCA,LA SIERRA,JAMES EBERLIN MORENO VELASCO,PARTIDO CONSERVADOR COLOMBIANO,21424
Concejo,CAUCA,LA SIERRA,JAMID EDGARDO HERNANDEZ LUNA,PARTIDO ADA,21414
Concejo,CAUCA,LA SIERRA,JESUS ANDRES CACERES MOSQUERA,PARTIDO COLOMBIA RENACIENTE,21405
Concejo,CAUCA,LA SIERRA,JHON HECTOR MOSQUERA PIPICANO,PARTIDO CONSERVADOR COLOMBIANO,21430
Concejo,CAUCA,LA SIERRA,JOAN VLADIMIR GARZON GOMEZ,PARTIDO CAMBIO RADICAL,21440
Concejo,CAUCA,LA SIERRA,JOSE NERID ANACONA HIGON,PARTIDO COLOMBIA RENACIENTE,21407
Concejo,CAUCA,LA SIERRA,JOSE TIRZO MENESES NOGUERA,PARTIDO CAMBIO RADICAL,21435
Concejo,CAUCA,LA SIERRA,JUAN PABLO SUAREZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,21394
Concejo,CAUCA,LA SIERRA,LEIDA ROCIO MUÑOZ ,PARTIDO ALIANZA VERDE,21448
Concejo,CAUCA,LA SIERRA,LENY YASMINTH ALEGRIA VELASCO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21452
Concejo,CAUCA,LA SIERRA,LISBETH JHOANA NOGUERA TEJADA,PARTIDO CAMBIO RADICAL,21438
Concejo,CAUCA,LA SIERRA,LUIS ALFONSO MARTINEZ BURBANO,PARTIDO CAMBIO RADICAL,21436
Concejo,CAUCA,LA SIERRA,LUIS CARLOS VIDAL PALECHOR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21454
Concejo,CAUCA,LA SIERRA,LUIS EDUARDO ORDOÑEZ LOPEZ,PARTIDO LIBERAL COLOMBIANO,21393
Concejo,CAUCA,LA SIERRA,LUIS FERNANDO NOGUERA ,PARTIDO CAMBIO RADICAL,21444
Concejo,CAUCA,LA SIERRA,LUZ AMPARO ORDOÑEZ MUÑOZ,PARTIDO ALIANZA VERDE,21446
Concejo,CAUCA,LA SIERRA,LUZ ANGELA TROCHEZ SALAMANCA,PARTIDO LIBERAL COLOMBIANO,21389
Concejo,CAUCA,LA SIERRA,LUZ DARY RENGIFO QUIÑONEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21469
Concejo,CAUCA,LA SIERRA,MARLEYDI CATERINE CAMPO FRANCO,PARTIDO COLOMBIA RENACIENTE,21409
Concejo,CAUCA,LA SIERRA,MARYERY  DIAZ ,PARTIDO LIBERAL COLOMBIANO,21392
Concejo,CAUCA,LA SIERRA,MARYI JULIETH MAMIAN SOLARTE,PARTIDO CONSERVADOR COLOMBIANO,21425
Concejo,CAUCA,LA SIERRA,MARYOLY  AREVALO GUEVARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21402
Concejo,CAUCA,LA SIERRA,MISAEL  JIMENEZ ANACONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21456
Concejo,CAUCA,LA SIERRA,NESTOR ALONSO LEDEZMA ZUÑIGA,PARTIDO CONSERVADOR COLOMBIANO,21428
Concejo,CAUCA,LA SIERRA,NICOLE DANIELA ARIAS CALDAS,PARTIDO COLOMBIA RENACIENTE,21411
Concejo,CAUCA,LA SIERRA,NORA ALEYDA LEDEZMA AGREDO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21466
Concejo,CAUCA,LA SIERRA,OLGA LUCIA AUSECHA CALVO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,21403
Concejo,CAUCA,LA SIERRA,OMAIRA  ROJAS CRUZ,PARTIDO LIBERAL COLOMBIANO,21387
Concejo,CAUCA,LA SIERRA,OMAR  LOPEZ PIAMBA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21467
Concejo,CAUCA,LA SIERRA,RIKELME  MUÑOZ SALAMANCA,PARTIDO ADA,21420
Concejo,CAUCA,LA SIERRA,ROQUE ALBERTO QUIJANO ANTE,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,21468
Concejo,CAUCA,LA SIERRA,ROSMARY  NARVAEZ CHICANGANA,PARTIDO CONSERVADOR COLOMBIANO,21426
Concejo,CAUCA,LA SIERRA,TELMA  NARVAEZ AUSECHA,PARTIDO CONSERVADOR COLOMBIANO,21429
Concejo,CAUCA,LA SIERRA,UBANY ZULEIMA QUIJANO ORDOÑEZ,PARTIDO COLOMBIA RENACIENTE,21404
Concejo,CAUCA,LA SIERRA,UVERNEY GEOVANNY CHAVEZ CAMPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21455
Concejo,CAUCA,LA SIERRA,WILLIAM  PEREZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,21460
Concejo,CAUCA,LA SIERRA,WILLIAN EDUARDO VALENCIA GARZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,21453
Concejo,CAUCA,LA SIERRA,YANET  GARZON MINA,PARTIDO ADA,21422
Concejo,CAUCA,LA SIERRA,YOHAN SEBASTIAN TRUJILLO PIAMBA,PARTIDO CONSERVADOR COLOMBIANO,21427
Concejo,CAUCA,LA SIERRA,YURANY  TUQUERRES PALECHOR,PARTIDO CAMBIO RADICAL,21442
