corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,SANTANDER DE QUILICHAO,ALDINEVER  IPIA BASTO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22852
Concejo,CAUCA,SANTANDER DE QUILICHAO,ALEJANDRO  CALAMBAS ,PARTIDO ADA,22811
Concejo,CAUCA,SANTANDER DE QUILICHAO,ALONSO ELIAS GONZALEZ CARDONA,PARTIDO CONSERVADOR COLOMBIANO,22835
Concejo,CAUCA,SANTANDER DE QUILICHAO,ALVARO  HERNANDEZ ROZO,PARTIDO CAMBIO RADICAL,22837
Concejo,CAUCA,SANTANDER DE QUILICHAO,AMPARO  RIVERA AGREDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,22877
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANA SOFIA CHAVEZ GUTIERREZ,PARTIDO COLOMBIA RENACIENTE,22795
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANCIZAR  DUQUE MORALES,PARTIDO CONSERVADOR COLOMBIANO,22822
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANDRES DEL CARMEN CALVACHE BLANCO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22861
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANDRES FELIPE LOPEZ CAMBINDO,PARTIDO COLOMBIA RENACIENTE,22797
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANDRES FERNANDO CHAVARRO GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,22881
Concejo,CAUCA,SANTANDER DE QUILICHAO,ANGEL DAVID PALTA CUETIA,PARTIDO COLOMBIA RENACIENTE,22798
Concejo,CAUCA,SANTANDER DE QUILICHAO,CARLOS ANDRES RAMIREZ JARAMILLO,SOMOS ALIANZA POR QUILICHAO,22901
Concejo,CAUCA,SANTANDER DE QUILICHAO,CARLOS ARTURO RAMIREZ ARBELAEZ,PARTIDO COLOMBIA RENACIENTE,22803
