corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,SILVIA,ALEJANDRO  HURTADO TUNUBALA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22950
Concejo,CAUCA,SILVIA,ALEXANDROWA CATHERINE TOMBE QUELAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22979
Concejo,CAUCA,SILVIA,ALFREDO  PEÑA COLLAZOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22951
Concejo,CAUCA,SILVIA,ALIRIO  VIDAL VELASCO,PARTIDO ALIANZA VERDE,22974
Concejo,CAUCA,SILVIA,ANA PIEDAD ZATISABAL OTERO,PARTIDO LIBERAL COLOMBIANO,22940
Concejo,CAUCA,SILVIA,ANIR  RIVERA CAMAYO,PARTIDO ALIANZA VERDE,22969
Concejo,CAUCA,SILVIA,ANSELMO  FERNANDEZ DAGUA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22984
Concejo,CAUCA,SILVIA,BERNARDO JOSE CERON OROZCO,PARTIDO ALIANZA VERDE,22970
Concejo,CAUCA,SILVIA,CAMPO ELIAS ANDRADE PENAGOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22958
Concejo,CAUCA,SILVIA,CARLOS JULIO VELASCO TOMBE,PARTIDO COLOMBIA JUSTA LIBRES,22963
Concejo,CAUCA,SILVIA,DEISY FABIOLA HURTADO SARRIA,PARTIDO LIBERAL COLOMBIANO,22941
Concejo,CAUCA,SILVIA,DIANNY ASONEY PITO PEÑA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,22989
Concejo,CAUCA,SILVIA,DIOSELINA  PERDOMO CHOCUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22957
Concejo,CAUCA,SILVIA,DORA LILIA PILLIMUE ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,22992
Concejo,CAUCA,SILVIA,EDWIN MAURICIO MORALES VELASCO,PARTIDO CONSERVADOR COLOMBIANO,22966
Concejo,CAUCA,SILVIA,ENRIQUE  RAMOS ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,22991
Concejo,CAUCA,SILVIA,EVANGELISTA  HUILA ,PARTIDO COLOMBIA JUSTA LIBRES,22962
Concejo,CAUCA,SILVIA,FABIAN DARIO MUELAS ARANDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22985
Concejo,CAUCA,SILVIA,FREDY ARMANDO VELASCO FERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22955
Concejo,CAUCA,SILVIA,HECTOR EFRAIN QUIGUANAS CAMPO,PARTIDO LIBERAL COLOMBIANO,22942
Concejo,CAUCA,SILVIA,JACINTO  MORALES TOMBE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22986
Concejo,CAUCA,SILVIA,JAIME ENRIQUE CUCHILLO OROZCO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22976
Concejo,CAUCA,SILVIA,JAVIER  ALMENDRA YALANDA,PARTIDO COLOMBIA JUSTA LIBRES,22964
Concejo,CAUCA,SILVIA,JESUS HERNAN VELASCO BOLAÑOS,PARTIDO LIBERAL COLOMBIANO,22944
Concejo,CAUCA,SILVIA,JOHN PABLO CASSO ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22947
Concejo,CAUCA,SILVIA,JOSE ENRIQUE MORALES ULLUNE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,22946
Concejo,CAUCA,SILVIA,JOSE LUIS MORALES RENGIFO,PARTIDO LIBERAL COLOMBIANO,22945
Concejo,CAUCA,SILVIA,JUAN CARLOS MOTTA HURTADO,PARTIDO LIBERAL COLOMBIANO,22939
Concejo,CAUCA,SILVIA,JUDITH MERCEDES HURTADO HURTADO,PARTIDO CONSERVADOR COLOMBIANO,22965
Concejo,CAUCA,SILVIA,JULIANA  PRADO ,PARTIDO ALIANZA VERDE,22972
Concejo,CAUCA,SILVIA,JULIANA  TOMBE ALMENDRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22983
Concejo,CAUCA,SILVIA,JUVENAL  RIVERA BAICUE,PARTIDO LIBERAL COLOMBIANO,22938
Concejo,CAUCA,SILVIA,KLEIDY AMPARO TUMIÑA ARANDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,22978
Concejo,CAUCA,SILVIA,LINA MARCELA FERNANDEZ ULCHUR,PARTIDO LIBERAL COLOMBIANO,22943
Concejo,CAUCA,SILVIA,LISSETH PAOLA CHAVACO VELASCO,PARTIDO ALIANZA VERDE,22973
