corp,dpto,mpio,name,party,wp_no
Concejo,CAUCA,SUCRE,ADAN  ORDOÑEZ BURBANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23073
Concejo,CAUCA,SUCRE,ADOLFO  GOMEZ GALINDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23068
Concejo,CAUCA,SUCRE,ANA YOLANDA OROZCO OCAMPO,PARTIDO LIBERAL COLOMBIANO,23032
Concejo,CAUCA,SUCRE,ANGELA MARCELA MONTENEGRO ACOSTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23072
Concejo,CAUCA,SUCRE,ANYI MAGALI CHICANGANA MENESES,PARTIDO CONSERVADOR COLOMBIANO,23048
Concejo,CAUCA,SUCRE,CARLOS ANCIZAR CHILITO GIRON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23074
Concejo,CAUCA,SUCRE,CARLOS ENRIQUE PAPAMIJA PAPAMIJA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23039
Concejo,CAUCA,SUCRE,CENEIDA  BURBANO MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,23050
Concejo,CAUCA,SUCRE,CRISTIAN CAMILO ACOSTA PRIETO,PARTIDO CAMBIO RADICAL,23055
Concejo,CAUCA,SUCRE,DANILO  SANDOVAL MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,23051
Concejo,CAUCA,SUCRE,DARWIN DANEIRO MUÑOZ GAVIRIA,PARTIDO ALIANZA VERDE,23064
Concejo,CAUCA,SUCRE,DUBER  MUÑOZ GAVIRIA,PARTIDO ALIANZA VERDE,23060
Concejo,CAUCA,SUCRE,EDIT ESPERANZA MUÑOZ HOYOS,PARTIDO CAMBIO RADICAL,23056
Concejo,CAUCA,SUCRE,EDWIN JAIR SOLIS MUÑOZ,PARTIDO ALIANZA VERDE,23062
Concejo,CAUCA,SUCRE,EFREN  ACOSTA ORDOÑEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23078
Concejo,CAUCA,SUCRE,EIMAR  HURTADO ALVEAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23042
Concejo,CAUCA,SUCRE,ELCY MARILU GOMEZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23040
Concejo,CAUCA,SUCRE,ELDAR MARINO IJAJI ,PARTIDO CONSERVADOR COLOMBIANO,23045
Concejo,CAUCA,SUCRE,EMIRO  CHAVEZ HIDALGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23070
Concejo,CAUCA,SUCRE,ENAR FELIPE ACOSTA ORTIZ,PARTIDO LIBERAL COLOMBIANO,23031
Concejo,CAUCA,SUCRE,FABIAN  MAMIAN GALINDEZ,PARTIDO CONSERVADOR COLOMBIANO,23046
Concejo,CAUCA,SUCRE,FLOR ICELDA LASSO ,PARTIDO ALIANZA VERDE,23061
Concejo,CAUCA,SUCRE,GABINO  MOSQUERA MUÑOZ,PARTIDO LIBERAL COLOMBIANO,23034
Concejo,CAUCA,SUCRE,GERMAN  HOYOS CHILITO,PARTIDO ALIANZA VERDE,23063
Concejo,CAUCA,SUCRE,JOSE LISANDRO SOLANO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,23044
Concejo,CAUCA,SUCRE,JUAN CARLOS HOYOS MENESES,PARTIDO ALIANZA VERDE,23058
Concejo,CAUCA,SUCRE,JUAN CARLOS RUIZ ORTEGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23041
Concejo,CAUCA,SUCRE,KELLYN ROXANA BERMEO ZUÑIGA,PARTIDO CONSERVADOR COLOMBIANO,23049
Concejo,CAUCA,SUCRE,KELYN TATIANA RENGIFO MONTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23067
Concejo,CAUCA,SUCRE,LEIDY YOHANA CORREA GIRONZA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23075
Concejo,CAUCA,SUCRE,LUCY MARGOTH PAPAMIJA HOYOS,PARTIDO LIBERAL COLOMBIANO,23033
Concejo,CAUCA,SUCRE,LUIS ARBEY NAVIA ORDOÑEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23077
Concejo,CAUCA,SUCRE,LUISA FERNANDA MUÑOZ JIMENEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23079
Concejo,CAUCA,SUCRE,LUZ NEY MUÑOZ ORDOÑEZ,PARTIDO CAMBIO RADICAL,23053
Concejo,CAUCA,SUCRE,MADELEGNI  DIAZ MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23071
Concejo,CAUCA,SUCRE,MANUEL ENRIQUE MORENO GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,23047
Concejo,CAUCA,SUCRE,NEIDA EUFARIS MAJIN GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23043
Concejo,CAUCA,SUCRE,OBDULIA  MAMIAN CHICANGANA,PARTIDO ALIANZA VERDE,23059
Concejo,CAUCA,SUCRE,ORLANDO  SOLANO MUÑOZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,23076
Concejo,CAUCA,SUCRE,ORLANDO ARBEY AGREDO OBANDO,PARTIDO LIBERAL COLOMBIANO,23030
Concejo,CAUCA,SUCRE,ROBINSON FERNANDO ORTIZ PIPICANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23037
Concejo,CAUCA,SUCRE,ROGER MARINO ERAZO ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23038
Concejo,CAUCA,SUCRE,SANDRA MILENA RUIZ BURBANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23069
Concejo,CAUCA,SUCRE,SEDERLY  HURTADO JIMENEZ,PARTIDO ALIANZA VERDE,23066
Concejo,CAUCA,SUCRE,SULEIDY  MAGIN PALECHOR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23035
Concejo,CAUCA,SUCRE,VICTOR HUGO GOMEZ RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23036
Concejo,CAUCA,SUCRE,YEFERSON STIVEN VILLAMARIN GOMEZ,PARTIDO ALIANZA VERDE,23065
Concejo,CAUCA,SUCRE,YOVANY  CHAVES VEGA,PARTIDO CAMBIO RADICAL,23057
