corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,ASTREA,AISQUEL MARIA CACERES LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,24132
Concejo,CESAR,ASTREA,ALBERTO JESUS RIVERA NUÑEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,24114
Concejo,CESAR,ASTREA,ANDRES REYNALDO MORA CRESPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,24116
Concejo,CESAR,ASTREA,ANGELA MARIA PALACIO CASTILLA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,24161
Concejo,CESAR,ASTREA,ANGELICA DE JESUS VILLALBA ARRIETA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,24167
Concejo,CESAR,ASTREA,ARMANDO DIEGO VERGARA TOMASE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,24183
Concejo,CESAR,ASTREA,BELLANIRIS  GOMEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,24179
Concejo,CESAR,ASTREA,BERNARDO MANUEL PALMEZANO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,24134
Concejo,CESAR,ASTREA,BLEIDIS ALBERTO LOPEZ TINOCO,PARTIDO LIBERAL COLOMBIANO,24099
Concejo,CESAR,ASTREA,BOLIVAR  TORRES ORELLANO,PARTIDO ALIANZA VERDE,24160
Concejo,CESAR,ASTREA,CARLOS ARTURO MADRID PACHECO,PARTIDO CONSERVADOR COLOMBIANO,24142
Concejo,CESAR,ASTREA,CARLOS LAUREANO CAMARGO DIAZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,24125
Concejo,CESAR,ASTREA,CARMEN TERESA MARTINEZ CABALLERO,PARTIDO ALIANZA VERDE,24151
Concejo,CESAR,ASTREA,CESAR AUGUSTO REYES HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,24097
Concejo,CESAR,ASTREA,CESAR EDUARDO MENDOZA CAJAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,24173
Concejo,CESAR,ASTREA,DAIRO  LOPEZ GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,24162
Concejo,CESAR,ASTREA,DAYSY  ECHAVEZ MACHADO,PARTIDO CENTRO DEMOCRATICO,24110
Concejo,CESAR,ASTREA,EDGARDO FARID SALJA CORONADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,24169
Concejo,CESAR,ASTREA,EDIE  DAU CANTILLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,24165
Concejo,CESAR,ASTREA,EDUARDO  HERNANDEZ MEJIA,PARTIDO ALIANZA VERDE,24153
Concejo,CESAR,ASTREA,ELIANA MARGARITA BETANCUR NUÑEZ,PARTIDO LIBERAL COLOMBIANO,24102
Concejo,CESAR,ASTREA,ELINA JUDITH LOPEZ MONTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,24171
Concejo,CESAR,ASTREA,ERIBERTO  MADRID VIDES,PARTIDO CAMBIO RADICAL,24143
Concejo,CESAR,ASTREA,FRANKLIN  CASTRO CANTILLO,PARTIDO CONSERVADOR COLOMBIANO,24137
