corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,EL PASO,AGUSTIN HERNANDO BOLAÑO ZAMBRANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25211
Concejo,CESAR,EL PASO,AIDA LUZ GONZALEZ OSPINO,PARTIDO CAMBIO RADICAL,25194
Concejo,CESAR,EL PASO,ALBA MARINA FRAGOZO LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25224
Concejo,CESAR,EL PASO,ALBEIRO  ROJANO OROZCO,PARTIDO ADA,25149
Concejo,CESAR,EL PASO,ALENYS ENRIQUETA BARAHONA MIELES,PARTIDO COLOMBIA RENACIENTE,25137
Concejo,CESAR,EL PASO,ALEX SAMIR MENDOZA SALAZAR,PARTIDO ADA,25150
Concejo,CESAR,EL PASO,ALEXANDER ALFONSO MENDOZA GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25122
Concejo,CESAR,EL PASO,ALFREDO DAVID MACHACON CERVERA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25092
Concejo,CESAR,EL PASO,ALGEMIRO  CORREA FLOREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25096
Concejo,CESAR,EL PASO,ALVARO  MIELES MARTINEZ,PARTIDO CENTRO DEMOCRATICO,25103
Concejo,CESAR,EL PASO,ALVARO ALBERTO CANTILLO CARMONA,PARTIDO CONSERVADOR COLOMBIANO,25174
Concejo,CESAR,EL PASO,ANA ISABEL PARRA ORTIZ,PARTIDO ADA,25156
Concejo,CESAR,EL PASO,ANA KATERINE MOJICA DAZA,PARTIDO CENTRO DEMOCRATICO,25101
Concejo,CESAR,EL PASO,ANA MARIA CHINCHILLA PAEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25090
Concejo,CESAR,EL PASO,ANDRES EDUARDO CUADRO MARQUEZ,PARTIDO LIBERAL COLOMBIANO,25087
Concejo,CESAR,EL PASO,ANGEL GREGORIO VILLAZON CAMPO,PARTIDO CAMBIO RADICAL,25186
Concejo,CESAR,EL PASO,ANGEL MARIA LOPEZ MEZA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,25171
Concejo,CESAR,EL PASO,ANGEL MARTIN FLOREZ JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,25173
Concejo,CESAR,EL PASO,ANGELA MARIA TORRES FLORES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25217
Concejo,CESAR,EL PASO,ANGELICA MARIA MEJIA BELEÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25216
Concejo,CESAR,EL PASO,AROLDO JOSE IMBRECH OCHOA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25093
Concejo,CESAR,EL PASO,BRAYAN DAVID YEPEZ HERAZO,PARTIDO COLOMBIA JUSTA LIBRES,25128
Concejo,CESAR,EL PASO,BREINER  ESCOBAR ROYERO,PARTIDO ADA,25157
Concejo,CESAR,EL PASO,CANDIDA ESTHER ANDRADES IMBRETH,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,25161
Concejo,CESAR,EL PASO,CARELIS MERCEDES SUAREZ JINETE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,25235
Concejo,CESAR,EL PASO,CARLOS ALBERTO GOMEZ MORALES,PARTIDO CONSERVADOR COLOMBIANO,25172
Concejo,CESAR,EL PASO,CARLOS DAVID NEGRETE PEREZ,PARTIDO ALIANZA VERDE,25203
Concejo,CESAR,EL PASO,CARLOS ERNESTO CORONEL BELEÑO,PARTIDO ALIANZA VERDE,25207
Concejo,CESAR,EL PASO,CARLOS IVAN PARRA VILLARREAL,PARTIDO CONSERVADOR COLOMBIANO,25176
Concejo,CESAR,EL PASO,CARLOS MARIO BLANCO CAMPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25118
Concejo,CESAR,EL PASO,CARLOS MARIO MEDINA GUERRA,PARTIDO COLOMBIA RENACIENTE,25143
Concejo,CESAR,EL PASO,CARMEN MARIA DE LA ROSA SEGOVIA,PARTIDO LIBERAL COLOMBIANO,25088
Concejo,CESAR,EL PASO,CARMEN MARIA OTALORA BERMUDEZ,PARTIDO COLOMBIA RENACIENTE,25136
Concejo,CESAR,EL PASO,CECIL ALFONSO MIZATH ARZUAGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25229
Concejo,CESAR,EL PASO,CELEDONIA YANETH AVENDAÑO CAICEDO,PARTIDO LIBERAL COLOMBIANO,25086
Concejo,CESAR,EL PASO,CESAR ELIECER HERNANDEZ LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25223
Concejo,CESAR,EL PASO,CESIL ENRIQUE BASTIDAS MADRID,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25218
Concejo,CESAR,EL PASO,CIRILO JOSE ESCOBAR MONTERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,25241
Concejo,CESAR,EL PASO,CLARITZA MARELVIS RODRIGUEZ BLANCO,PARTIDO CENTRO DEMOCRATICO,25104
Concejo,CESAR,EL PASO,CRISTHIAN ALFONSO CANTILLO MARTINEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25100
Concejo,CESAR,EL PASO,CRISTIAN FABIAN TRIANA HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,25077
Concejo,CESAR,EL PASO,DARIS ELENA GONZALEZ AGUILAR,PARTIDO ALIANZA VERDE,25197
Concejo,CESAR,EL PASO,DENIXABETH  RODRIGUEZ LONDOÑO,PARTIDO CAMBIO RADICAL,25196
Concejo,CESAR,EL PASO,DIGNA EMERITA CARO FRAGOZO,PARTIDO CONSERVADOR COLOMBIANO,25183
Concejo,CESAR,EL PASO,DOLORES ANAIS GARCIA REDONDO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25089
Concejo,CESAR,EL PASO,DORIS MILENA TORRES RODRIGUEZ,PARTIDO ALIANZA VERDE,25206
Concejo,CESAR,EL PASO,EDGAR LUIS TRESPALACIOS RAMOS,PARTIDO LIBERAL COLOMBIANO,25081
Concejo,CESAR,EL PASO,EDINSON  CHACON POVEDA,PARTIDO COLOMBIA RENACIENTE,25144
Concejo,CESAR,EL PASO,EISTEN  RAMIREZ CERINZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25234
Concejo,CESAR,EL PASO,ELBA  VILLALBA BLANCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25115
Concejo,CESAR,EL PASO,ELIZABETH  MADRID MACEA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25097
Concejo,CESAR,EL PASO,EMIL ENRRIQUE DE AGUAS ROBLES,PARTIDO CAMBIO RADICAL,25189
Concejo,CESAR,EL PASO,EMILCE MIRELLA JIMENEZ BOLAÑOS,PARTIDO ADA,25151
Concejo,CESAR,EL PASO,EMIRO MEL MUÑOZ SUAREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,25247
Concejo,CESAR,EL PASO,ENIS GABRIELA CORDOBA MOLINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25231
Concejo,CESAR,EL PASO,ERICA CRUZ CHARRIS AVILA,PARTIDO CAMBIO RADICAL,25192
Concejo,CESAR,EL PASO,EUCARIS DEL CARMEN BORJA VALENCIA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,25170
Concejo,CESAR,EL PASO,EYERIS MAURICIO GARCIA MANJARREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,25091
Concejo,CESAR,EL PASO,FABIAN ANDRES AREVALO YALI,PARTIDO COLOMBIA RENACIENTE,25142
Concejo,CESAR,EL PASO,FABIO MIGUEL BLANCO MELO,PARTIDO LIBERAL COLOMBIANO,25076
Concejo,CESAR,EL PASO,FEDERICO  MOLINA ROCHA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25117
