corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,GAMARRA,ADRIANO  LEMUS CASTRILLON,PARTIDO CAMBIO RADICAL,25304
Concejo,CESAR,GAMARRA,ALEXANDER  ROJAS GARAY,PARTIDO CAMBIO RADICAL,25307
Concejo,CESAR,GAMARRA,ALVARO  BADILLO RAMOS,PARTIDO ADA,25287
Concejo,CESAR,GAMARRA,ALVARO  MUÑOZ JIMENEZ,PARTIDO CENTRO DEMOCRATICO,25266
Concejo,CESAR,GAMARRA,ANA GRACIELA PACHECO ,PARTIDO ADA,25286
Concejo,CESAR,GAMARRA,ANDRES FELIPE ABUABARA VEGA,PARTIDO CONSERVADOR COLOMBIANO,25290
Concejo,CESAR,GAMARRA,ANDRES MAURICIO ARMESTO SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25324
Concejo,CESAR,GAMARRA,ARISTIDES  ARMESTO PALMA,PARTIDO ALIANZA VERDE,25318
Concejo,CESAR,GAMARRA,CARLOS ALBERTO DE LA ROSA PARRA,PARTIDO CENTRO DEMOCRATICO,25267
Concejo,CESAR,GAMARRA,CARLOS ALBERTO DIAZ VILORIA,PARTIDO CONSERVADOR COLOMBIANO,25292
Concejo,CESAR,GAMARRA,CARLOS ALFREDO FRANCO SORACA,PARTIDO ALIANZA VERDE,25317
Concejo,CESAR,GAMARRA,CARMEN ISABEL DAVID PASCUAL,PARTIDO ALIANZA VERDE,25319
Concejo,CESAR,GAMARRA,CARMEN ROSA SOLANO BARBOSA,PARTIDO LIBERAL COLOMBIANO,25257
Concejo,CESAR,GAMARRA,CERIS DEL CARMEN RIOS PEÑA,PARTIDO CONSERVADOR COLOMBIANO,25300
Concejo,CESAR,GAMARRA,CHRISTIAM ENRIQUE ORTEGA SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25326
Concejo,CESAR,GAMARRA,CIRA RAQUEL PADILLA SANCHEZ,PARTIDO ADA,25284
Concejo,CESAR,GAMARRA,CLEOTILDE  CAAMAÑO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,25298
Concejo,CESAR,GAMARRA,DAGOBERTO  NARVAEZ LOZANO,PARTIDO CAMBIO RADICAL,25309
Concejo,CESAR,GAMARRA,DEIVIS  LARA GRANADOS,PARTIDO ALIANZA VERDE,25315
Concejo,CESAR,GAMARRA,EDIN  MENDOZA FELIZZOLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25334
Concejo,CESAR,GAMARRA,EFRAIN  VARGAS CASTRO,PARTIDO CONSERVADOR COLOMBIANO,25297
Concejo,CESAR,GAMARRA,ELEIMIS  BOTERO VELASQUEZ,PARTIDO LIBERAL COLOMBIANO,25256
Concejo,CESAR,GAMARRA,ELENA  PACHECO LOZANO,PARTIDO ALIANZA VERDE,25320
Concejo,CESAR,GAMARRA,ELSA  ROJAS ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25341
Concejo,CESAR,GAMARRA,ELSY  CHAVEZ VILLAMIZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25342
Concejo,CESAR,GAMARRA,EUCLIDES  FERNANDEZ MORENO,PARTIDO CONSERVADOR COLOMBIANO,25294
Concejo,CESAR,GAMARRA,FABIAN DEL CARMEN PURIN DIAZ,PARTIDO LIBERAL COLOMBIANO,25248
Concejo,CESAR,GAMARRA,FARIDE ESTHER RODRIGUEZ LOZANO,PARTIDO ADA,117818
Concejo,CESAR,GAMARRA,FRANCISCO  PATIÑO MANJARRES,PARTIDO ADA,25279
Concejo,CESAR,GAMARRA,FRANKLIN ALFONSO MESTRE OROZCO,PARTIDO CAMBIO RADICAL,25302
Concejo,CESAR,GAMARRA,GABRIEL  CAÑA BADILLO,PARTIDO LIBERAL COLOMBIANO,25249
Concejo,CESAR,GAMARRA,GAURIELA  CELON NIÑO,PARTIDO ADA,25281
Concejo,CESAR,GAMARRA,GIRNELDO  QUINTERO QUIÑONES,PARTIDO CENTRO DEMOCRATICO,25259
Concejo,CESAR,GAMARRA,GREIS CAROLINA OCHOA TRIGOS,PARTIDO CAMBIO RADICAL,25305
Concejo,CESAR,GAMARRA,HEBER  VELASQUEZ QUIÑONES,PARTIDO ALIANZA VERDE,25313
Concejo,CESAR,GAMARRA,HENDERSSON ENRIQUE MONTOYA ORDOÑEZ,PARTIDO LIBERAL COLOMBIANO,25253
Concejo,CESAR,GAMARRA,HENRY DE JESUS PAEZ ALCOCER,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25277
Concejo,CESAR,GAMARRA,INDIRA JOHANA CASTILLA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25340
Concejo,CESAR,GAMARRA,INGRIS JOHANA DAVID QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25331
Concejo,CESAR,GAMARRA,ISRAEL  JIMENEZ LOBELO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25276
Concejo,CESAR,GAMARRA,IVAN ALFONSO RUIZ OJEDA,PARTIDO CAMBIO RADICAL,25306
Concejo,CESAR,GAMARRA,JAIR  FARELO NAVARRO,PARTIDO ADA,25280
Concejo,CESAR,GAMARRA,JENNIFER ANDREA FLOREZ QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25330
Concejo,CESAR,GAMARRA,JHON HENRY MENDOZA QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,117817
Concejo,CESAR,GAMARRA,JOHN FEDERICO MANOSALVA DELGADO,PARTIDO ADA,25283
Concejo,CESAR,GAMARRA,JOHN JAIDER CERVANTES AREVALO,PARTIDO LIBERAL COLOMBIANO,25258
Concejo,CESAR,GAMARRA,JORGE ALBEIRO CONDE FRANCO,PARTIDO CONSERVADOR COLOMBIANO,25295
Concejo,CESAR,GAMARRA,JORGE ARMANDO CORDERO GARCIA,PARTIDO ALIANZA VERDE,25316
Concejo,CESAR,GAMARRA,JOSE DAVID ROMERO VEGA,PARTIDO CENTRO DEMOCRATICO,25264
Concejo,CESAR,GAMARRA,JOSE MANUEL HERREÑO NIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25333
Concejo,CESAR,GAMARRA,JUAN DE DIOS GARCIA ,PARTIDO CAMBIO RADICAL,25301
Concejo,CESAR,GAMARRA,JULIETH PAULINE JAIME QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25327
Concejo,CESAR,GAMARRA,JULIO  ROJAS MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25335
Concejo,CESAR,GAMARRA,KELY YOJANA MORENO BADILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25271
Concejo,CESAR,GAMARRA,LAUDITH  BELEÑO TERAN,PARTIDO LIBERAL COLOMBIANO,25251
Concejo,CESAR,GAMARRA,LAURA MILENA PAEZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25332
Concejo,CESAR,GAMARRA,LAURA STELLA SANTANA LASCARRO,PARTIDO CONSERVADOR COLOMBIANO,25299
Concejo,CESAR,GAMARRA,LESVY LILIANA CONTRERAS NAVARRO,PARTIDO CAMBIO RADICAL,25308
Concejo,CESAR,GAMARRA,LEYDIS DEL CARMEN GARAY RODRIGUEZ,PARTIDO CAMBIO RADICAL,25303
Concejo,CESAR,GAMARRA,LICCETT  GIRALDO CAMPO,PARTIDO ALIANZA VERDE,25312
Concejo,CESAR,GAMARRA,LIGIA ROSA CHACON BELTRAN,PARTIDO LIBERAL COLOMBIANO,25255
Concejo,CESAR,GAMARRA,LILIANA  GAMBOA EGEA,PARTIDO CENTRO DEMOCRATICO,25268
Concejo,CESAR,GAMARRA,LILIBETH  CASTELLAR LEON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25273
Concejo,CESAR,GAMARRA,LUIS EDUARDO GERARDINO URIBE,PARTIDO CAMBIO RADICAL,25310
Concejo,CESAR,GAMARRA,LUIS EDUARDO ROJAS GARAY,PARTIDO CONSERVADOR COLOMBIANO,25296
Concejo,CESAR,GAMARRA,LUIS GUILLERMO QUINTERO BADILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25325
Concejo,CESAR,GAMARRA,LUIS MIGUEL TAFUR MARQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25269
Concejo,CESAR,GAMARRA,LUZ HELENA SAENZ BELEÑO,PARTIDO ADA,25285
Concejo,CESAR,GAMARRA,LUZ MERY DELGADO MONTOYA,PARTIDO CAMBIO RADICAL,25311
Concejo,CESAR,GAMARRA,MARCELIANO  QUINTERO QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25323
Concejo,CESAR,GAMARRA,MARIO  MAYORGA PEDRAZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25270
Concejo,CESAR,GAMARRA,MAYERLIS  GARAY SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25272
Concejo,CESAR,GAMARRA,MIGUEL ANTONIO TORRES TELLEZ,PARTIDO LIBERAL COLOMBIANO,25254
Concejo,CESAR,GAMARRA,MIGUEL DAVID ESCUDERO PRADOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25275
Concejo,CESAR,GAMARRA,NAFER  JIMENEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25337
Concejo,CESAR,GAMARRA,NAHUM  PACHECO MARIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25328
Concejo,CESAR,GAMARRA,NEFTALY  GUTIERREZ PACHECO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,25278
Concejo,CESAR,GAMARRA,NORGIN EDITH PEDROZO FLOREZ,PARTIDO CENTRO DEMOCRATICO,25265
