corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,LA GLORIA,AINNY JUDITH VERGEL CACERES,PARTIDO ALIANZA VERDE,25461
Concejo,CESAR,LA GLORIA,ALNER  BELEÑO PEDROZO,PARTIDO COLOMBIA RENACIENTE,25425
Concejo,CESAR,LA GLORIA,ANA MARIA PEREZ ALVARADO,PARTIDO CAMBIO RADICAL,25442
Concejo,CESAR,LA GLORIA,ANA VIRGINA CASADIEGO ARIAS,PARTIDO CAMBIO RADICAL,25447
Concejo,CESAR,LA GLORIA,ANGELMIRO  CHONA TRILLOS,PARTIDO CONSERVADOR COLOMBIANO,25440
Concejo,CESAR,LA GLORIA,ANGIE MILET OVALLO AISLANT,PARTIDO LIBERAL COLOMBIANO,25402
Concejo,CESAR,LA GLORIA,AURORA  PALLARES VIDES,PARTIDO LIBERAL COLOMBIANO,25407
Concejo,CESAR,LA GLORIA,CARLOS GABRIEL ZEQUEIRA RIOS,PARTIDO COLOMBIA JUSTA LIBRES,25408
Concejo,CESAR,LA GLORIA,CARLOS SAMUEL DIAZ FLOREZ,PARTIDO LIBERAL COLOMBIANO,25401
Concejo,CESAR,LA GLORIA,CINDY GISELA PALLARES ARENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25478
Concejo,CESAR,LA GLORIA,CLAUDIA PATRICIA PIMIENTA PIMIENTA,PARTIDO LIBERAL COLOMBIANO,25406
Concejo,CESAR,LA GLORIA,CONCEPCION MARIA CORDERO MARTINEZ,PARTIDO ALIANZA VERDE,25453
Concejo,CESAR,LA GLORIA,CRISTIAN  FERNANDEZ PADILLA,PARTIDO ALIANZA VERDE,25458
Concejo,CESAR,LA GLORIA,DANER  QUINTERO ,PARTIDO COLOMBIA RENACIENTE,25423
Concejo,CESAR,LA GLORIA,DEIBIS MINDRED NOVOA TAPIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25465
Concejo,CESAR,LA GLORIA,DELSY  PONTON MARTINEZ,PARTIDO CAMBIO RADICAL,25445
Concejo,CESAR,LA GLORIA,DORA LUZ ALMENDRALES CONTRERAS,PARTIDO COLOMBIA JUSTA LIBRES,25413
Concejo,CESAR,LA GLORIA,DUFIL DARIO CONTRERAS ROJAS,PARTIDO COLOMBIA JUSTA LIBRES,25418
Concejo,CESAR,LA GLORIA,EDILBERTO  CADENA CAMPO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25464
Concejo,CESAR,LA GLORIA,ELDAR  GUTIERREZ MOLINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25463
Concejo,CESAR,LA GLORIA,ELDER ENRIQUE GIL SANTANA,PARTIDO CONSERVADOR COLOMBIANO,25436
Concejo,CESAR,LA GLORIA,ELIANA  CARO NIETO,PARTIDO COLOMBIA JUSTA LIBRES,25416
Concejo,CESAR,LA GLORIA,ESMERALDA  VILLAZON ROMERO,PARTIDO COLOMBIA RENACIENTE,25421
Concejo,CESAR,LA GLORIA,FABIO ENRIQUE AGUILAR PONTON,PARTIDO LIBERAL COLOMBIANO,25400
Concejo,CESAR,LA GLORIA,FREDY MARTIN PALOMINO CENTENO,PARTIDO COLOMBIA RENACIENTE,25426
Concejo,CESAR,LA GLORIA,GILBELIER  QUINTERO QUINTERO,PARTIDO LIBERAL COLOMBIANO,25397
Concejo,CESAR,LA GLORIA,HERMES  AGUDELO ESCANDON,PARTIDO ALIANZA VERDE,25456
Concejo,CESAR,LA GLORIA,HUBER ANTONIO SINNING OLIVIERI,PARTIDO CONSERVADOR COLOMBIANO,25435
Concejo,CESAR,LA GLORIA,IBET  ARROYO VASQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25468
Concejo,CESAR,LA GLORIA,IVAN ESTIVEL CHACON TRESPALACIOS,PARTIDO CAMBIO RADICAL,25441
Concejo,CESAR,LA GLORIA,JAIRO  DAVILA HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25482
Concejo,CESAR,LA GLORIA,JAVIER ELIAN QUINTERO SANCHEZ,PARTIDO CAMBIO RADICAL,25443
Concejo,CESAR,LA GLORIA,JENNER  GONZALEZ CHOGO,PARTIDO COLOMBIA RENACIENTE,25427
Concejo,CESAR,LA GLORIA,JESUS ANTONIO PEREZ LEMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25474
Concejo,CESAR,LA GLORIA,JESUS DEL CARMEN PINTO MARTINEZ,PARTIDO CAMBIO RADICAL,25450
Concejo,CESAR,LA GLORIA,JHONN JADER GARCIA NOGOA,PARTIDO CAMBIO RADICAL,25449
Concejo,CESAR,LA GLORIA,JORGE LUIS GARCES MIELES,PARTIDO COLOMBIA RENACIENTE,25420
Concejo,CESAR,LA GLORIA,JOSE DE LOS REYES ABELLO SOCARRAS,PARTIDO COLOMBIA JUSTA LIBRES,25409
Concejo,CESAR,LA GLORIA,JOSE LUIS QUINTERO MEJIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25462
Concejo,CESAR,LA GLORIA,JUAN CARLOS CONTRERAS JULIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25469
Concejo,CESAR,LA GLORIA,JUAN CARLOS PINO LOBO,PARTIDO ALIANZA VERDE,25452
Concejo,CESAR,LA GLORIA,JUAN CARLOS VILLAZON OLIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25475
Concejo,CESAR,LA GLORIA,KATIA  MARTINEZ PIMIENTA,PARTIDO ALIANZA VERDE,25454
Concejo,CESAR,LA GLORIA,LAURA PATRICIA GARCIA MEDINA,PARTIDO CAMBIO RADICAL,25448
Concejo,CESAR,LA GLORIA,LEONARD DE JESUS LOPEZ CAÑAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25470
Concejo,CESAR,LA GLORIA,LIBARDO DE JESUS NAVARRO HOYOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25481
Concejo,CESAR,LA GLORIA,LILIANA PATRICIA VARGAS GUERRERO,PARTIDO COLOMBIA JUSTA LIBRES,25414
Concejo,CESAR,LA GLORIA,LUDIS AMPARO NIEBLES GOMEZ,PARTIDO COLOMBIA JUSTA LIBRES,25415
Concejo,CESAR,LA GLORIA,LUIS ENRIQUE PALENCIA MALDONADO,PARTIDO COLOMBIA JUSTA LIBRES,25417
Concejo,CESAR,LA GLORIA,LUZ ENITH FLOREZ ASCANIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25472
Concejo,CESAR,LA GLORIA,MARCELA  SUAREZ ,PARTIDO COLOMBIA RENACIENTE,25428
Concejo,CESAR,LA GLORIA,MARIA ALEJANDRA SANCHEZ DURAN,PARTIDO CONSERVADOR COLOMBIANO,25437
Concejo,CESAR,LA GLORIA,MARIA DEL CARMEN MACIAS RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25479
Concejo,CESAR,LA GLORIA,MARIBEL  CASTRO MORENO,PARTIDO COLOMBIA RENACIENTE,25424
Concejo,CESAR,LA GLORIA,MARISOL  REINA GELVIS,PARTIDO ALIANZA VERDE,25459
Concejo,CESAR,LA GLORIA,MARITZA  BADILLO ROMERO,PARTIDO LIBERAL COLOMBIANO,25398
Concejo,CESAR,LA GLORIA,MIGUEL ALFONSO ROMERO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,25430
Concejo,CESAR,LA GLORIA,MIGUEL ANGEL TORRES DIAZ,PARTIDO ALIANZA VERDE,25460
Concejo,CESAR,LA GLORIA,MIGUEL ANGEL TORRES GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25477
Concejo,CESAR,LA GLORIA,MIGUEL SEGUNDO CHARRIS CASTRO,PARTIDO COLOMBIA RENACIENTE,25429
Concejo,CESAR,LA GLORIA,NAVIER  LERECIT GALVIS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25473
Concejo,CESAR,LA GLORIA,NEIDER  MENA CABALLERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25476
Concejo,CESAR,LA GLORIA,NEIL ALEXANDER CORDERO VILLAZON,PARTIDO CONSERVADOR COLOMBIANO,25432
Concejo,CESAR,LA GLORIA,NOLFI  CONTRERAS PAHUANA,PARTIDO COLOMBIA RENACIENTE,25422
Concejo,CESAR,LA GLORIA,NORBERTO  PAJARO MEZA,PARTIDO ALIANZA VERDE,25457
Concejo,CESAR,LA GLORIA,ONEL ALFONSO GUTIERREZ ASTORGA,PARTIDO LIBERAL COLOMBIANO,25403
Concejo,CESAR,LA GLORIA,OSMAN FARIT NEGRETE LEON,PARTIDO CONSERVADOR COLOMBIANO,25438
Concejo,CESAR,LA GLORIA,PARMENIDES  NAVAS OJEDA,PARTIDO CAMBIO RADICAL,25451
Concejo,CESAR,LA GLORIA,RAMON EMILIO RODRIGUEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,25446
Concejo,CESAR,LA GLORIA,RAUL  RODRIGUEZ QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,25431
Concejo,CESAR,LA GLORIA,RAUL  VEGA PEREIRA,PARTIDO COLOMBIA JUSTA LIBRES,25412
Concejo,CESAR,LA GLORIA,RUBEN  MARQUEZ CLAVIJO,PARTIDO LIBERAL COLOMBIANO,25399
Concejo,CESAR,LA GLORIA,SOLFINIS ISABEL ALVEAR PINEDA,PARTIDO CAMBIO RADICAL,25444
Concejo,CESAR,LA GLORIA,STELLA  QUINTERO SANCHEZ,PARTIDO COLOMBIA JUSTA LIBRES,25411
Concejo,CESAR,LA GLORIA,TEOBALDO  NARVAEZ CAÑAS,PARTIDO ALIANZA VERDE,25455
Concejo,CESAR,LA GLORIA,VICTOR MANUEL GULLOSO ROBLES,PARTIDO COLOMBIA JUSTA LIBRES,25410
Concejo,CESAR,LA GLORIA,VITALIA MARIA ALDANA GAMBOA,PARTIDO CONSERVADOR COLOMBIANO,25439
Concejo,CESAR,LA GLORIA,WILFRAN  ROMERO MARTINEZ,PARTIDO LIBERAL COLOMBIANO,25405
Concejo,CESAR,LA GLORIA,WILMER  CARVAJALINO PEDROZO,PARTIDO COLOMBIA RENACIENTE,25419
Concejo,CESAR,LA GLORIA,WILMER  PEÑA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25466
Concejo,CESAR,LA GLORIA,YADIRA  ZAMBRANO RAMIREZ,PARTIDO LIBERAL COLOMBIANO,25404
Concejo,CESAR,LA GLORIA,YANID  TELLEZ CONTRERAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,25480
Concejo,CESAR,LA GLORIA,YENIS PAOLA HOYOS FLORES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25467
Concejo,CESAR,LA GLORIA,YULEIMA  QUINTERO CHINCHILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,25471
Concejo,CESAR,LA GLORIA,YUREIDA  CONTRERAS SERRANO,PARTIDO CONSERVADOR COLOMBIANO,25434
Concejo,CESAR,LA GLORIA,YURIS  MEJIA BERMUDEZ,PARTIDO CONSERVADOR COLOMBIANO,25433
