corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,RIO DE ORO,ADALBERTO ALEJANDRO ARIAS ROPERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26301
Concejo,CESAR,RIO DE ORO,ADOLFO  RIZO CONTRERAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26341
Concejo,CESAR,RIO DE ORO,ALBERTO  ATUESTA MINDIOLA,PARTIDO CENTRO DEMOCRATICO,26284
Concejo,CESAR,RIO DE ORO,ANDREA ESTEFANIA BUSTAMANTE URIELES,PARTIDO CENTRO DEMOCRATICO,26290
Concejo,CESAR,RIO DE ORO,ANGEL YACID PAEZ RINCON,PARTIDO CONSERVADOR COLOMBIANO,26305
Concejo,CESAR,RIO DE ORO,ARAMINTA  QUINTERO CHACON,PARTIDO CONSERVADOR COLOMBIANO,26308
Concejo,CESAR,RIO DE ORO,ARELIS CATALINA ULLOA CHACON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26344
Concejo,CESAR,RIO DE ORO,ARIADNA YULIZA DUARTE QUINTERO,PARTIDO LIBERAL COLOMBIANO,26280
Concejo,CESAR,RIO DE ORO,ARISTIDES  MEJIA ARENIZ,PARTIDO CAMBIO RADICAL,26313
Concejo,CESAR,RIO DE ORO,BLANCA ELENA NAVARRO PEINADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26343
Concejo,CESAR,RIO DE ORO,CARLOS ANDRES BAYONA CARRASCAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26324
Concejo,CESAR,RIO DE ORO,CARLOS FABIAN GIL GASCA,PARTIDO LIBERAL COLOMBIANO,26279
Concejo,CESAR,RIO DE ORO,CIELO MARIA DURAN HERRERA,PARTIDO CAMBIO RADICAL,26314
Concejo,CESAR,RIO DE ORO,CONSUELO  PEREZ CARDENAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26331
Concejo,CESAR,RIO DE ORO,DANIEL  CHINCHILLA SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26332
Concejo,CESAR,RIO DE ORO,DERLY DEL CARMEN LOZANO SUAREZ,PARTIDO LIBERAL COLOMBIANO,26276
Concejo,CESAR,RIO DE ORO,DYGNERY  CHACON RINCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26326
Concejo,CESAR,RIO DE ORO,EDUARDO  BONETH NAVARRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26339
Concejo,CESAR,RIO DE ORO,ELIANA MARGARITA LEON SUAREZ,PARTIDO CONSERVADOR COLOMBIANO,26306
Concejo,CESAR,RIO DE ORO,ESTEFANY JADITH ROJAS CADENA,PARTIDO CONSERVADOR COLOMBIANO,26309
Concejo,CESAR,RIO DE ORO,ESTHER  RINCON CHINCHILLA,PARTIDO CONSERVADOR COLOMBIANO,26311
Concejo,CESAR,RIO DE ORO,ESTIVEN ALFREDO RINCON CUAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26346
Concejo,CESAR,RIO DE ORO,EUCLIDES  CHINCHILLA CHINCHILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26337
Concejo,CESAR,RIO DE ORO,FABIAN ANDRES GARAY PABON,PARTIDO CAMBIO RADICAL,26317
Concejo,CESAR,RIO DE ORO,GERSON  SUAREZ NAVARRO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26293
Concejo,CESAR,RIO DE ORO,GINNA CAROLINA HERRERA GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,26286
Concejo,CESAR,RIO DE ORO,GIOVANNI  RINCON SANCHEZ,PARTIDO CENTRO DEMOCRATICO,26287
Concejo,CESAR,RIO DE ORO,GREISLY KARINA DUARTE RINCON,PARTIDO CAMBIO RADICAL,26320
Concejo,CESAR,RIO DE ORO,ISABEL SOFIA ARIAS ARANGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26329
Concejo,CESAR,RIO DE ORO,JACOB  TRILLOS DONADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26340
Concejo,CESAR,RIO DE ORO,JAIME ELIECER MIRANDA TORRES,PARTIDO LIBERAL COLOMBIANO,26274
Concejo,CESAR,RIO DE ORO,JAIRO ALONSO MANTILLA VERGEL,PARTIDO CENTRO DEMOCRATICO,26283
Concejo,CESAR,RIO DE ORO,JEISON DAVID PABON CHINCHILLA,PARTIDO CONSERVADOR COLOMBIANO,26303
Concejo,CESAR,RIO DE ORO,JESUS ALBERTO CHACON MENESES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26292
Concejo,CESAR,RIO DE ORO,JESUS ARIEL CACERES CHINCHILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26325
Concejo,CESAR,RIO DE ORO,JESUS EDUARDO CASADIEGOS IBARRA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26345
Concejo,CESAR,RIO DE ORO,JESUS EMILIO SANCHEZ BERMUDEZ,PARTIDO CONSERVADOR COLOMBIANO,26307
Concejo,CESAR,RIO DE ORO,JESUS ERNESTO LOZANO SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26299
Concejo,CESAR,RIO DE ORO,JHON ESNEIDER DURAN OSORIO,PARTIDO LIBERAL COLOMBIANO,26275
Concejo,CESAR,RIO DE ORO,JHON JAIRO VEGA ROZO,PARTIDO CAMBIO RADICAL,26316
Concejo,CESAR,RIO DE ORO,JOHN RICHAR URIBE FLOREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26328
Concejo,CESAR,RIO DE ORO,JORGE AMADO MEZA ASCANIO,PARTIDO CENTRO DEMOCRATICO,26289
Concejo,CESAR,RIO DE ORO,JORGE ERNESTO PEREZ MURILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26338
Concejo,CESAR,RIO DE ORO,JOSE CAMILO ANGARITA LINERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26348
Concejo,CESAR,RIO DE ORO,JOSE DANULFO LEON MARQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26334
Concejo,CESAR,RIO DE ORO,JOSE DE DIOS PAEZ SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26294
Concejo,CESAR,RIO DE ORO,JOSE HEVER ALVAREZ SALCEDO,PARTIDO LIBERAL COLOMBIANO,26277
Concejo,CESAR,RIO DE ORO,JUAN BERNARDO CARDENAS CARDENAS,PARTIDO CONSERVADOR COLOMBIANO,26302
Concejo,CESAR,RIO DE ORO,KEVIN LEONARDO QUINTERO RUEDAS,PARTIDO CONSERVADOR COLOMBIANO,26310
Concejo,CESAR,RIO DE ORO,LAUREANO  DONADO TRILLOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26335
Concejo,CESAR,RIO DE ORO,LINA VICTORIA DUARTE QUINTERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26300
Concejo,CESAR,RIO DE ORO,LUIS CARLOS VILLARREAL GOEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26327
Concejo,CESAR,RIO DE ORO,LUPERCIO  MENESES PICON,PARTIDO CONSERVADOR COLOMBIANO,26304
