corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,SAN DIEGO,ADOLFO  GUERRA ARAUJO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26710
Concejo,CESAR,SAN DIEGO,ALBERTO LUIS RAMIREZ SANCHEZ,PARTIDO ADA,26646
Concejo,CESAR,SAN DIEGO,ALEXANDER  MEJIA MENDOZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26678
Concejo,CESAR,SAN DIEGO,ALFREDDYS JULIAN ROMERO JIMENEZ,PARTIDO CAMBIO RADICAL,26672
Concejo,CESAR,SAN DIEGO,ANA BEATRIZ RIVERO MARQUEZ,PARTIDO CAMBIO RADICAL,26671
Concejo,CESAR,SAN DIEGO,ANA ISABEL BOLAÑOS MOLINA,PARTIDO CAMBIO RADICAL,26669
Concejo,CESAR,SAN DIEGO,ANA MILENA FLOREZ TORO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26682
Concejo,CESAR,SAN DIEGO,ANDHY MARCELA ARAUJO GUERRA,PARTIDO CONSERVADOR COLOMBIANO,26656
Concejo,CESAR,SAN DIEGO,ANDRES  ROSADO AMAYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26694
Concejo,CESAR,SAN DIEGO,ARMANDO JOSE ARZUAGA RUBIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26686
Concejo,CESAR,SAN DIEGO,ARNALDO JAMES PERPIÑAN ISEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26695
Concejo,CESAR,SAN DIEGO,CARLOS ALBERTO CORRALES HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,26629
Concejo,CESAR,SAN DIEGO,CARMENZA  JACOME RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,26661
Concejo,CESAR,SAN DIEGO,CRUCELFA DE JESUS ARZUAGA ARZUAGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26677
Concejo,CESAR,SAN DIEGO,DAIRO  ARIAS CARDENAS,PARTIDO CAMBIO RADICAL,26670
Concejo,CESAR,SAN DIEGO,DERFILIA JHOADIS RODRIGUEZ VEGA,PARTIDO ADA,26654
Concejo,CESAR,SAN DIEGO,DIANA CECILIA LIÑAN MURGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26705
Concejo,CESAR,SAN DIEGO,EDWIN  MANOSALVA DONADO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26679
Concejo,CESAR,SAN DIEGO,ELKIN  CHONA PABON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26707
Concejo,CESAR,SAN DIEGO,EUDIS ENRIQUE TAMAYO OÑATE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26704
Concejo,CESAR,SAN DIEGO,FAUSTO YECID OÑATE HERNANDEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26709
Concejo,CESAR,SAN DIEGO,FREDDY  QUINTERO CAICEDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26634
Concejo,CESAR,SAN DIEGO,FREDYS ALFREDO SAN JUAN GUERRA,PARTIDO CONSERVADOR COLOMBIANO,26662
Concejo,CESAR,SAN DIEGO,GERARDO JUNIOR ARZUAGA SUAREZ,PARTIDO CAMBIO RADICAL,26676
Concejo,CESAR,SAN DIEGO,GUSTAVO EMILIO HENRIQUEZ MENDOZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26690
Concejo,CESAR,SAN DIEGO,HEINER  GUERRERO ROMERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26640
Concejo,CESAR,SAN DIEGO,HORACIO LUIS GUERRA CALDERON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26688
Concejo,CESAR,SAN DIEGO,IMAR  QUINTERO QUINTERO,PARTIDO LIBERAL COLOMBIANO,26627
Concejo,CESAR,SAN DIEGO,IRINA  BAYONA BAYONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26693
Concejo,CESAR,SAN DIEGO,ISAEL  QUINTERO PEDROZA,PARTIDO CONSERVADOR COLOMBIANO,26658
Concejo,CESAR,SAN DIEGO,JANER ENRIQUE DIAZ GUILLEN,PARTIDO ADA,26648
Concejo,CESAR,SAN DIEGO,JANNIER LUIS PAEZ OSPINA,PARTIDO ADA,26653
Concejo,CESAR,SAN DIEGO,JANNIS  MURGAS CAMARGO,PARTIDO ADA,26644
Concejo,CESAR,SAN DIEGO,JESUS MANUEL BLANQUICET DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26703
Concejo,CESAR,SAN DIEGO,JHONNY MEN RAMIREZ BARBOSA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26638
Concejo,CESAR,SAN DIEGO,JOHN ROBERT VILLERO VILLERO,PARTIDO CAMBIO RADICAL,26674
Concejo,CESAR,SAN DIEGO,JORGE LUIS AMAYA ROSADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26697
Concejo,CESAR,SAN DIEGO,JORGE LUIS RAMOS CASTILLA,PARTIDO ADA,26651
Concejo,CESAR,SAN DIEGO,JOSE ALCIBIADES YANCE SANCHEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26708
Concejo,CESAR,SAN DIEGO,JOSE GREGORIO ARZUAGA SOLANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26691
Concejo,CESAR,SAN DIEGO,JOSE JAVIER MERIÑO ARZUAGA,PARTIDO ADA,26650
Concejo,CESAR,SAN DIEGO,JOSE LEONARDO MENDOZA ARAUJO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26683
Concejo,CESAR,SAN DIEGO,JOSE LUIS CHARRIS DE LA CRUZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26716
Concejo,CESAR,SAN DIEGO,JOSE LUIS RODRIGUEZ MURGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26700
Concejo,CESAR,SAN DIEGO,JOSE MANUEL JINETE ORTEGA,PARTIDO CAMBIO RADICAL,26667
Concejo,CESAR,SAN DIEGO,JUAN JOSE ARZUAGA GONZALEZ,PARTIDO ADA,26647
Concejo,CESAR,SAN DIEGO,KATIA MILENA DANGOND SANCHEZ,PARTIDO CAMBIO RADICAL,26675
Concejo,CESAR,SAN DIEGO,LEDA MARINA RINCONES MARTINEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26685
Concejo,CESAR,SAN DIEGO,LEDIS DEL CARMEN LORA DE LAMBRAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26636
Concejo,CESAR,SAN DIEGO,LEDYS ESTHER MORALES ARIZA,PARTIDO LIBERAL COLOMBIANO,26625
Concejo,CESAR,SAN DIEGO,LEIDYS DAYANA NIEVES MARTINEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26635
Concejo,CESAR,SAN DIEGO,LEONARDO  TRILLOS TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26701
Concejo,CESAR,SAN DIEGO,LEONARDO FABIO FERNANDEZ ISEDA,PARTIDO CAMBIO RADICAL,26666
Concejo,CESAR,SAN DIEGO,LEONEL  CHONA QUINTERO,PARTIDO LIBERAL COLOMBIANO,26623
Concejo,CESAR,SAN DIEGO,LEXIN ENRIQUE FUENTES DAZA,PARTIDO LIBERAL COLOMBIANO,26631
Concejo,CESAR,SAN DIEGO,LILIANA DEL CARMEN BAQUERO HOYOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26714
Concejo,CESAR,SAN DIEGO,LUIS ALONSO CAMARGO ARZUAGA,PARTIDO ADA,26649
Concejo,CESAR,SAN DIEGO,LUZ ANGELICA MORA MENDOZA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26712
Concejo,CESAR,SAN DIEGO,LUZ KARINE USTARIZ MEJIA,PARTIDO CONSERVADOR COLOMBIANO,26664
Concejo,CESAR,SAN DIEGO,LUZ MERY CEBALLO GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26687
Concejo,CESAR,SAN DIEGO,MACIEL KARINA LOPEZ NUÑEZ,PARTIDO LIBERAL COLOMBIANO,26630
Concejo,CESAR,SAN DIEGO,MARIA ANGELICA CUJIA PEREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26713
Concejo,CESAR,SAN DIEGO,MARIA MICAELA ARZUAGA MURGAS,PARTIDO CAMBIO RADICAL,26673
Concejo,CESAR,SAN DIEGO,MARISODENIS  LOZANO RIOS,PARTIDO CONSERVADOR COLOMBIANO,26657
Concejo,CESAR,SAN DIEGO,MARTHA ISABEL JURADO ANDRADE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26643
Concejo,CESAR,SAN DIEGO,MERY LUZ ARAUJO ARZUAGA,PARTIDO CONSERVADOR COLOMBIANO,26659
Concejo,CESAR,SAN DIEGO,MILLER ANDRES HERNANDEZ CASTRO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26711
Concejo,CESAR,SAN DIEGO,OANIX LEONOR ROJAS CASTILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26698
Concejo,CESAR,SAN DIEGO,OMAR YESID PADILLA COBO,PARTIDO CONSERVADOR COLOMBIANO,26665
Concejo,CESAR,SAN DIEGO,OSCAR EMILIO PARODI ROBLES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26684
Concejo,CESAR,SAN DIEGO,OSIRIS  PAYARES SILVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26706
Concejo,CESAR,SAN DIEGO,OSNAIBER  DIAZ ROMERO,PARTIDO CONSERVADOR COLOMBIANO,26655
Concejo,CESAR,SAN DIEGO,RICARDO  ARNEDO TAFUR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26702
Concejo,CESAR,SAN DIEGO,RICARDO ERASMO CORRALES RIVERA,PARTIDO CONSERVADOR COLOMBIANO,26663
Concejo,CESAR,SAN DIEGO,RITA FLORENCIA BERMUDEZ ZULETA,PARTIDO LIBERAL COLOMBIANO,26628
Concejo,CESAR,SAN DIEGO,RODOLFO CARLOS VILLERO MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26689
Concejo,CESAR,SAN DIEGO,ROSA MARIA CADENA LOPEZ,PARTIDO ADA,26652
Concejo,CESAR,SAN DIEGO,ROSSIBEL  QUINTERO SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26692
Concejo,CESAR,SAN DIEGO,RUBIEL  CHONA DURAN,PARTIDO LIBERAL COLOMBIANO,26632
Concejo,CESAR,SAN DIEGO,RUBIELA  RODRIGUEZ DURAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26641
Concejo,CESAR,SAN DIEGO,SAIR  SANGUINO QUINTERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26715
Concejo,CESAR,SAN DIEGO,SARITH  PEDROZO AMARIS,PARTIDO LIBERAL COLOMBIANO,26624
Concejo,CESAR,SAN DIEGO,VICTOR ALFONSO MURGAS BOLAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26642
Concejo,CESAR,SAN DIEGO,WILFRAN JAVIER FERNANDEZ JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,26660
Concejo,CESAR,SAN DIEGO,WILLIAM EDUARDO PERAZA OÑATE,PARTIDO CAMBIO RADICAL,26668
Concejo,CESAR,SAN DIEGO,YAIRON LUIS VALDEZ CHALA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26699
Concejo,CESAR,SAN DIEGO,YALEISY  NAVARRO FLOREZ,PARTIDO ADA,26645
Concejo,CESAR,SAN DIEGO,YALIDIS MARIA MERCADO SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26680
Concejo,CESAR,SAN DIEGO,YEIR  VEGA GAVIRIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26681
Concejo,CESAR,SAN DIEGO,YULIAN ANDREA DURAN RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26639
