corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,SAN MARTIN,ADRIANA MARCELA RUIZ PRADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26728
Concejo,CESAR,SAN MARTIN,AIDE  MENESES PICO,PARTIDO ALIANZA VERDE,26758
Concejo,CESAR,SAN MARTIN,ARMANDO  DURAN OLAYA,PARTIDO CONSERVADOR COLOMBIANO,26746
Concejo,CESAR,SAN MARTIN,ARMANDO RAFAEL BARROSO GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26734
Concejo,CESAR,SAN MARTIN,CARLOS EDUARDO AVILES MORENO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26761
Concejo,CESAR,SAN MARTIN,CARLOS ENRIQUE BERNAL CAMPO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26789
Concejo,CESAR,SAN MARTIN,CLAUDIA PATRICIA ESTRADA RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26733
Concejo,CESAR,SAN MARTIN,ELIDA ESMITH RODRIGUEZ TRIGOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26762
Concejo,CESAR,SAN MARTIN,ELMER ANTONIO VILLEGAS SANTIAGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26727
Concejo,CESAR,SAN MARTIN,ENOLVIA  QUINTERO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,26745
Concejo,CESAR,SAN MARTIN,ESPERANZA  ZABALA SANABRIA,PARTIDO ALIANZA VERDE,26755
Concejo,CESAR,SAN MARTIN,FABIAN  NAVARRO PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26730
Concejo,CESAR,SAN MARTIN,FANNY  BARON MENDOZA,PARTIDO LIBERAL COLOMBIANO,26726
Concejo,CESAR,SAN MARTIN,GABRIEL  BARBOSA SANGUINO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26779
Concejo,CESAR,SAN MARTIN,GABRIEL  NAVARRO SARAVIA,PARTIDO ALIANZA VERDE,26749
Concejo,CESAR,SAN MARTIN,GARNEIRO  LINARES VILLEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26776
Concejo,CESAR,SAN MARTIN,GERMAN  QUINONEZ VALERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26769
Concejo,CESAR,SAN MARTIN,HECTOR OCTAVIO CASTILLO QUINTERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26787
Concejo,CESAR,SAN MARTIN,HENRY  RINCON GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26768
Concejo,CESAR,SAN MARTIN,HERALDO  QUINTERO JIMENEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26759
Concejo,CESAR,SAN MARTIN,JAVIER  CHOGO PAEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26760
Concejo,CESAR,SAN MARTIN,JAVIER  PRADA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26765
Concejo,CESAR,SAN MARTIN,JESLY NATALIA PRADA RIVERO,PARTIDO LIBERAL COLOMBIANO,26725
Concejo,CESAR,SAN MARTIN,JORGE ARMANDO MONTAÑO LINDARTE,PARTIDO ALIANZA VERDE,26754
Concejo,CESAR,SAN MARTIN,JORGE ARMANDO RIVERA VERGEL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26773
Concejo,CESAR,SAN MARTIN,JOSE ALFREDO TORRES ROA,PARTIDO ALIANZA VERDE,26752
Concejo,CESAR,SAN MARTIN,JOSE ALIDES ROMERO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,26740
Concejo,CESAR,SAN MARTIN,JOSE IGNACIO SUAREZ QUINTERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26783
Concejo,CESAR,SAN MARTIN,JOSE MANUEL JAIMES CARVAJAL,PARTIDO LIBERAL COLOMBIANO,26719
Concejo,CESAR,SAN MARTIN,JUAN BAUTISTA DAVID OSPINA,PARTIDO LIBERAL COLOMBIANO,26722
Concejo,CESAR,SAN MARTIN,JUSTO PASTOR CORREDOR DIAZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26782
Concejo,CESAR,SAN MARTIN,KELBER  QUINTERO MARTINEZ,PARTIDO ALIANZA VERDE,26753
Concejo,CESAR,SAN MARTIN,LAZARO  MORALES LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26780
Concejo,CESAR,SAN MARTIN,LEONARDO  NORIEGA PEÑA,PARTIDO ALIANZA VERDE,26751
Concejo,CESAR,SAN MARTIN,LEUDITH  BALLENA ARGOTA,PARTIDO LIBERAL COLOMBIANO,26723
Concejo,CESAR,SAN MARTIN,LEYDER SALVADOR BARBOSA CHAVERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26735
Concejo,CESAR,SAN MARTIN,LUIS ALFREDO ARIAS ARIZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26766
Concejo,CESAR,SAN MARTIN,LUIS FERNANDO GONZALEZ NAVARRO,PARTIDO CONSERVADOR COLOMBIANO,26738
Concejo,CESAR,SAN MARTIN,LUZ MARINA RICO BARAJAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26788
Concejo,CESAR,SAN MARTIN,MARIA  PARRA SANDOVAL,PARTIDO CONSERVADOR COLOMBIANO,26742
Concejo,CESAR,SAN MARTIN,MARIA TORCOROMA BARBOSA RINCON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26736
Concejo,CESAR,SAN MARTIN,MIGUEL ANTONIO OSORIO ,PARTIDO ALIANZA VERDE,26757
Concejo,CESAR,SAN MARTIN,MISAEL  BAEZ MORALES,PARTIDO LIBERAL COLOMBIANO,26720
Concejo,CESAR,SAN MARTIN,NAHUN  TELLEZ ALVERNIA,PARTIDO ALIANZA VERDE,26750
Concejo,CESAR,SAN MARTIN,NELLY  BARBOSA RINCON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26764
Concejo,CESAR,SAN MARTIN,OLMER YESID VASQUEZ CENTENO,PARTIDO CONSERVADOR COLOMBIANO,26743
Concejo,CESAR,SAN MARTIN,PEDRO ARIEL SERPA CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26777
Concejo,CESAR,SAN MARTIN,REINALDO  HERNANDEZ MENDEZ,PARTIDO LIBERAL COLOMBIANO,26718
Concejo,CESAR,SAN MARTIN,RIGOBERTO  SUAREZ PARADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26732
Concejo,CESAR,SAN MARTIN,RUBEN DARIO MONSALVE SALAZAR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26763
Concejo,CESAR,SAN MARTIN,RUBIELA  SUAREZ ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26771
Concejo,CESAR,SAN MARTIN,SAID  SUAREZ DURAN,PARTIDO LIBERAL COLOMBIANO,26721
Concejo,CESAR,SAN MARTIN,SAID  VIVAS JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,26741
Concejo,CESAR,SAN MARTIN,SAINE  RINCON PAREDES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26785
Concejo,CESAR,SAN MARTIN,SAMUEL  GAMBOA CARRASCAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26786
Concejo,CESAR,SAN MARTIN,SAMUEL DAVID PINZON GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26731
Concejo,CESAR,SAN MARTIN,SARAID  GOMEZ PARDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,26767
Concejo,CESAR,SAN MARTIN,SOL MARIA SAEZ CHITIVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26775
Concejo,CESAR,SAN MARTIN,TANIA LORENA JAIME BLANCO,PARTIDO ALIANZA VERDE,26756
Concejo,CESAR,SAN MARTIN,TRINO  RIVERA BAUTISTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26778
Concejo,CESAR,SAN MARTIN,VALENTIN  TELLEZ MOLINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26770
Concejo,CESAR,SAN MARTIN,WILLIAM JESUS OVALLE SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26729
Concejo,CESAR,SAN MARTIN,WILMAR  GONGORA CARDOZO,PARTIDO LIBERAL COLOMBIANO,26724
Concejo,CESAR,SAN MARTIN,WILMER  JIMENEZ ARIAS,PARTIDO LIBERAL COLOMBIANO,26717
Concejo,CESAR,SAN MARTIN,YAHIR  BASTOS CAMARGO,PARTIDO CONSERVADOR COLOMBIANO,26747
Concejo,CESAR,SAN MARTIN,YAMILE  MORENO AMAYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26737
Concejo,CESAR,SAN MARTIN,YAMILE  PABON MANDON,PARTIDO CONSERVADOR COLOMBIANO,26739
Concejo,CESAR,SAN MARTIN,YESENIA  RIZO PEREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26784
Concejo,CESAR,SAN MARTIN,YOBANY  TRILLOS AREVALO,PARTIDO CONSERVADOR COLOMBIANO,26744
Concejo,CESAR,SAN MARTIN,YOLADIS  FLOREZ PALLARES,PARTIDO CONSERVADOR COLOMBIANO,26748
Concejo,CESAR,SAN MARTIN,YORLEN  DIAZ OJEDA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,26781
Concejo,CESAR,SAN MARTIN,ZORAIDA  JAIMES CAICEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26774
