corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,TAMALAMEQUE,ADALBER FRANCO VILLEGAS CORDOBA,PARTIDO CONSERVADOR COLOMBIANO,26839
Concejo,CESAR,TAMALAMEQUE,ADAN MANUEL CELSA AGAMES,PARTIDO CAMBIO RADICAL,26853
Concejo,CESAR,TAMALAMEQUE,ADEL  GUERRA HOYOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26878
Concejo,CESAR,TAMALAMEQUE,ADEL  PINO ROBLES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26867
Concejo,CESAR,TAMALAMEQUE,ALBERTO ELIAS QUINTERO VILLAMIZAR,PARTIDO LIBERAL COLOMBIANO,26794
Concejo,CESAR,TAMALAMEQUE,ALEX  SURMAY RUIZ,PARTIDO CAMBIO RADICAL,26849
Concejo,CESAR,TAMALAMEQUE,AMALIA MILENA HERNANDEZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,26844
Concejo,CESAR,TAMALAMEQUE,ANA ELOISA FUENTES IPUANA,PARTIDO ALIANZA VERDE,26864
Concejo,CESAR,TAMALAMEQUE,ANA HERMINIA ROBLES LOPEZ,PARTIDO LIBERAL COLOMBIANO,26796
Concejo,CESAR,TAMALAMEQUE,ARSENIO  MARTINEZ NAVARRO,PARTIDO CONSERVADOR COLOMBIANO,26838
Concejo,CESAR,TAMALAMEQUE,CENELIA LEONOR MARQUEZ LOPEZ,PARTIDO ALIANZA VERDE,26858
Concejo,CESAR,TAMALAMEQUE,CINDY  HERRERA SEGOVIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26808
Concejo,CESAR,TAMALAMEQUE,CONCEPCION  SALAZAR RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,26837
Concejo,CESAR,TAMALAMEQUE,DELFIN  NARVAEZ MOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26871
Concejo,CESAR,TAMALAMEQUE,EBER MANUEL BELLO MEJIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26811
Concejo,CESAR,TAMALAMEQUE,EDIBER  ROBLES MIER,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,26875
Concejo,CESAR,TAMALAMEQUE,EDUAR ENRIQUE ROBLES AVILA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,26806
Concejo,CESAR,TAMALAMEQUE,EDUARDO JOSE NUMA DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26881
Concejo,CESAR,TAMALAMEQUE,ELIECER  CASTRO CARRILLO,PARTIDO ADA,26818
Concejo,CESAR,TAMALAMEQUE,ELIER FERNANDO MIRANDA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,26885
