corp,dpto,mpio,name,party,wp_no
Concejo,CESAR,VALLEDUPAR,ADALBERTO ADRIAN MARTINEZ AVILA,PARTIDO ADA,23612
Concejo,CESAR,VALLEDUPAR,ADAMILIS MARIA RAMOS VALDES,PARTIDO COLOMBIA RENACIENTE,23576
Concejo,CESAR,VALLEDUPAR,ALBA CECILIA CARO BAENA,DIGNIDAD VALLENATA,23821
Concejo,CESAR,VALLEDUPAR,ALBERTO ALEJANDRO SANCHEZ GOMEZ,DIGNIDAD VALLENATA,23819
Concejo,CESAR,VALLEDUPAR,ALBERTO ANTONIO PEREZ CHACON,EQUIPOAZUL,23749
Concejo,CESAR,VALLEDUPAR,ALBERTO JORGE ANICHARICO CELEDON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,23688
Concejo,CESAR,VALLEDUPAR,ALDEMAR ENRIQUE SUAREZ SOLANO,PARTIDO CONSERVADOR COLOMBIANO,23645
Concejo,CESAR,VALLEDUPAR,ALEMIS PAOLA GUERRA SOLIS,POR TI VALLEDUPAR - CONCEJO,23766
Concejo,CESAR,VALLEDUPAR,ALEX RAFAEL MORELLY ORTIZ,PARTIDO ADA,23594
Concejo,CESAR,VALLEDUPAR,ALEXANDER DAVID GOMEZ OCHOA,EQUIPOAZUL,23744
Concejo,CESAR,VALLEDUPAR,ALIRIO  CARDENAS TOLOZA,PARTIDO ADA,23610
Concejo,CESAR,VALLEDUPAR,ALMA LUZ BRITTO CERCHAR,POR TI VALLEDUPAR - CONCEJO,23765
Concejo,CESAR,VALLEDUPAR,ALMES JOSE GRANADOS CUELLO,PARTIDO ALIANZA VERDE,23681
Concejo,CESAR,VALLEDUPAR,ALVARO  LOPEZ ORDOÑEZ,POR TI VALLEDUPAR - CONCEJO,23763
Concejo,CESAR,VALLEDUPAR,ALVARO  QUIROGA RODRIGUEZ,PARTIDO ALIANZA VERDE,23674
Concejo,CESAR,VALLEDUPAR,ALVARO ALBERTO TAVERA HERRERA,DIGNIDAD VALLENATA,23831
Concejo,CESAR,VALLEDUPAR,ALVARO ENRIQUE CUELLO HINOJOSA,POR TI VALLEDUPAR - CONCEJO,23777
Concejo,CESAR,VALLEDUPAR,ALVARO JAVIER PUMAREJO ORTIZ,MOVIMIENTO CIUDADANO VAMOS VALLEDUPAR,23801
Concejo,CESAR,VALLEDUPAR,ALVARO JOSE BAUTE CRESPO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,23613
Concejo,CESAR,VALLEDUPAR,ALVARO JOSE MOLINA RODRIGUEZ,EQUIPOAZUL,23742
Concejo,CESAR,VALLEDUPAR,ALVARO MARCELO CALDERON RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,23522
Concejo,CESAR,VALLEDUPAR,ANA CARMENZA ROMERO HOYOS,PARTIDO CONSERVADOR COLOMBIANO,23639
Concejo,CESAR,VALLEDUPAR,ANA MARIA QUINTERO JAIMES,PARTIDO LIBERAL COLOMBIANO,23516
Concejo,CESAR,VALLEDUPAR,ANDREA CAROLINA NAVARRO SERNA,DIGNIDAD VALLENATA,23830
Concejo,CESAR,VALLEDUPAR,ANDRES GUILLERMO DAZA CHACIN,PARTIDO ADA,23595
Concejo,CESAR,VALLEDUPAR,ANDRES NICOLAS MENDOZA SARMIENTO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,23618
Concejo,CESAR,VALLEDUPAR,ANDYS JOSE ROMERO CALDERON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,23700
Concejo,CESAR,VALLEDUPAR,ANGEL ANTONIO MONTAÑO BARON,PARTIDO LIBERAL COLOMBIANO,23521
Concejo,CESAR,VALLEDUPAR,ANGEL DE JESUS MARTINEZ ZUBIETA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,23739
Concejo,CESAR,VALLEDUPAR,ANGEL ELOY FERNANDEZ LOPEZ,PARTIDO COLOMBIA RENACIENTE,23589
Concejo,CESAR,VALLEDUPAR,ANGEL SANTIAGO NIETO MIRANDA,EL CORAZON DEL VALLE - CONCEJO,23797
Concejo,CESAR,VALLEDUPAR,ANGELA MARIA PUERTA JARABA,PARTIDO ADA,23601
Concejo,CESAR,VALLEDUPAR,ANGELICA MARIA AVILA ORTIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,23557
Concejo,CESAR,VALLEDUPAR,ANIBAL GUILLERMO LUQUE JIMENEZ,PARTIDO ALIANZA VERDE,23675
Concejo,CESAR,VALLEDUPAR,ARLETH YOHANA CASTRO POLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,23732
Concejo,CESAR,VALLEDUPAR,ARMANDO ALBERTO DAZA ARZUAGA,PARTIDO CONSERVADOR COLOMBIANO,23644
Concejo,CESAR,VALLEDUPAR,ARMANDO DE JESUS COTES DAZA,PARTIDO LIBERAL COLOMBIANO,23508
Concejo,CESAR,VALLEDUPAR,ARMANDO JAVIER LOPEZ SIERRA,PARTIDO LIBERAL COLOMBIANO,23511
Concejo,CESAR,VALLEDUPAR,ARMANDO JESUS GONZALEZ MONROY,EQUIPOAZUL,23759
Concejo,CESAR,VALLEDUPAR,ARMANDO LUIS COTES DE ARMAS,EL CORAZON DEL VALLE - CONCEJO,23796
