corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,BOJAYA (BELLAVISTA),ADOLFO  ROMAÑA PALACIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,40876
Concejo,CHOCO,BOJAYA (BELLAVISTA),ALEXANDER  CONDE CHAMI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,40840
Concejo,CHOCO,BOJAYA (BELLAVISTA),ANA PASTORA VELASQUEZ CORDOBA,PARTIDO LIBERAL COLOMBIANO,40839
Concejo,CHOCO,BOJAYA (BELLAVISTA),AQUILINO  ALVAREZ MENA,PARTIDO CONSERVADOR COLOMBIANO,40866
Concejo,CHOCO,BOJAYA (BELLAVISTA),ARMANDO  CHANAPICAMA MACHUCA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,40843
Concejo,CHOCO,BOJAYA (BELLAVISTA),BELARMINA  AMAGARA ORTEGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,40847
Concejo,CHOCO,BOJAYA (BELLAVISTA),BORIS  VELASQUEZ VASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,40859
Concejo,CHOCO,BOJAYA (BELLAVISTA),CESAR ENRIQUE BLANDON MAGAÑA,PARTIDO LIBERAL COLOMBIANO,40836
Concejo,CHOCO,BOJAYA (BELLAVISTA),CLEIVER  MURILLO VALENCIA,PARTIDO CAMBIO RADICAL,40870
Concejo,CHOCO,BOJAYA (BELLAVISTA),DANIEL  CORREA CHAVERRA,PARTIDO CAMBIO RADICAL,40875
Concejo,CHOCO,BOJAYA (BELLAVISTA),DIMAS  PALACIOS MENA,PARTIDO CAMBIO RADICAL,40873
Concejo,CHOCO,BOJAYA (BELLAVISTA),DIOMEDES  OLEA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,40842
