corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,EL CARMEN,ALDEMAR  SALAZAR ARBOLEDA,PARTIDO CENTRO DEMOCRATICO,41118
Concejo,CHOCO,EL CARMEN,ALEXANDER  ECHAVARRIA AGUDELO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41154
Concejo,CHOCO,EL CARMEN,ANGELMIRO  OQUI PEREA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41128
Concejo,CHOCO,EL CARMEN,ANTONIO JOSE ORTEGA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,41132
Concejo,CHOCO,EL CARMEN,ANTONIO MARIA CASTRO PALACIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41163
Concejo,CHOCO,EL CARMEN,ARNOLFO  TEQUIA QUERAGAMA,PARTIDO CENTRO DEMOCRATICO,41122
Concejo,CHOCO,EL CARMEN,ASTRID CAROLINA BEDOYA OSPINA,PARTIDO CONSERVADOR COLOMBIANO,41135
Concejo,CHOCO,EL CARMEN,BEATRIZ HELENA MARIN MONCADA,PARTIDO LIBERAL COLOMBIANO,41110
Concejo,CHOCO,EL CARMEN,CARLOS ALBERTO RESTREPO MONTOYA,PARTIDO LIBERAL COLOMBIANO,41105
Concejo,CHOCO,EL CARMEN,CARLOS ALBERTO URIBE ZAPATA,PARTIDO ALIANZA VERDE,41152
Concejo,CHOCO,EL CARMEN,CARLOS AUGUSTO MURIEL CUARTAS,PARTIDO CENTRO DEMOCRATICO,41114
Concejo,CHOCO,EL CARMEN,CARLOS MARIO MAMUNDIA QUERAGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41126
Concejo,CHOCO,EL CARMEN,CLAUDIA AMPARO RONDAN DOMICO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41129
Concejo,CHOCO,EL CARMEN,DARIO SEBASTIAN ARIAS MONCADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41161
Concejo,CHOCO,EL CARMEN,DIANA MILENA VALDERRAMA BEDOYA,PARTIDO CAMBIO RADICAL,41139
Concejo,CHOCO,EL CARMEN,DIEGO  URIBE ARCE,PARTIDO LIBERAL COLOMBIANO,41113
Concejo,CHOCO,EL CARMEN,DIEGO FERNANDO JIMENEZ MONTOYA,PARTIDO CONSERVADOR COLOMBIANO,41134
Concejo,CHOCO,EL CARMEN,DORA EMILSE ARREDONDO TABORDA,PARTIDO CONSERVADOR COLOMBIANO,41136
Concejo,CHOCO,EL CARMEN,ELIECER DE JESUS GRAJALES CORREA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41159
Concejo,CHOCO,EL CARMEN,ERIKA JULIETH OQUENDO GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41155
Concejo,CHOCO,EL CARMEN,ERNESTO  ARCE ESTEVES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41125
Concejo,CHOCO,EL CARMEN,GERALDINE  RODRIGUEZ AGUDELO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41167
Concejo,CHOCO,EL CARMEN,GLORIA PATRICIA GIRALDO FERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41162
Concejo,CHOCO,EL CARMEN,ISABEL CRISTINA LAVERDE VARGAS,PARTIDO CONSERVADOR COLOMBIANO,41137
Concejo,CHOCO,EL CARMEN,JAIME  ESTEVES RIVERA,PARTIDO CONSERVADOR COLOMBIANO,41133
Concejo,CHOCO,EL CARMEN,JAIME ALONSO AGUDELO ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41156
Concejo,CHOCO,EL CARMEN,JAIME HUMBERTO SANCHEZ MONTANO,PARTIDO CAMBIO RADICAL,41144
Concejo,CHOCO,EL CARMEN,JAIRO HUMBERTO ARIAS AGUDELO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41169
Concejo,CHOCO,EL CARMEN,JANETH  JARAMILLO MUÑOZ,PARTIDO CAMBIO RADICAL,41143
Concejo,CHOCO,EL CARMEN,JASBLEIDY  TABORDA TABORDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41171
Concejo,CHOCO,EL CARMEN,JENNY MARCELA GUAGUARAVE RESTREPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,117861
Concejo,CHOCO,EL CARMEN,JHON FREDY CEBALLOS LOAIZA,PARTIDO LIBERAL COLOMBIANO,41103
Concejo,CHOCO,EL CARMEN,JHONATAN ALEXANDER TORRES AGUDELO,PARTIDO LIBERAL COLOMBIANO,41109
Concejo,CHOCO,EL CARMEN,JICELA  ZULETA DAVILA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41160
Concejo,CHOCO,EL CARMEN,JOHN ALEXANDER MUÑETON LONDOÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41157
Concejo,CHOCO,EL CARMEN,JOSE  TEQUIA ARCE,PARTIDO LIBERAL COLOMBIANO,41104
Concejo,CHOCO,EL CARMEN,JOSE ALEXANDER URAN VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41170
Concejo,CHOCO,EL CARMEN,JOSE MARIA LOZANO VARGAS,PARTIDO CAMBIO RADICAL,41145
Concejo,CHOCO,EL CARMEN,JOSE VICENTE URAN GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41164
Concejo,CHOCO,EL CARMEN,JUAN FERNANDO SANMARTIN OLAYA,PARTIDO CAMBIO RADICAL,41142
Concejo,CHOCO,EL CARMEN,JUDY NATALIA GALLEGO SANCHEZ,PARTIDO CENTRO DEMOCRATICO,41117
Concejo,CHOCO,EL CARMEN,JULIAN ALBERTO RIOS ADARVE,PARTIDO ALIANZA VERDE,41151
Concejo,CHOCO,EL CARMEN,KETY YULENNY GAÑAN CARVAJAL,PARTIDO LIBERAL COLOMBIANO,41112
Concejo,CHOCO,EL CARMEN,KEVIN DANIEL RODRIGUEZ HERRERA,PARTIDO ALIANZA VERDE,41150
Concejo,CHOCO,EL CARMEN,LIBIA MARIA QUINTERO CORRALES,PARTIDO CAMBIO RADICAL,41147
Concejo,CHOCO,EL CARMEN,LUIS HORACIO LORA CASTRO,PARTIDO LIBERAL COLOMBIANO,41107
Concejo,CHOCO,EL CARMEN,MARCO TULIO GONZALEZ BARIAZA,PARTIDO LIBERAL COLOMBIANO,41111
Concejo,CHOCO,EL CARMEN,MARIA BERENICE TABORDA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,41108
Concejo,CHOCO,EL CARMEN,MARIA CECILIA AGUDELO VALDERRAMA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,41158
Concejo,CHOCO,EL CARMEN,MARIA CRISTINA SOTO ,PARTIDO ALIANZA VERDE,41149
Concejo,CHOCO,EL CARMEN,MARIA ELIZABETH CEBALLOS GARRO,PARTIDO CAMBIO RADICAL,41146
Concejo,CHOCO,EL CARMEN,MARIA LUCELY TABORDA TABORDA,PARTIDO CENTRO DEMOCRATICO,41121
Concejo,CHOCO,EL CARMEN,MARISBEY  CORREA MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41168
Concejo,CHOCO,EL CARMEN,MARLON YESID MONTOYA VELEZ,PARTIDO CENTRO DEMOCRATICO,41116
Concejo,CHOCO,EL CARMEN,MAURICIO ALBERTO BEDOYA LAVERDE,PARTIDO CENTRO DEMOCRATICO,41119
Concejo,CHOCO,EL CARMEN,MONICA MARIA BEDOYA TABORDA,PARTIDO CAMBIO RADICAL,41141
Concejo,CHOCO,EL CARMEN,ORLANDO  ARCE QUERAGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41127
Concejo,CHOCO,EL CARMEN,PEDRO ANTONIO QUERAGAMA ARCE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41123
Concejo,CHOCO,EL CARMEN,RAFAEL HUMBERTO GIRALDO CARDONA,PARTIDO CAMBIO RADICAL,41148
Concejo,CHOCO,EL CARMEN,RAMIRO DE JESUS CASTAÑEDA RESTREPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41166
Concejo,CHOCO,EL CARMEN,RAMIRO DE JESUS GIRALDO HENAO,PARTIDO CAMBIO RADICAL,41138
Concejo,CHOCO,EL CARMEN,REINEL  CASTRO JARAMILLO,PARTIDO CAMBIO RADICAL,41140
Concejo,CHOCO,EL CARMEN,RICHARD ALONSO ECHAVARRIA AGUDELO,PARTIDO CONSERVADOR COLOMBIANO,41131
Concejo,CHOCO,EL CARMEN,ROSALINA  ARCE QUERAGAMA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41165
Concejo,CHOCO,EL CARMEN,SOFIA DE JESUS CARDONA SANCHEZ,PARTIDO CENTRO DEMOCRATICO,41115
Concejo,CHOCO,EL CARMEN,SORY INES MACHADO FLOREZ,PARTIDO LIBERAL COLOMBIANO,41106
Concejo,CHOCO,EL CARMEN,VIVIANETH  VASQUEZ ,PARTIDO CENTRO DEMOCRATICO,41120
Concejo,CHOCO,EL CARMEN,YENNY TATIANA ZAPATA MONTOYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41130
Concejo,CHOCO,EL CARMEN,YUDY ANDREA RESTREPO VALDERRAMA,PARTIDO ALIANZA VERDE,41153
