corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,NUQUI,AMANCIO  HURTADO POTES,PARTIDO CAMBIO RADICAL,41588
Concejo,CHOCO,NUQUI,ANIER RAUL PEREA LOPEZ,PARTIDO COLOMBIA RENACIENTE,41585
Concejo,CHOCO,NUQUI,ARGELIS  FLACO GARCIA,PARTIDO CAMBIO RADICAL,41591
Concejo,CHOCO,NUQUI,ARMANDO  HANIPE CABRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41573
Concejo,CHOCO,NUQUI,ARTENIO  QUINTO VANEGAS,PARTIDO CAMBIO RADICAL,41589
Concejo,CHOCO,NUQUI,BEBERLY  GAMBOA VALENCIA,PARTIDO COLOMBIA RENACIENTE,41580
Concejo,CHOCO,NUQUI,BENJAMIN  CORREDOR MORENO,PARTIDO COLOMBIA RENACIENTE,41584
Concejo,CHOCO,NUQUI,CARLOS ANDRES GOMEZ MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41599
Concejo,CHOCO,NUQUI,CARMEN JISELA MARTINEZ VALOIS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41576
Concejo,CHOCO,NUQUI,CESAR EMILIO PALACIOS PALACIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41604
Concejo,CHOCO,NUQUI,CRISELINA  DOJIRAMA BANUBI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41600
Concejo,CHOCO,NUQUI,DELIO  CUNAMPIA QUIRO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41569
Concejo,CHOCO,NUQUI,DEYSON  QUIRO MECHA,PARTIDO COLOMBIA RENACIENTE,41583
Concejo,CHOCO,NUQUI,DIGNA MARIA QUINTO NAVAS,PARTIDO COLOMBIA RENACIENTE,41579
Concejo,CHOCO,NUQUI,ERIKA LORENA MARTINEZ GONZALEZ,PARTIDO COLOMBIA RENACIENTE,41581
Concejo,CHOCO,NUQUI,ERINSON  MOSQUERA MENA,PARTIDO CAMBIO RADICAL,41594
Concejo,CHOCO,NUQUI,FRANAIBER  PEREA GIRON,PARTIDO COLOMBIA RENACIENTE,41582
Concejo,CHOCO,NUQUI,JAFERLIN  PALACIOS MARTINEZ,PARTIDO COLOMBIA RENACIENTE,41578
Concejo,CHOCO,NUQUI,JHORLIN FABIAN CORDOBA IBARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41601
Concejo,CHOCO,NUQUI,JIMMY  GAMBOA IBARGUEN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41596
Concejo,CHOCO,NUQUI,JOSE TORIBIO LEMUS GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41597
Concejo,CHOCO,NUQUI,KELLIS DAYANA ORDOÑEZ MARTINEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41575
Concejo,CHOCO,NUQUI,MARIA LINCER VALENCIA TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41598
Concejo,CHOCO,NUQUI,MARIA SUCY RIASCOS MORENO,PARTIDO CAMBIO RADICAL,41593
Concejo,CHOCO,NUQUI,MIRNA  ANGULO PEREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41602
Concejo,CHOCO,NUQUI,MIYER  SANAPI ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41570
Concejo,CHOCO,NUQUI,NILSO  CAISAMO ISARAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41571
Concejo,CHOCO,NUQUI,NINI GIMENA GIL GARCIA,PARTIDO COLOMBIA RENACIENTE,41586
Concejo,CHOCO,NUQUI,OCTAVIANO  SANCHEZ GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41572
Concejo,CHOCO,NUQUI,PAOLA  ACHITO CARPIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41577
Concejo,CHOCO,NUQUI,SANDRA PATRICIA COPETE PEREZ,PARTIDO CAMBIO RADICAL,41592
Concejo,CHOCO,NUQUI,SARA EDITH ZUÑIGA SANCHEZ,PARTIDO CAMBIO RADICAL,41587
Concejo,CHOCO,NUQUI,WALTER  CHARAMPIA BANUVI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,41574
Concejo,CHOCO,NUQUI,WINNER ALFREDO SANCHEZ LARGACHA,PARTIDO CAMBIO RADICAL,41590
Concejo,CHOCO,NUQUI,YEISSON DE JESUS MURILLO PALACIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41603
Concejo,CHOCO,NUQUI,YILMAR LORENZO QUINTO ASPRILLA,PARTIDO CAMBIO RADICAL,41595
