corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,RIO IRO,ANNY YOJARY AGUALIMPIA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41633
Concejo,CHOCO,RIO IRO,CRUZ YOLANDA PEREA MOSQUERA,PARTIDO LIBERAL COLOMBIANO,41607
Concejo,CHOCO,RIO IRO,DANIEL  LOZANO RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41631
Concejo,CHOCO,RIO IRO,DARLEYI YAJANNI MOSQUERA MOSQUERA,PARTIDO CAMBIO RADICAL,41616
Concejo,CHOCO,RIO IRO,ELEUTERIO  PEREA RAMIREZ,PARTIDO CAMBIO RADICAL,41611
Concejo,CHOCO,RIO IRO,ERIKA YURIZA LEMUS ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41632
Concejo,CHOCO,RIO IRO,EVANGELINA  PEREA MOSQUERA,PARTIDO CAMBIO RADICAL,41613
Concejo,CHOCO,RIO IRO,FLORENCIO  MORENO MOSQUERA,PARTIDO CAMBIO RADICAL,41617
Concejo,CHOCO,RIO IRO,GILBER ANTONIO MOSQUERA MOSQUERA,PARTIDO ALIANZA VERDE,41628
Concejo,CHOCO,RIO IRO,ILSON ANDRES MOSQUERA MOSQUERA,PARTIDO CAMBIO RADICAL,41614
Concejo,CHOCO,RIO IRO,JAIRO ANTONIO PEREA PEREA,PARTIDO ALIANZA VERDE,41623
Concejo,CHOCO,RIO IRO,JESUS DANILO MOSQUERA MOSQUERA,PARTIDO ALIANZA VERDE,41624
Concejo,CHOCO,RIO IRO,JESUS MARINO QUINTO BENITEZ,PARTIDO CAMBIO RADICAL,41615
Concejo,CHOCO,RIO IRO,JHON JAIRO VALENCIA GARCIA,PARTIDO ALIANZA VERDE,41626
Concejo,CHOCO,RIO IRO,JOSE ELI MOSQUERA MOSQUERA,PARTIDO LIBERAL COLOMBIANO,41610
Concejo,CHOCO,RIO IRO,JOSE EMILIANO MOSQUERA BENITEZ,PARTIDO CAMBIO RADICAL,41612
Concejo,CHOCO,RIO IRO,JOSE FIDEL SANCHEZ MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41630
Concejo,CHOCO,RIO IRO,LEIDY YOHANA MOSQUERA MOSQUERA,PARTIDO CAMBIO RADICAL,41618
Concejo,CHOCO,RIO IRO,LEIDY YULIE ASPRILLA PEREA,PARTIDO ALIANZA VERDE,41622
Concejo,CHOCO,RIO IRO,LUIS CARLOS MOSQUERA MOSQUERA,PARTIDO CAMBIO RADICAL,41619
Concejo,CHOCO,RIO IRO,LUIS JAIR MORENO RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41629
Concejo,CHOCO,RIO IRO,MAILON  RENTERIA MENA,PARTIDO LIBERAL COLOMBIANO,41606
Concejo,CHOCO,RIO IRO,MANUEL EDUARDO MOSQUERA MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,41634
Concejo,CHOCO,RIO IRO,MANUEL JOSE CORDOBA RAMIREZ,PARTIDO LIBERAL COLOMBIANO,41608
Concejo,CHOCO,RIO IRO,MARIA STELLA MOSQUERA PEREA,PARTIDO ALIANZA VERDE,41621
Concejo,CHOCO,RIO IRO,OLGA LUCIA SANCHEZ HURTADO,PARTIDO LIBERAL COLOMBIANO,41609
Concejo,CHOCO,RIO IRO,ROBINSON  MOSQUERA PEREA,PARTIDO LIBERAL COLOMBIANO,41605
Concejo,CHOCO,RIO IRO,SAMI JAIR ANGULO MOSQUERA,PARTIDO ALIANZA VERDE,41627
Concejo,CHOCO,RIO IRO,YOMAR ANDRES RODRIGUEZ GOMEZ,PARTIDO ALIANZA VERDE,41625
Concejo,CHOCO,RIO IRO,YUSLEISA  PEREA PEREA,PARTIDO ALIANZA VERDE,41620
