corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,SAN JOSE DEL PALMAR,ABEL ANTONIO MONTOYA AGUDELO,PARTIDO CAMBIO RADICAL,41797
Concejo,CHOCO,SAN JOSE DEL PALMAR,ALEXANDRO  TAPIERO PEREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41824
Concejo,CHOCO,SAN JOSE DEL PALMAR,ANA FELINDA MOSQUERA SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,41790
Concejo,CHOCO,SAN JOSE DEL PALMAR,ANTONIO JOSE AGUIRRE CORTES,PARTIDO ALIANZA VERDE,41810
Concejo,CHOCO,SAN JOSE DEL PALMAR,BEATRIZ HELENA VALLES PEÑA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41823
Concejo,CHOCO,SAN JOSE DEL PALMAR,BILTON ANTONIO MOSQUERA LUNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41818
Concejo,CHOCO,SAN JOSE DEL PALMAR,CARLOS AUGUSTO OCAMPO ALZATE,PARTIDO CONSERVADOR COLOMBIANO,41785
Concejo,CHOCO,SAN JOSE DEL PALMAR,DIANA CAROLINA MORALES ORTIZ,PARTIDO CAMBIO RADICAL,41796
Concejo,CHOCO,SAN JOSE DEL PALMAR,DIEGO EVER GUIZADO ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41825
Concejo,CHOCO,SAN JOSE DEL PALMAR,DIOMER  ZURITA GOMEZ,PARTIDO LIBERAL COLOMBIANO,41781
Concejo,CHOCO,SAN JOSE DEL PALMAR,DUBERNEY  CASTELLANOS GOMES,PARTIDO CONSERVADOR COLOMBIANO,41791
Concejo,CHOCO,SAN JOSE DEL PALMAR,EDER  GUZMAN MORELO,PARTIDO CONSERVADOR COLOMBIANO,41792
Concejo,CHOCO,SAN JOSE DEL PALMAR,EFRAIN ANDRES GALVIS MARTINEZ,PARTIDO CAMBIO RADICAL,41795
Concejo,CHOCO,SAN JOSE DEL PALMAR,ELIVER ANTONIO AVILA LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41813
Concejo,CHOCO,SAN JOSE DEL PALMAR,ESLY DE JESUS GUISADO BLANDON,PARTIDO CAMBIO RADICAL,41798
Concejo,CHOCO,SAN JOSE DEL PALMAR,EUCEBIO ANTONIO BETANCOURT FLOREZ,PARTIDO CAMBIO RADICAL,41800
Concejo,CHOCO,SAN JOSE DEL PALMAR,EVER ESNEIDER BELTRAN ORTIZ,PARTIDO ALIANZA VERDE,41807
Concejo,CHOCO,SAN JOSE DEL PALMAR,FERNEY  GALLEGO CASTRILLON,PARTIDO LIBERAL COLOMBIANO,41782
Concejo,CHOCO,SAN JOSE DEL PALMAR,GLORIA INES SANCHEZ ,PARTIDO ALIANZA VERDE,41803
Concejo,CHOCO,SAN JOSE DEL PALMAR,INES OLIVA CORTEZ PATIÑO,PARTIDO LIBERAL COLOMBIANO,41779
Concejo,CHOCO,SAN JOSE DEL PALMAR,JAMES DE JESUS MONCADA MONCADA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41812
Concejo,CHOCO,SAN JOSE DEL PALMAR,JESICA YULIE ACEVEDO ACEVEDO,PARTIDO CAMBIO RADICAL,41799
Concejo,CHOCO,SAN JOSE DEL PALMAR,JESUS ECCEHOMO FIGUEROA ORREGO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41822
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOHNY FERNANDO YEPEZ REALPE,PARTIDO LIBERAL COLOMBIANO,41776
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOSE ALEXIS GUTIERREZ ORREGO,PARTIDO LIBERAL COLOMBIANO,41783
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOSE JAILE SANCHEZ PEREA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41811
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOSE JESUS URIBE RAMIREZ,PARTIDO ALIANZA VERDE,41809
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOSE MARIA MONCADA MARIN,PARTIDO CONSERVADOR COLOMBIANO,41793
Concejo,CHOCO,SAN JOSE DEL PALMAR,JOSE ORLEY SERNA QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,41786
Concejo,CHOCO,SAN JOSE DEL PALMAR,KAREN YARITZA GALLEGO HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,41787
Concejo,CHOCO,SAN JOSE DEL PALMAR,LEYDI GABRIELA ASTAIZA FAJARDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41815
Concejo,CHOCO,SAN JOSE DEL PALMAR,LIBARDO ANTONIO OTALVARO ZULUAGA,PARTIDO ALIANZA VERDE,41808
Concejo,CHOCO,SAN JOSE DEL PALMAR,LUCY CAROLINA VIVEROS MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,41789
Concejo,CHOCO,SAN JOSE DEL PALMAR,LUIS ANIBAL JIMENEZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,41778
Concejo,CHOCO,SAN JOSE DEL PALMAR,LUZ ANGELICA GUAQUIRAMA GUAURAVE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41817
Concejo,CHOCO,SAN JOSE DEL PALMAR,LUZ ESNEDA GARCIA BETANCUR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,41816
Concejo,CHOCO,SAN JOSE DEL PALMAR,MARIA CECILIA AMAYA HERNANDEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41819
Concejo,CHOCO,SAN JOSE DEL PALMAR,MARIA CONSTANZA RIVERA MARIN,PARTIDO ALIANZA VERDE,41804
Concejo,CHOCO,SAN JOSE DEL PALMAR,MARIA DE LOS ANGELES RAMIREZ TABA,PARTIDO CENTRO DEMOCRATICO,41784
Concejo,CHOCO,SAN JOSE DEL PALMAR,MARIA TERESA MOSQUERA RAMIREZ,PARTIDO ALIANZA VERDE,41805
Concejo,CHOCO,SAN JOSE DEL PALMAR,OSCAR  VALENCIA CASTAÑO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,41821
Concejo,CHOCO,SAN JOSE DEL PALMAR,RAUL DE JESUS VALENCIA RIOS,PARTIDO CONSERVADOR COLOMBIANO,41788
