corp,dpto,mpio,name,party,wp_no
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),ALEXANDER  MURILLO MOSQUERA,PARTIDO LIBERAL COLOMBIANO,42236
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),ALVARO LUIS CETRE MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,42241
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),BREINER  OREJUELA AGUILAR,PARTIDO LIBERAL COLOMBIANO,42229
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),DARINSON  RENGIFO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42250
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),DARWIN  BERMUDEZ HINESTROZA,PARTIDO LIBERAL COLOMBIANO,42232
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),EDWIN  MOSQUERA SALAS,PARTIDO LIBERAL COLOMBIANO,42234
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),ELSY YANETH LATORRE QUIÑONES,PARTIDO ALIANZA VERDE,42246
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),ESMIRNA  VALDERRAMA HINESTROZA,PARTIDO CONSERVADOR COLOMBIANO,42237
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),HENRRY  LEDESMA MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,42239
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),JARLES ARIEL HURTADO MORENO,PARTIDO ALIANZA VERDE,42247
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),JHORMAN ANDRES VIVAS PALACIOS,PARTIDO CONSERVADOR COLOMBIANO,42243
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),JONNY  QUINTO MARTINEZ,PARTIDO LIBERAL COLOMBIANO,42231
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),JORGE FIDEL MURILLO MOSQUERA,PARTIDO LIBERAL COLOMBIANO,42235
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),JOSE MORALES CABRERA PALACIOS,PARTIDO CONSERVADOR COLOMBIANO,42244
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),MANUEL AMADO IBARGUEN MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42251
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),MARIA CLORETH AGUALIMPIA QUINTO,PARTIDO CONSERVADOR COLOMBIANO,42240
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),MARIA FABIOLA SANCHEZ MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42249
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),MARIA ZUNILDA ISARAMA FORASTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42253
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),MILEIDY  MURILLO PALACIOS,PARTIDO LIBERAL COLOMBIANO,42233
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),NATALY  MURILLO AGUILAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42252
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),OMAR ANTONIO FLOREZ MURILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42248
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),ROBINSON  WALDO VALDERRAMA,PARTIDO CONSERVADOR COLOMBIANO,42238
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),SAMIR ALBEIRO MOSQUERA ,PARTIDO CONSERVADOR COLOMBIANO,42245
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),SANDRA MILENA HINESTROZA MORENO,PARTIDO CONSERVADOR COLOMBIANO,42242
Concejo,CHOCO,UNION PANAMERICANA (LAS ANIMAS),VALENTINA  PEREA MOSQUERA,PARTIDO LIBERAL COLOMBIANO,42230
