corp,dpto,mpio,name,party,wp_no
Concejo,CORDOBA,CANALETE,ABEL ANTONIO ESCUDERO DAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30367
Concejo,CORDOBA,CANALETE,ALCIDES DE LOS REYES PEREZ BURGOS,PARTIDO LIBERAL COLOMBIANO,30297
Concejo,CORDOBA,CANALETE,ALEXANDRA MARIA JERONIMO BURGOS,PARTIDO CENTRO DEMOCRATICO,30310
Concejo,CORDOBA,CANALETE,ALFREDO ENRIQUE MORALES JARAMILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30362
Concejo,CORDOBA,CANALETE,AMANDA JOSE MENDOZA PRIMERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30357
Concejo,CORDOBA,CANALETE,ANA JUDITH ARROYO VELASQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30355
Concejo,CORDOBA,CANALETE,AURA LUZ CARO NISPERUZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30319
Concejo,CORDOBA,CANALETE,CARMELO RAFAEL VEGA POLO,PARTIDO CAMBIO RADICAL,30331
Concejo,CORDOBA,CANALETE,CAROLINA  RAMOS OSPINO,PARTIDO CENTRO DEMOCRATICO,30309
Concejo,CORDOBA,CANALETE,CLAUDIA VANESSA TORRES ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30364
Concejo,CORDOBA,CANALETE,DAIMER  SUAREZ GUARIN,PARTIDO CONSERVADOR COLOMBIANO,30327
Concejo,CORDOBA,CANALETE,DAIRO ANTONIO LOPEZ MADRID,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30354
Concejo,CORDOBA,CANALETE,DANIEL ENRIQUE FABRA VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30360
Concejo,CORDOBA,CANALETE,DAVID ANDRES RAMOS MUÑOZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30348
Concejo,CORDOBA,CANALETE,DEICY DEL ROSARIO RAMOS ALVAREZ,PARTIDO LIBERAL COLOMBIANO,30295
Concejo,CORDOBA,CANALETE,DELCY DEL CARMEN PACHECO SALGADO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30343
Concejo,CORDOBA,CANALETE,DIANA CECILIA CORREA SEGURA,PARTIDO CONSERVADOR COLOMBIANO,30323
Concejo,CORDOBA,CANALETE,DINA LUZ BERNA HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30321
Concejo,CORDOBA,CANALETE,DINA MARCELA SANCHEZ SANDOVAL,PARTIDO CAMBIO RADICAL,30336
Concejo,CORDOBA,CANALETE,EDELMA MARIA MONTALVO MADERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30365
Concejo,CORDOBA,CANALETE,EDGARDO LUIS SALCEDO NARVAEZ,PARTIDO CAMBIO RADICAL,30338
Concejo,CORDOBA,CANALETE,ELEBEL  ESTRELLA VERGARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30314
Concejo,CORDOBA,CANALETE,FANCY MILLET MARQUEZ ZAMBRANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30312
Concejo,CORDOBA,CANALETE,FELICIA ESPERANZA DOMINGUEZ PASTRANA,PARTIDO CONSERVADOR COLOMBIANO,30325
Concejo,CORDOBA,CANALETE,FRANCISCO JAVIER VERGARA AGAME,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30352
Concejo,CORDOBA,CANALETE,GLADIS MARY PEÑAFIEL CHIMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30313
Concejo,CORDOBA,CANALETE,ISMAEL EMILIO FLOREZ JARAMILLO,PARTIDO LIBERAL COLOMBIANO,30300
Concejo,CORDOBA,CANALETE,JAIRO LUIS PERNETH CUITIVA,PARTIDO LIBERAL COLOMBIANO,30299
Concejo,CORDOBA,CANALETE,JAVIER ELIAS CASSAB VASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,30326
Concejo,CORDOBA,CANALETE,JHON CARLOS DE HOYOS MARTINEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30347
Concejo,CORDOBA,CANALETE,JHON JAIRO CAUSIL MARQUEZ,PARTIDO CENTRO DEMOCRATICO,30308
Concejo,CORDOBA,CANALETE,JOSE DAVID UBARNE MARTINEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30346
Concejo,CORDOBA,CANALETE,JOSE FERNANDO ENAMORADO SANCHEZ,PARTIDO CAMBIO RADICAL,30337
Concejo,CORDOBA,CANALETE,JOSE GREGORIO MADERA GONZALEZ,PARTIDO CENTRO DEMOCRATICO,30306
Concejo,CORDOBA,CANALETE,JOSE LUIS CARVAJAL DURANGO,PARTIDO CENTRO DEMOCRATICO,30311
Concejo,CORDOBA,CANALETE,JOSE LUIS MORELO MARTINEZ,PARTIDO LIBERAL COLOMBIANO,30301
Concejo,CORDOBA,CANALETE,JOSE TRINIDAD GONZALEZ BECHARA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30341
Concejo,CORDOBA,CANALETE,JUAN BAUTISTA SERPA MURILLO,PARTIDO CAMBIO RADICAL,30334
Concejo,CORDOBA,CANALETE,JULIO CESAR ALVAREZ HERNANDEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30344
Concejo,CORDOBA,CANALETE,JULIO CESAR FABRA MONTES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30345
Concejo,CORDOBA,CANALETE,JULIO FACION SOTO CORTES,PARTIDO LIBERAL COLOMBIANO,30294
Concejo,CORDOBA,CANALETE,KEIMER ALONSO AREIZA HENAO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30366
Concejo,CORDOBA,CANALETE,LEANIS PATRICIA GAVIRIA MADRID,PARTIDO CONSERVADOR COLOMBIANO,30330
Concejo,CORDOBA,CANALETE,LILIANA PATRICIA JIMENEZ SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30350
Concejo,CORDOBA,CANALETE,LINA MARIA NUÑEZ ALVAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30342
Concejo,CORDOBA,CANALETE,LORCI ALBERTO CORREA LEON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30363
Concejo,CORDOBA,CANALETE,LUIS FRANCISCO TOSCANO PADILLA,PARTIDO CAMBIO RADICAL,30332
Concejo,CORDOBA,CANALETE,MANUEL DE JESUS ORTEGA COGOLLO,PARTIDO LIBERAL COLOMBIANO,30298
Concejo,CORDOBA,CANALETE,MANUEL EMIRO VELLOJIN ,PARTIDO CENTRO DEMOCRATICO,30304
Concejo,CORDOBA,CANALETE,MANUEL ENRIQUE ALGARIN VILLADIEGO,PARTIDO CONSERVADOR COLOMBIANO,30329
Concejo,CORDOBA,CANALETE,MANUEL FRANCISCO PACHECO MARTINEZ,PARTIDO CAMBIO RADICAL,30333
Concejo,CORDOBA,CANALETE,MANUEL GREGORIO PEREZ CAMPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30315
Concejo,CORDOBA,CANALETE,MARIA DEL SOCORRO BARON VERGARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,30368
