corp,dpto,mpio,name,party,wp_no
Concejo,CORDOBA,MONTELIBANO,ALDA DE JESUS TORRES CASCERES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28178
Concejo,CORDOBA,MONTELIBANO,ALEXANDRA PASTORA AGAMEZ RAMOS,PARTIDO CENTRO DEMOCRATICO,28086
Concejo,CORDOBA,MONTELIBANO,ALVEIRO GREGORIO DE LA OSSA MURILLO,PARTIDO CAMBIO RADICAL,28148
Concejo,CORDOBA,MONTELIBANO,ANA LUDIS MARTINEZ DE HOYOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28196
Concejo,CORDOBA,MONTELIBANO,ANA MATILDE CONTRERAS RODELO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28181
Concejo,CORDOBA,MONTELIBANO,ANA VICTORIA AYALA VALDERRAMA,PARTIDO CONSERVADOR COLOMBIANO,28133
Concejo,CORDOBA,MONTELIBANO,ANDRES ABELINO LAVERDE NEGRETE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28183
Concejo,CORDOBA,MONTELIBANO,ANDRES MANUEL MARTINEZ MARTINEZ,PARTIDO COLOMBIA RENACIENTE,28126
Concejo,CORDOBA,MONTELIBANO,ANGELICA MARIA ESTRADA CAUSIL,PARTIDO ALIANZA VERDE,28163
Concejo,CORDOBA,MONTELIBANO,ANGIE  BARRERA AGAMEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28078
Concejo,CORDOBA,MONTELIBANO,ANIANO MANUEL TIRADO ARABIA,PARTIDO ALIANZA VERDE,28173
Concejo,CORDOBA,MONTELIBANO,ANSELMO MANUEL HERRERA MARCILIA,PARTIDO LIBERAL COLOMBIANO,28064
Concejo,CORDOBA,MONTELIBANO,ANTONIO RAFAEL MADERA MORENO,PARTIDO ALIANZA VERDE,28174
Concejo,CORDOBA,MONTELIBANO,ARMANDO JOSE MONTES RICARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28208
Concejo,CORDOBA,MONTELIBANO,ARNALDO JOSE PUERTA VALERIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28114
Concejo,CORDOBA,MONTELIBANO,ATILANO ALFONSO DE LA OSSA FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,28096
Concejo,CORDOBA,MONTELIBANO,AUDITH BIBIANA OSORIO VILLADIEGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28179
Concejo,CORDOBA,MONTELIBANO,BEDER DARIO ROJAS DELGADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28188
Concejo,CORDOBA,MONTELIBANO,CARLOS ALBERTO ARTEAGA RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,28135
Concejo,CORDOBA,MONTELIBANO,CARLOS ALBERTO MONTIEL VASQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28110
Concejo,CORDOBA,MONTELIBANO,CARLOS ANDRES CONTRERAS ARIAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28184
Concejo,CORDOBA,MONTELIBANO,CARLOS ENRIQUE BARROSO MEDINA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28073
Concejo,CORDOBA,MONTELIBANO,CARLOS JOSE DURANGO ASSIS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28080
Concejo,CORDOBA,MONTELIBANO,CARLOS MARIO ESCOBAR BOTERO,PARTIDO LIBERAL COLOMBIANO,28066
Concejo,CORDOBA,MONTELIBANO,CARMEN CRISTINA PADILLA SIERRA,PARTIDO CAMBIO RADICAL,28150
Concejo,CORDOBA,MONTELIBANO,CONRADO  ARANGO ZABALETA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28107
Concejo,CORDOBA,MONTELIBANO,CRISTIAN  PADILLA TAPIAS,PARTIDO COLOMBIA JUSTA LIBRES,28119
Concejo,CORDOBA,MONTELIBANO,CRISTOBAL JOSE RAMOS AYAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28190
Concejo,CORDOBA,MONTELIBANO,DANIEL EMIRO CANO SANDOVAL,PARTIDO CENTRO DEMOCRATICO,28092
Concejo,CORDOBA,MONTELIBANO,DANIEL ENRIQUE MENDOZA ARGEL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28176
Concejo,CORDOBA,MONTELIBANO,DANIELA ESTER REYES CARBALO,PARTIDO COLOMBIA JUSTA LIBRES,28116
Concejo,CORDOBA,MONTELIBANO,DAVID ANTONIO HOYOS MEZA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28220
Concejo,CORDOBA,MONTELIBANO,DEIDER MANUEL BUELVAS LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28217
Concejo,CORDOBA,MONTELIBANO,DINA LUZ TORRES HERNANDEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28215
Concejo,CORDOBA,MONTELIBANO,DUBIS ROSA FUENTES PACHECO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28206
Concejo,CORDOBA,MONTELIBANO,EDUIN DE JESUS CARRIAZO CALDAS,PARTIDO CAMBIO RADICAL,28149
Concejo,CORDOBA,MONTELIBANO,ELENA MARIA GARCIA BUSTAMANTE,PARTIDO LIBERAL COLOMBIANO,28065
Concejo,CORDOBA,MONTELIBANO,ELKIN DAVID GOMEZ ARRIETA,PARTIDO LIBERAL COLOMBIANO,28067
Concejo,CORDOBA,MONTELIBANO,ELKIN EDWIN SALCEDO ALVAREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28211
Concejo,CORDOBA,MONTELIBANO,ELKIN MANUEL GARAVITO ARIAS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28083
Concejo,CORDOBA,MONTELIBANO,ELKIN RODOLFO HERNANDEZ BLANCO,PARTIDO CAMBIO RADICAL,28159
Concejo,CORDOBA,MONTELIBANO,EMILIO ENRIQUE MENDOZA JEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28201
Concejo,CORDOBA,MONTELIBANO,ENIT DEL CARMEN CASTILLO OROZCO,PARTIDO LIBERAL COLOMBIANO,28061
Concejo,CORDOBA,MONTELIBANO,ENRRY GERMAN SANCHEZ SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28194
Concejo,CORDOBA,MONTELIBANO,ERASMO  MARTINEZ GIL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28209
Concejo,CORDOBA,MONTELIBANO,ERIK MANUEL DIAZ BENITEZ,PARTIDO ALIANZA VERDE,28168
Concejo,CORDOBA,MONTELIBANO,ERIKA PAOLA BENAVIDES RODRIGUEZ,PARTIDO COLOMBIA RENACIENTE,28125
Concejo,CORDOBA,MONTELIBANO,ESCILDA  CORENA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28108
Concejo,CORDOBA,MONTELIBANO,ESPERANZA DE JESUS GALVIS BENAVIDES,PARTIDO COLOMBIA JUSTA LIBRES,28118
Concejo,CORDOBA,MONTELIBANO,ESTEBAN  UPARELA RAMOS,PARTIDO LIBERAL COLOMBIANO,28063
Concejo,CORDOBA,MONTELIBANO,ESTEBAN ALFONSO HOYOS ARRIETA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28105
Concejo,CORDOBA,MONTELIBANO,EVELIO JUNIOR MEZA GUERRERO,PARTIDO CAMBIO RADICAL,28153
Concejo,CORDOBA,MONTELIBANO,EVER JOSE DIAZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,28099
Concejo,CORDOBA,MONTELIBANO,EVERLIDES VICTORIA ZABALETA ORTEGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28180
Concejo,CORDOBA,MONTELIBANO,FADID FRANCISCO TUIRAN PAYARES,PARTIDO ALIANZA VERDE,28170
Concejo,CORDOBA,MONTELIBANO,FEDER FRANCISCO ACEVEDO ATENCIO,PARTIDO POLITICO MIRA,28191
Concejo,CORDOBA,MONTELIBANO,FRANCISCO ANTONIO GUERRA ULLOA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28204
Concejo,CORDOBA,MONTELIBANO,GILMA PATRICIA ALTAMIRANDA MARTINEZ,PARTIDO ALIANZA VERDE,28165
Concejo,CORDOBA,MONTELIBANO,GLORIA LUZ VERGARA MACEA,PARTIDO CENTRO DEMOCRATICO,28094
Concejo,CORDOBA,MONTELIBANO,GLORIA STELLA GUTIERREZ TAFUR,PARTIDO LIBERAL COLOMBIANO,28059
Concejo,CORDOBA,MONTELIBANO,GREGORIA INES VELASQUEZ JARAMILLO,PARTIDO POLITICO MIRA,28193
Concejo,CORDOBA,MONTELIBANO,GRISELDO DE JESUS RICAURTE OSORIO,PARTIDO ALIANZA VERDE,28167
Concejo,CORDOBA,MONTELIBANO,HADER JOHNY PARRA NUÑEZ,PARTIDO CENTRO DEMOCRATICO,28095
Concejo,CORDOBA,MONTELIBANO,HECTOR ALFONSO PACHECO PINTO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28077
Concejo,CORDOBA,MONTELIBANO,HUMBERTO  HERNANDEZ ACUÑA,PARTIDO CENTRO DEMOCRATICO,28098
Concejo,CORDOBA,MONTELIBANO,ISAIAS ANTONIO DEMOYA ALVAREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28075
Concejo,CORDOBA,MONTELIBANO,IVAN DARIO PEREZ ARTEAGA,PARTIDO COLOMBIA RENACIENTE,28130
Concejo,CORDOBA,MONTELIBANO,JAIME ALFREDO MUÑOZ PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28115
Concejo,CORDOBA,MONTELIBANO,JAIRO ALBERTO ARRIETA PACHECO,PARTIDO CONSERVADOR COLOMBIANO,28143
Concejo,CORDOBA,MONTELIBANO,JESUS ERNESTO GOMEZ GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,28139
Concejo,CORDOBA,MONTELIBANO,JOHANA MARCELA BETTIN LUNA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28221
Concejo,CORDOBA,MONTELIBANO,JOHN JAIME DE LA BARRERA TORRES,PARTIDO LIBERAL COLOMBIANO,28057
Concejo,CORDOBA,MONTELIBANO,JOHN WALTER POSADA ESPINOSA,PARTIDO LIBERAL COLOMBIANO,28068
Concejo,CORDOBA,MONTELIBANO,JORGE ELIECER MERCADO ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28072
Concejo,CORDOBA,MONTELIBANO,JORGE LUIS BLANCO MARTINEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28210
Concejo,CORDOBA,MONTELIBANO,JORGE NELSON CARMONA FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28106
Concejo,CORDOBA,MONTELIBANO,JOSE BENITO CASTRO DUARTE,PARTIDO CENTRO DEMOCRATICO,28090
Concejo,CORDOBA,MONTELIBANO,JOSE DAVID MEZA AGAMEZ,PARTIDO ALIANZA VERDE,28162
Concejo,CORDOBA,MONTELIBANO,JOSE DAVID ROJAS JARAMILLO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28212
Concejo,CORDOBA,MONTELIBANO,JOSE DE JESUS ANGULO CALDERON,PARTIDO CAMBIO RADICAL,28152
Concejo,CORDOBA,MONTELIBANO,JOSE DE LAS MERCEDES GAVIRIA ORTEGA,PARTIDO LIBERAL COLOMBIANO,28071
Concejo,CORDOBA,MONTELIBANO,JOSE DOMINGO GONZALEZ TAPIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28111
Concejo,CORDOBA,MONTELIBANO,JOSE IVAN JEREZ PEREZ,PARTIDO COLOMBIA RENACIENTE,28128
Concejo,CORDOBA,MONTELIBANO,JOSE LUIS LOBO RICARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28195
Concejo,CORDOBA,MONTELIBANO,JOSE MIGUEL PACHECO ARROYO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,28079
