corp,dpto,mpio,name,party,wp_no
Concejo,CORDOBA,PUEBLO NUEVO,ALBA MARCELA JIMENEZ GIL,PARTIDO LIBERAL COLOMBIANO,28448
Concejo,CORDOBA,PUEBLO NUEVO,ALEX DEL CRISTO BULA PIÑEREZ,PARTIDO CONSERVADOR COLOMBIANO,28459
Concejo,CORDOBA,PUEBLO NUEVO,ALONSO MIGUEL BARRETO DIAZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28485
Concejo,CORDOBA,PUEBLO NUEVO,ANIBAL MANUEL AVILEZ CONTRERAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28482
Concejo,CORDOBA,PUEBLO NUEVO,AURA ELENA MEZA FUERTES,PARTIDO CONSERVADOR COLOMBIANO,28454
Concejo,CORDOBA,PUEBLO NUEVO,BAVINTON  PEREZ HERRERA,PARTIDO CONSERVADOR COLOMBIANO,28458
Concejo,CORDOBA,PUEBLO NUEVO,BLANCA UNILSA DE ARCOS GONZALEZ,PARTIDO CAMBIO RADICAL,28473
Concejo,CORDOBA,PUEBLO NUEVO,CLAUDIA  CABRERA SALA,PARTIDO LIBERAL COLOMBIANO,28451
Concejo,CORDOBA,PUEBLO NUEVO,DANIEL ENRIQUE SERPA PEREZ,PARTIDO CONSERVADOR COLOMBIANO,28464
Concejo,CORDOBA,PUEBLO NUEVO,DARIS FAUSTINO PEREZ BENITEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28491
Concejo,CORDOBA,PUEBLO NUEVO,DELFI ISABEL MORENO LAZARO,PARTIDO LIBERAL COLOMBIANO,28440
Concejo,CORDOBA,PUEBLO NUEVO,DIANA SOFIA GAIBAO ARRIETA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28494
Concejo,CORDOBA,PUEBLO NUEVO,DINA LUZ PADILLA MENDOZA,PARTIDO CONSERVADOR COLOMBIANO,28466
Concejo,CORDOBA,PUEBLO NUEVO,EDER SAID VERGARA PEREZ,PARTIDO CAMBIO RADICAL,28472
Concejo,CORDOBA,PUEBLO NUEVO,EDWIN EVANGELISTA DORIA CARVAJAL,PARTIDO LIBERAL COLOMBIANO,28444
Concejo,CORDOBA,PUEBLO NUEVO,ELIAS DAVID ARGUMEDO MEJIA,PARTIDO CAMBIO RADICAL,28468
Concejo,CORDOBA,PUEBLO NUEVO,ELKIN DARIO BENAVIDES POLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28453
Concejo,CORDOBA,PUEBLO NUEVO,ENRIQUE DAVID QUINTERO DIAZ,PARTIDO LIBERAL COLOMBIANO,28443
Concejo,CORDOBA,PUEBLO NUEVO,EUFEMIA  ESPITIA HERRERA,PARTIDO CONSERVADOR COLOMBIANO,28461
Concejo,CORDOBA,PUEBLO NUEVO,EUGENIO MANUEL CERMEÑO OSORIO,PARTIDO LIBERAL COLOMBIANO,28449
Concejo,CORDOBA,PUEBLO NUEVO,EULOGIO MANUEL ACEVEDO ALEAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28496
Concejo,CORDOBA,PUEBLO NUEVO,EVA SANDRITH SALAZAR SUAREZ,PARTIDO CAMBIO RADICAL,28474
