corp,dpto,mpio,name,party,wp_no
Concejo,CORDOBA,PUERTO LIBERTADOR,ABELARDO ENRIQUE DE AGUA TREJO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28566
Concejo,CORDOBA,PUERTO LIBERTADOR,ADRIANA MARCELA HENAO MORA,OPCION CRISTIANA,28658
Concejo,CORDOBA,PUERTO LIBERTADOR,AIDA ESTER NIETO FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28526
Concejo,CORDOBA,PUERTO LIBERTADOR,ALBERTO MANUEL SERNA GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28623
Concejo,CORDOBA,PUERTO LIBERTADOR,ALFONSO HERNANDO REGINO GUZMAN,PARTIDO ALIANZA VERDE,28593
Concejo,CORDOBA,PUERTO LIBERTADOR,ANA CRISTINA BOLAÑO SALGADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28532
Concejo,CORDOBA,PUERTO LIBERTADOR,ANA DOLORES MONTERROZA LANG,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28645
Concejo,CORDOBA,PUERTO LIBERTADOR,ANA ROSA PACHECO ARROYO,PARTIDO CONSERVADOR COLOMBIANO,28570
Concejo,CORDOBA,PUERTO LIBERTADOR,ARELIS DEL CARMEN ARIAS COBO,OPCION CRISTIANA,28651
Concejo,CORDOBA,PUERTO LIBERTADOR,ARELIS YANETH CALDERON RICARDO,PARTIDO CONSERVADOR COLOMBIANO,28571
Concejo,CORDOBA,PUERTO LIBERTADOR,ARISTOBULO  RICARDO OCHOA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28523
Concejo,CORDOBA,PUERTO LIBERTADOR,ARLEDYS PATRICIA SIERRA FUENTES,PARTIDO LIBERAL COLOMBIANO,28498
Concejo,CORDOBA,PUERTO LIBERTADOR,ARLET PAOLA DIAZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,28499
Concejo,CORDOBA,PUERTO LIBERTADOR,ARNEL  MONTIEL VILLADIEGO,PARTIDO CAMBIO RADICAL,28588
Concejo,CORDOBA,PUERTO LIBERTADOR,BENITA JOSEFA DE AGUAS CORONADO,PARTIDO LIBERAL COLOMBIANO,28502
Concejo,CORDOBA,PUERTO LIBERTADOR,BERLID DEL SOCORRO CHIMA LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28638
Concejo,CORDOBA,PUERTO LIBERTADOR,BERNUIL LA PAZ MORA SIERRA,OPCION CRISTIANA,28656
Concejo,CORDOBA,PUERTO LIBERTADOR,BLANCA LUBY ARANGO DE CASTRO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28641
Concejo,CORDOBA,PUERTO LIBERTADOR,CARINA ESTHER SEQUEDA BENITEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28569
Concejo,CORDOBA,PUERTO LIBERTADOR,CARLOS ALBERTO MERCADO ORTIZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28559
Concejo,CORDOBA,PUERTO LIBERTADOR,CARLOS ANDRES CARMONA ARBOLEDA,PARTIDO CONSERVADOR COLOMBIANO,28573
Concejo,CORDOBA,PUERTO LIBERTADOR,CARLOS ARTURO DAVILA SEGURA,PARTIDO CONSERVADOR COLOMBIANO,28578
Concejo,CORDOBA,PUERTO LIBERTADOR,CARLOS ARTURO LOBO GUERRA,PARTIDO ALIANZA VERDE,28599
Concejo,CORDOBA,PUERTO LIBERTADOR,CARLOS ARTURO LOBO MORENO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28605
Concejo,CORDOBA,PUERTO LIBERTADOR,CARMEN ELENA PEREZ ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28633
Concejo,CORDOBA,PUERTO LIBERTADOR,CESAR ANTONIO BAILARIN DOMICO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28529
Concejo,CORDOBA,PUERTO LIBERTADOR,CRISTIAN CAMILO SEQUEDA JIMENEZ,PARTIDO LIBERAL COLOMBIANO,28507
Concejo,CORDOBA,PUERTO LIBERTADOR,DAIRO ANTONIO TAPIAS MERLANO,PARTIDO CAMBIO RADICAL,28585
Concejo,CORDOBA,PUERTO LIBERTADOR,DANIEL ALBERTO MESA ACOSTA,PARTIDO LIBERAL COLOMBIANO,28505
Concejo,CORDOBA,PUERTO LIBERTADOR,DANIEL ANDRES ARRIETA YEPES,PARTIDO CONSERVADOR COLOMBIANO,28576
Concejo,CORDOBA,PUERTO LIBERTADOR,DANIEL JOSE PATERNINA ROZO,PARTIDO CAMBIO RADICAL,28583
Concejo,CORDOBA,PUERTO LIBERTADOR,DARLIS KARINA ROJAS PARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28530
Concejo,CORDOBA,PUERTO LIBERTADOR,DAWIN DE JESUS BUELVAS AVILA,OPCION CRISTIANA,28659
Concejo,CORDOBA,PUERTO LIBERTADOR,DAYLUZ AMPARO OTERO MORENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28632
Concejo,CORDOBA,PUERTO LIBERTADOR,DIANA LUZ ARRIETA ALVAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28619
Concejo,CORDOBA,PUERTO LIBERTADOR,DIANA MARIA TIRADO SALAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28625
Concejo,CORDOBA,PUERTO LIBERTADOR,DOMINGO ANTONIO BEDOYA ARANGO,PARTIDO CAMBIO RADICAL,28587
Concejo,CORDOBA,PUERTO LIBERTADOR,DORALBA  PERTUZ BOLAÑO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28567
Concejo,CORDOBA,PUERTO LIBERTADOR,EDERMIN ENRIQUE PEREZ BELTRAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28639
Concejo,CORDOBA,PUERTO LIBERTADOR,EDGARDO JAVIER MUÑOZ NAVARRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28612
Concejo,CORDOBA,PUERTO LIBERTADOR,EDILBERTO ANTONIO ALVAREZ MARTINEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28617
Concejo,CORDOBA,PUERTO LIBERTADOR,EDINSON ALFREDO GARCIA UPARELA,PARTIDO ALIANZA VERDE,28600
Concejo,CORDOBA,PUERTO LIBERTADOR,EDUARDO ANTONIO PEÑATE ALVAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28606
Concejo,CORDOBA,PUERTO LIBERTADOR,ELIANA PATRICIA CARCAMO GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,28514
Concejo,CORDOBA,PUERTO LIBERTADOR,ELIECER MANUEL HERRERA SARIEGO,PARTIDO ADA,28556
Concejo,CORDOBA,PUERTO LIBERTADOR,ELISANDER  GONZALEZ PADILLA,PARTIDO CENTRO DEMOCRATICO,28516
Concejo,CORDOBA,PUERTO LIBERTADOR,EMILIO  TORDECILLA CALDERIN,OPCION CRISTIANA,28650
Concejo,CORDOBA,PUERTO LIBERTADOR,ENALBA LUZ GOMEZ MONTES,PARTIDO ALIANZA VERDE,28598
Concejo,CORDOBA,PUERTO LIBERTADOR,ENIT DEL ROSARIO MESTRA MADERA,PARTIDO CONSERVADOR COLOMBIANO,28575
Concejo,CORDOBA,PUERTO LIBERTADOR,EOMIR NEL MUÑOZ CARVAJAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28620
Concejo,CORDOBA,PUERTO LIBERTADOR,EPIFANIO JOSE ESQUIVIA SUAREZ,PARTIDO COLOMBIA RENACIENTE,28536
Concejo,CORDOBA,PUERTO LIBERTADOR,ERIKA PATRICIA QUINTANA BALLESTERO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28564
Concejo,CORDOBA,PUERTO LIBERTADOR,ERNESTO EMILIANO MARIMON SEVERICHE,OPCION CRISTIANA,28652
Concejo,CORDOBA,PUERTO LIBERTADOR,FARLI ELIECER VELASQUEZ PATIÑO,PARTIDO ADA,28548
Concejo,CORDOBA,PUERTO LIBERTADOR,FERNAN ISAAC PADILLA JIMENEZ,PARTIDO CENTRO DEMOCRATICO,28520
Concejo,CORDOBA,PUERTO LIBERTADOR,FERNANDO ENRIQUE LUCAS CUADRADO,PARTIDO ADA,28552
Concejo,CORDOBA,PUERTO LIBERTADOR,GABRIEL JAIME GIL BERRIO,PARTIDO ADA,28553
Concejo,CORDOBA,PUERTO LIBERTADOR,GEINER ENRIQUE RODIÑO PEÑA,PARTIDO COLOMBIA RENACIENTE,28545
Concejo,CORDOBA,PUERTO LIBERTADOR,GILBERTO ANDRES PARRA ZAPATA,PARTIDO CONSERVADOR COLOMBIANO,28577
Concejo,CORDOBA,PUERTO LIBERTADOR,GLEYRA GLEICER ACEVEDO SALGADO,PARTIDO ADA,28549
Concejo,CORDOBA,PUERTO LIBERTADOR,GLORIA ANDREA VALETA ALGARIN,PARTIDO ADA,28557
Concejo,CORDOBA,PUERTO LIBERTADOR,GUILLERMO ANTONIO ARDILA CASTRO,PARTIDO CONSERVADOR COLOMBIANO,28582
Concejo,CORDOBA,PUERTO LIBERTADOR,GUILLERMO RAFAEL TORRES ARIAS,PARTIDO ADA,28554
Concejo,CORDOBA,PUERTO LIBERTADOR,GUSTAVO ANTONIO OLIVERO PASTRANA,PARTIDO COLOMBIA RENACIENTE,28543
Concejo,CORDOBA,PUERTO LIBERTADOR,HENRRY SAMIT CARO AVILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28618
Concejo,CORDOBA,PUERTO LIBERTADOR,HERMAN ARNETH BENITEZ ARCIA,OPCION CRISTIANA,28655
Concejo,CORDOBA,PUERTO LIBERTADOR,HERNANDO ANTONIO RENGIFO DAVID,PARTIDO ADA,28551
Concejo,CORDOBA,PUERTO LIBERTADOR,IRENE DEL CARMEN URBANO MENDEZ,PARTIDO CENTRO DEMOCRATICO,28512
Concejo,CORDOBA,PUERTO LIBERTADOR,IRENE MARIA JULIO NIETO,PARTIDO COLOMBIA RENACIENTE,28539
Concejo,CORDOBA,PUERTO LIBERTADOR,ISNELDA ROSA ZABALETA PEREZ,PARTIDO ALIANZA VERDE,28594
Concejo,CORDOBA,PUERTO LIBERTADOR,JAIDER ESTEBAN FLOREZ ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28525
Concejo,CORDOBA,PUERTO LIBERTADOR,JAIME ALBERTO ESCOBAR BOTERO,PARTIDO CENTRO DEMOCRATICO,28510
Concejo,CORDOBA,PUERTO LIBERTADOR,JAIME GABRIEL PALENCIA ,PARTIDO COLOMBIA RENACIENTE,28535
Concejo,CORDOBA,PUERTO LIBERTADOR,JAIME LUIS GOMEZ ALVAREZ,PARTIDO CENTRO DEMOCRATICO,28511
Concejo,CORDOBA,PUERTO LIBERTADOR,JESUS DAVID DOMINGUEZ QUINTERO,OPCION CRISTIANA,28657
Concejo,CORDOBA,PUERTO LIBERTADOR,JESUS MARIA SEÑA SALGADO,PARTIDO LIBERAL COLOMBIANO,28509
Concejo,CORDOBA,PUERTO LIBERTADOR,JHON JAIRO VERGARA GUZMAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,28527
Concejo,CORDOBA,PUERTO LIBERTADOR,JHONYS MANUEL OROZCO ALFARO,OPCION CRISTIANA,28654
Concejo,CORDOBA,PUERTO LIBERTADOR,JORGE IVAN PEREZ LAZARO,PARTIDO COLOMBIA RENACIENTE,28544
Concejo,CORDOBA,PUERTO LIBERTADOR,JORGE IVAN URIBE VILLALBA,PARTIDO CENTRO DEMOCRATICO,28517
Concejo,CORDOBA,PUERTO LIBERTADOR,JORGE WASHINTON ALZATE ANAYA,PARTIDO CONSERVADOR COLOMBIANO,28572
Concejo,CORDOBA,PUERTO LIBERTADOR,JOSE DAVID DURANGO TRESPALACIOS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,28560
Concejo,CORDOBA,PUERTO LIBERTADOR,JOSE DAVID GOMEZ ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28629
Concejo,CORDOBA,PUERTO LIBERTADOR,JOSE FERNANDO BULA MORENO,PARTIDO CENTRO DEMOCRATICO,28518
Concejo,CORDOBA,PUERTO LIBERTADOR,JOSE GREGORIO JIMENEZ ,PARTIDO COLOMBIA RENACIENTE,28542
Concejo,CORDOBA,PUERTO LIBERTADOR,JUAN BAUTISTA MONTES ACOSTA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,28646
Concejo,CORDOBA,PUERTO LIBERTADOR,JUAN CAMILO POSSO ARBOLEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,28634
Concejo,CORDOBA,PUERTO LIBERTADOR,KAREN MARGARITA MARTINEZ SALAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28616
Concejo,CORDOBA,PUERTO LIBERTADOR,KELLYS JOHANA HERNANDEZ SANTOS,PARTIDO CAMBIO RADICAL,28589
Concejo,CORDOBA,PUERTO LIBERTADOR,LEDYS DEL CARMEN BENITEZ LUCAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,28607
Concejo,CORDOBA,PUERTO LIBERTADOR,LELYS MARIA MEJIA PAEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,28622
