corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,ALBAN,ADA LUZ MARQUEZ GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,39011
Concejo,CUNDINAMARCA,ALBAN,ANA MARIA PALACIOS HERNANDEZ,PARTIDO CAMBIO RADICAL,39031
Concejo,CUNDINAMARCA,ALBAN,ANDERSON ANTONIO MOTTA MENDOZA,PARTIDO LIBERAL COLOMBIANO,39009
Concejo,CUNDINAMARCA,ALBAN,ANDRES FELIPE RIVERA DELGADO,PARTIDO ALIANZA VERDE,39041
Concejo,CUNDINAMARCA,ALBAN,ANGEL ELICIO VALBUENA TELLEZ,PARTIDO CONSERVADOR COLOMBIANO,39023
Concejo,CUNDINAMARCA,ALBAN,ANGIE CAROLINA MORENO BERMUDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39057
Concejo,CUNDINAMARCA,ALBAN,BENITO  QUEVEDO ALDANA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39059
Concejo,CUNDINAMARCA,ALBAN,BERTHA LIGIA SIERRA PEREZ,FUERZA DEMOCRATICA,39076
Concejo,CUNDINAMARCA,ALBAN,BRAULIO  CASTRO CAMELO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39067
Concejo,CUNDINAMARCA,ALBAN,CAMILO  FIERRO URBANO,PARTIDO CENTRO DEMOCRATICO,39015
Concejo,CUNDINAMARCA,ALBAN,CARLOS ALBERTO GARCIA MARTINEZ,FUERZA DEMOCRATICA,39071
Concejo,CUNDINAMARCA,ALBAN,CARLOS ALBERTO HERNANDEZ BETHEZ,PARTIDO LIBERAL COLOMBIANO,39005
Concejo,CUNDINAMARCA,ALBAN,CARLOS ELIECER GUZMAN FIERRO,PARTIDO CAMBIO RADICAL,39029
Concejo,CUNDINAMARCA,ALBAN,CARLOS JULIO BELTRAN LOPEZ,PARTIDO CENTRO DEMOCRATICO,39014
Concejo,CUNDINAMARCA,ALBAN,CAROLINA  TABARES DUARTE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,39048
Concejo,CUNDINAMARCA,ALBAN,CLAUDIA YOLANDA PENAGOS CASTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39065
Concejo,CUNDINAMARCA,ALBAN,CLEODOMIRO  MORALES PABON,PARTIDO LIBERAL COLOMBIANO,39001
Concejo,CUNDINAMARCA,ALBAN,CRISTIAN EDUARDO COMBA COMBA,PARTIDO CAMBIO RADICAL,39036
Concejo,CUNDINAMARCA,ALBAN,DANIELA  CUERVO GONZALEZ,PARTIDO ALIANZA VERDE,39042
Concejo,CUNDINAMARCA,ALBAN,DIANA MARCELA MENDEZ GARAY,PARTIDO ALIANZA VERDE,39039
Concejo,CUNDINAMARCA,ALBAN,DIANA MARCELA VASQUEZ LUQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39066
Concejo,CUNDINAMARCA,ALBAN,DIEGO ALEJANDRO ROJAS RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,39004
Concejo,CUNDINAMARCA,ALBAN,DORIS ESTHER ORDOÑEZ BERNAL,PARTIDO LIBERAL COLOMBIANO,39003
Concejo,CUNDINAMARCA,ALBAN,ELSY JOHANA MORENO SABI,PARTIDO CAMBIO RADICAL,39034
Concejo,CUNDINAMARCA,ALBAN,ERICSON ARMIN CANO BATANERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39056
Concejo,CUNDINAMARCA,ALBAN,EULISES  RODRIGUEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,39027
Concejo,CUNDINAMARCA,ALBAN,GLORIA CONSUELO GAITAN BECERRA,PARTIDO CENTRO DEMOCRATICO,39010
Concejo,CUNDINAMARCA,ALBAN,GUILLERMO ANTONIO URREGO GAVIRIA,FUERZA DEMOCRATICA,39073
Concejo,CUNDINAMARCA,ALBAN,HAROL ESTEBAN CRUZ CASTILLO,PARTIDO CAMBIO RADICAL,39030
Concejo,CUNDINAMARCA,ALBAN,HECTOR WILLIAM BULLA MONTANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,39046
Concejo,CUNDINAMARCA,ALBAN,HEIDY ZULEIMA VANEGAS DUARTE,PARTIDO CAMBIO RADICAL,39033
Concejo,CUNDINAMARCA,ALBAN,HERNANDO DE JESUS LOURIDO CORREA,PARTIDO CAMBIO RADICAL,39032
Concejo,CUNDINAMARCA,ALBAN,HUGO MAURICIO TORRES AVENDAÑO,PARTIDO CONSERVADOR COLOMBIANO,39021
Concejo,CUNDINAMARCA,ALBAN,JAIME  FERNANDEZ MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39052
Concejo,CUNDINAMARCA,ALBAN,JAIRO ANTONIO PRIETO RODRIGUEZ,PARTIDO ALIANZA VERDE,39038
Concejo,CUNDINAMARCA,ALBAN,JAVIER ANDRES TRIANA AYALA,PARTIDO CENTRO DEMOCRATICO,39017
Concejo,CUNDINAMARCA,ALBAN,JEIMMY TATIANA SABOGAL CASTILLO,PARTIDO LIBERAL COLOMBIANO,39007
Concejo,CUNDINAMARCA,ALBAN,JHON JAIRO LEON PEÑUELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39061
Concejo,CUNDINAMARCA,ALBAN,JOHANNA MARCELA ROJAS LEON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,39050
Concejo,CUNDINAMARCA,ALBAN,JOSE AGUSTIN RODRIGUEZ RODRIGUEZ,FUERZA DEMOCRATICA,39070
Concejo,CUNDINAMARCA,ALBAN,JOSE DAVID CASTILLO RODRIGUEZ,PARTIDO ALIANZA VERDE,39040
Concejo,CUNDINAMARCA,ALBAN,JOSE LUIS SIERRA COMBA,PARTIDO CONSERVADOR COLOMBIANO,39019
Concejo,CUNDINAMARCA,ALBAN,JUAN CARLOS RODRIGUEZ MESA,PARTIDO LIBERAL COLOMBIANO,39008
Concejo,CUNDINAMARCA,ALBAN,JUAN DIEGO CASTILLO FORERO,PARTIDO CONSERVADOR COLOMBIANO,39026
Concejo,CUNDINAMARCA,ALBAN,JUAN PABLO QUEVEDO SANCHEZ,PARTIDO CENTRO DEMOCRATICO,39013
Concejo,CUNDINAMARCA,ALBAN,JULIO CESAR GARAY GARAY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39058
Concejo,CUNDINAMARCA,ALBAN,LEONARDO ANDRES HERRERA CASTAÑEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39054
Concejo,CUNDINAMARCA,ALBAN,LUIS ANTONIO SANCHEZ OLAYA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,39047
Concejo,CUNDINAMARCA,ALBAN,LUIS EDUARDO OROZCO JARAMILLO,PARTIDO CENTRO DEMOCRATICO,39016
Concejo,CUNDINAMARCA,ALBAN,LUIS ENRIQUE BELTRAN BELTRAN,FUERZA DEMOCRATICA,39075
Concejo,CUNDINAMARCA,ALBAN,LUZ ESPERANZA AVENDAÑO ALBA,FUERZA DEMOCRATICA,39074
Concejo,CUNDINAMARCA,ALBAN,LUZ MARINA MONTEJO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39062
Concejo,CUNDINAMARCA,ALBAN,LUZ MARINA ROA NIETO,PARTIDO CONSERVADOR COLOMBIANO,39020
Concejo,CUNDINAMARCA,ALBAN,MAGALI ANDREA CASTILLO BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39064
Concejo,CUNDINAMARCA,ALBAN,MARIA CRISTINA CANTOR ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39051
Concejo,CUNDINAMARCA,ALBAN,MARIA SORAIDA FLORES BERNAL,PARTIDO CAMBIO RADICAL,39035
Concejo,CUNDINAMARCA,ALBAN,MARINA  PEÑA DE RUIZ,PARTIDO CONSERVADOR COLOMBIANO,39022
Concejo,CUNDINAMARCA,ALBAN,MYRIAM CONSUELO REY PINILLA,PARTIDO LIBERAL COLOMBIANO,39002
Concejo,CUNDINAMARCA,ALBAN,NELSON ENRIQUE RODRIGUEZ RAMOS,FUERZA DEMOCRATICA,39072
Concejo,CUNDINAMARCA,ALBAN,NELSON LEONARDO CASTILLO LOPEZ,PARTIDO CENTRO DEMOCRATICO,39018
Concejo,CUNDINAMARCA,ALBAN,NURY YAMILE HUESO VIRGUEZ,PARTIDO LIBERAL COLOMBIANO,39006
Concejo,CUNDINAMARCA,ALBAN,OLGA LUCIA VARGAS BARRAGAN,PARTIDO CENTRO DEMOCRATICO,39012
Concejo,CUNDINAMARCA,ALBAN,OLGA PATRICIA LAGOS MANRIQUE,FUERZA DEMOCRATICA,39069
Concejo,CUNDINAMARCA,ALBAN,OMAIRA  TORRES COLORADO,PARTIDO CONSERVADOR COLOMBIANO,39025
Concejo,CUNDINAMARCA,ALBAN,OMAR ALBEIRO VILLALOBOS ESPITIA,PARTIDO CAMBIO RADICAL,39028
Concejo,CUNDINAMARCA,ALBAN,PABLO EMILIO MUÑOZ CARRASCO,PARTIDO ALIANZA VERDE,39045
Concejo,CUNDINAMARCA,ALBAN,PEDRO ALEXANDER CORTES TELLEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,39049
Concejo,CUNDINAMARCA,ALBAN,PEDRO EFRAIN RODRIGUEZ MORENO,FUERZA DEMOCRATICA,39068
Concejo,CUNDINAMARCA,ALBAN,ROQUE  CASALLAS TINOCO,PARTIDO ALIANZA VERDE,39043
Concejo,CUNDINAMARCA,ALBAN,SANDRA MILENA MARTINEZ CANO,PARTIDO ALIANZA VERDE,39044
Concejo,CUNDINAMARCA,ALBAN,SCHNEIDER  GAMBOA ROJAS,PARTIDO CONSERVADOR COLOMBIANO,39024
Concejo,CUNDINAMARCA,ALBAN,SONIA YANETH PINEDA MORENO,PARTIDO ALIANZA VERDE,39037
Concejo,CUNDINAMARCA,ALBAN,TITO HERALDO BARBOSA CUERVO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39063
Concejo,CUNDINAMARCA,ALBAN,WILLIAM DAVID RODRIGUEZ GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39053
Concejo,CUNDINAMARCA,ALBAN,YENNY MILENA QUINTERO LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39055
Concejo,CUNDINAMARCA,ALBAN,YUDY ALCIRA VELOZA BERNAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39060
