corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,ARBELAEZ,ABEL HUMBERTO CLAVIJO SUAREZ,PARTIDO ALIANZA VERDE,32193
Concejo,CUNDINAMARCA,ARBELAEZ,ALEXANDER  CALDERON MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32213
Concejo,CUNDINAMARCA,ARBELAEZ,ALIX ALBERTO LOPEZ JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32161
Concejo,CUNDINAMARCA,ARBELAEZ,AMALIA  BELTRAN BELLO,PARTIDO CAMBIO RADICAL,32183
Concejo,CUNDINAMARCA,ARBELAEZ,ANGIE TATIANA ROJAS VIDAL,PARTIDO COLOMBIA JUSTA LIBRES,32167
Concejo,CUNDINAMARCA,ARBELAEZ,ARMANDO  QUEVEDO BORRAEZ,PARTIDO CENTRO DEMOCRATICO,32145
Concejo,CUNDINAMARCA,ARBELAEZ,AURORA LILIANA DEL PILAR QUEVEDO SOTO,PARTIDO CENTRO DEMOCRATICO,32152
Concejo,CUNDINAMARCA,ARBELAEZ,CERAFIN  CAICEDO GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32209
Concejo,CUNDINAMARCA,ARBELAEZ,CLARA GIZETH DEL PILAR DEVIS RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,32150
Concejo,CUNDINAMARCA,ARBELAEZ,CLAUDIA JULIETH RODRIGUEZ HERRERA,PARTIDO CAMBIO RADICAL,32184
Concejo,CUNDINAMARCA,ARBELAEZ,CRYSTIAM EDUARDO MORA ORTIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32158
Concejo,CUNDINAMARCA,ARBELAEZ,DANIEL FRANCISCO PRIETO CUCAITA,PARTIDO CAMBIO RADICAL,32189
Concejo,CUNDINAMARCA,ARBELAEZ,DANIEL JOSE CANTOR AVILAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32157
Concejo,CUNDINAMARCA,ARBELAEZ,DARIO ALFONSO REYES CAMACHO,PARTIDO COLOMBIA JUSTA LIBRES,32166
Concejo,CUNDINAMARCA,ARBELAEZ,DIANA ANDREA GUERRERO PRIETO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32215
Concejo,CUNDINAMARCA,ARBELAEZ,DIANA DEL PILAR GODOY AREVALO,PARTIDO CONSERVADOR COLOMBIANO,32181
Concejo,CUNDINAMARCA,ARBELAEZ,DORA MARGARITA SALCEDO PARRADO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,32142
Concejo,CUNDINAMARCA,ARBELAEZ,EDISON GUSTAVO HERRERA CLAVIJO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,32140
Concejo,CUNDINAMARCA,ARBELAEZ,EDWYN ALFREDO PRIETO ROZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32159
Concejo,CUNDINAMARCA,ARBELAEZ,ELKIN GERMAN RODRIGUEZ VASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,32177
Concejo,CUNDINAMARCA,ARBELAEZ,ERNESTO  MARTINEZ LARROTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32221
Concejo,CUNDINAMARCA,ARBELAEZ,ERNESTO ELICEO CASTELLANOS CASAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32203
Concejo,CUNDINAMARCA,ARBELAEZ,EUCLIDES ELISEO GARAVITO ESPITIA,PARTIDO ALIANZA VERDE,32197
Concejo,CUNDINAMARCA,ARBELAEZ,FELIX ROBERTO BERNAL SABOGAL,PARTIDO CONSERVADOR COLOMBIANO,32176
Concejo,CUNDINAMARCA,ARBELAEZ,GLORIA ESPERANZA LOPEZ ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32218
Concejo,CUNDINAMARCA,ARBELAEZ,HECTOR JAVIER MANRIQUE MANRIQUE,PARTIDO CAMBIO RADICAL,32188
Concejo,CUNDINAMARCA,ARBELAEZ,HELEN YOHANA CHAVES DIAZ,PARTIDO CAMBIO RADICAL,32191
Concejo,CUNDINAMARCA,ARBELAEZ,HERNAN  SANCHEZ CARREÑO,PARTIDO CAMBIO RADICAL,32187
Concejo,CUNDINAMARCA,ARBELAEZ,HERNANDO  GOMEZ BAUTISTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32222
Concejo,CUNDINAMARCA,ARBELAEZ,HILDA YANETH SARAY GUERRERO,PARTIDO POLITICO MIRA,32212
Concejo,CUNDINAMARCA,ARBELAEZ,IVONNE ANDREA ALVARADO MORENO,PARTIDO COLOMBIA RENACIENTE,32168
Concejo,CUNDINAMARCA,ARBELAEZ,JAIME ELEUTO QUEVEDO RIVERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32202
Concejo,CUNDINAMARCA,ARBELAEZ,JAIRO  RAYO LIZCANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32204
Concejo,CUNDINAMARCA,ARBELAEZ,JAVIER MAURICIO LINARES GONZALEZ,PARTIDO ALIANZA VERDE,32196
Concejo,CUNDINAMARCA,ARBELAEZ,JOHNATAN EDUARDO MORENO GALINDO,PARTIDO CAMBIO RADICAL,32186
Concejo,CUNDINAMARCA,ARBELAEZ,JORGE ALBEIRO TURMEQUE BETANCOURT,PARTIDO COLOMBIA RENACIENTE,32169
Concejo,CUNDINAMARCA,ARBELAEZ,JORGE EDILBERTO HORTUA RINCON,PARTIDO CENTRO DEMOCRATICO,32143
