corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,BELTRAN,ALICIA  GUARIN GAMEZ,PARTIDO LIBERAL COLOMBIANO,32905
Concejo,CUNDINAMARCA,BELTRAN,ANA DEISY GUZMAN DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32931
Concejo,CUNDINAMARCA,BELTRAN,AURORA  MEJIA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32930
Concejo,CUNDINAMARCA,BELTRAN,BENJAMIN  TORRES BOCANEGRA,PARTIDO CAMBIO RADICAL,32920
Concejo,CUNDINAMARCA,BELTRAN,CAMILO ANDRES GARCES VANEGAS,PARTIDO LIBERAL COLOMBIANO,32906
Concejo,CUNDINAMARCA,BELTRAN,CARLOS EDUARDO BOLAÑOS BELTRAN,PARTIDO CAMBIO RADICAL,32915
Concejo,CUNDINAMARCA,BELTRAN,CARLOS ORLANDO PALMA ,PARTIDO LIBERAL COLOMBIANO,32904
Concejo,CUNDINAMARCA,BELTRAN,EDELMIRA  ZARATE BARRERO,PARTIDO CENTRO DEMOCRATICO,32914
Concejo,CUNDINAMARCA,BELTRAN,ELIANA  DE NARVAEZ MOYA,PARTIDO CAMBIO RADICAL,32917
Concejo,CUNDINAMARCA,BELTRAN,ELIODORO  GONZALEZ BARRETO,PARTIDO LIBERAL COLOMBIANO,32907
Concejo,CUNDINAMARCA,BELTRAN,FABIO  VELEZ BOLIVAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32926
Concejo,CUNDINAMARCA,BELTRAN,FAINERY  BARRIOS CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32927
Concejo,CUNDINAMARCA,BELTRAN,GERMAN  PINTO DELGADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32928
Concejo,CUNDINAMARCA,BELTRAN,GONZALO  TRIANA OSPINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32925
Concejo,CUNDINAMARCA,BELTRAN,JACQUELINE  VARGAS PEREZ,PARTIDO LIBERAL COLOMBIANO,32903
Concejo,CUNDINAMARCA,BELTRAN,JHON EDINSON LOZANO OLIVEROS,PARTIDO CENTRO DEMOCRATICO,32908
Concejo,CUNDINAMARCA,BELTRAN,JOSE ELVERCIO TORRES SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32924
Concejo,CUNDINAMARCA,BELTRAN,JOSE GREGORIO DEVIA GUZMAN,PARTIDO CAMBIO RADICAL,32916
Concejo,CUNDINAMARCA,BELTRAN,JOSE WILLIAN GUZMAN DIMAS,PARTIDO CENTRO DEMOCRATICO,32913
Concejo,CUNDINAMARCA,BELTRAN,JUAN FRANCISCO CARRERA DEVIA,PARTIDO LIBERAL COLOMBIANO,32902
Concejo,CUNDINAMARCA,BELTRAN,JUAN FREDY REIRAN HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,32911
Concejo,CUNDINAMARCA,BELTRAN,LILIANA  ROMERO AGUDELO,PARTIDO CAMBIO RADICAL,32919
Concejo,CUNDINAMARCA,BELTRAN,LUIS ALBERTO ROJAS PARADA,PARTIDO CAMBIO RADICAL,32918
Concejo,CUNDINAMARCA,BELTRAN,LUZ MARY MEDINA PEREZ,PARTIDO CAMBIO RADICAL,32921
Concejo,CUNDINAMARCA,BELTRAN,MARIA DOLORES BARROZO ZARATE,PARTIDO LIBERAL COLOMBIANO,32901
Concejo,CUNDINAMARCA,BELTRAN,MARIA PATRICIA ZARATE TORRES,PARTIDO CENTRO DEMOCRATICO,32912
Concejo,CUNDINAMARCA,BELTRAN,MARIO  SALGUERO OLIVEROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32929
Concejo,CUNDINAMARCA,BELTRAN,MATILDE  REYES GUARIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32923
Concejo,CUNDINAMARCA,BELTRAN,OSCAR JAVIER OLIVEROS TOVAR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32922
Concejo,CUNDINAMARCA,BELTRAN,SANDRA LILIANA CHAVEZ MALDONADO,PARTIDO CENTRO DEMOCRATICO,32909
Concejo,CUNDINAMARCA,BELTRAN,YANIRIS  TORRES ZARATE,PARTIDO CENTRO DEMOCRATICO,32910
