corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,CAJICA,ABELARDO DE JESUS OROZCO TORO,MÁS POR CAJICÁ,36706
Concejo,CUNDINAMARCA,CAJICA,AGUSTIN  GUZMAN RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36689
Concejo,CUNDINAMARCA,CAJICA,ALEJANDRO  CASTRO BALLESTEROS,PARTIDO COLOMBIA JUSTA LIBRES,36635
Concejo,CUNDINAMARCA,CAJICA,ALFONSO ARTURO CAÑON CASTRO,MÁS POR CAJICÁ,36711
Concejo,CUNDINAMARCA,CAJICA,ALISSON  BAUTISTA PEREZ,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,36722
Concejo,CUNDINAMARCA,CAJICA,ALVARO ANDRES TORO PARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36693
Concejo,CUNDINAMARCA,CAJICA,ANA MILENA PINZON JIMENEZ,PARTIDO COLOMBIA JUSTA LIBRES,36632
Concejo,CUNDINAMARCA,CAJICA,ANDREA VIVIANA LEON BARON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36674
Concejo,CUNDINAMARCA,CAJICA,ANDRES FELIPE ESTUPIÑAN CORREDOR,MÁS POR CAJICÁ,36717
Concejo,CUNDINAMARCA,CAJICA,ANDRES MAURICIO ROLDAN CALIFA,MÁS POR CAJICÁ,36715
Concejo,CUNDINAMARCA,CAJICA,ANGELICA DEL ROSARIO LEAL BUDES,PARTIDO COLOMBIA JUSTA LIBRES,36628
Concejo,CUNDINAMARCA,CAJICA,BELLANITH  CELIS VERGARA,PARTIDO CAMBIO RADICAL,36638
Concejo,CUNDINAMARCA,CAJICA,BENJAMIN  FORERO CUERVO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36696
Concejo,CUNDINAMARCA,CAJICA,CAMILA ANDREA GALVIS ACOSTA,PARTIDO ALIANZA VERDE,36655
Concejo,CUNDINAMARCA,CAJICA,CARLOS  JIRZA YOVANOVICH,PARTIDO CAMBIO RADICAL,36642
Concejo,CUNDINAMARCA,CAJICA,CARLOS ALONSO SOLANO ,PARTIDO ALIANZA VERDE,36658
Concejo,CUNDINAMARCA,CAJICA,CARLOS ANDRES BARBOSA SANCHEZ,PARTIDO ALIANZA VERDE,36661
Concejo,CUNDINAMARCA,CAJICA,CARLOS ARMANDO AGUDO OSORIO,PARTIDO CAMBIO RADICAL,36648
Concejo,CUNDINAMARCA,CAJICA,CARLOS GUILLERMO PINZON LOPEZ,PARTIDO ALIANZA VERDE,36660
Concejo,CUNDINAMARCA,CAJICA,CARLOS JAIME ORMAZABAL SERNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36686
Concejo,CUNDINAMARCA,CAJICA,CARLOS JAIME OSORIO ISAZA,PARTIDO CENTRO DEMOCRATICO,36608
Concejo,CUNDINAMARCA,CAJICA,CLAUDIA LILI PULIDO FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,36588
Concejo,CUNDINAMARCA,CAJICA,CLAUDIA PATRICIA CARDENAS CHIPATECUA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36624
Concejo,CUNDINAMARCA,CAJICA,CLAUDIA YANET GRACIANO GUARIN,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,36720
Concejo,CUNDINAMARCA,CAJICA,CRISANTO  SAAVEDRA LOVERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36675
Concejo,CUNDINAMARCA,CAJICA,DAGOBERTO  QUIROGA RODRIGUEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,36603
Concejo,CUNDINAMARCA,CAJICA,DANIEL ALEJANDRO DELGADO CASTELLANOS,PARTIDO LIBERAL COLOMBIANO,36595
Concejo,CUNDINAMARCA,CAJICA,DANIEL FELIPE REYES FORERO,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,36730
Concejo,CUNDINAMARCA,CAJICA,DANIELA  REYES SALAZAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36685
Concejo,CUNDINAMARCA,CAJICA,DECCIMILENA  DIAZ OCHOA,MÁS POR CAJICÁ,36707
Concejo,CUNDINAMARCA,CAJICA,DIEGO ALEXANDER MONTAÑO GAITAN,PARTIDO ALIANZA VERDE,36651
Concejo,CUNDINAMARCA,CAJICA,DIEGO ANTONIO ORTIZ CABRERA,PARTIDO CAMBIO RADICAL,36647
Concejo,CUNDINAMARCA,CAJICA,DIEGO FERNANDO BARRERA HUERTAS,PARTIDO CAMBIO RADICAL,36639
Concejo,CUNDINAMARCA,CAJICA,DUVAN ANDRES MOYANO CARDENAS,PARTIDO LIBERAL COLOMBIANO,36593
Concejo,CUNDINAMARCA,CAJICA,ELIZABETH CRISTINA LOPEZ BARRIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36695
Concejo,CUNDINAMARCA,CAJICA,FELIX  MARTIN HUERTAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36618
Concejo,CUNDINAMARCA,CAJICA,FLOR MIREYA ROMERO SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36617
Concejo,CUNDINAMARCA,CAJICA,FREDDY AUGUSTO ORTIZ RUIZ,PARTIDO CENTRO DEMOCRATICO,36612
Concejo,CUNDINAMARCA,CAJICA,FREDY  GARCIA MORENO,PARTIDO COLOMBIA JUSTA LIBRES,36634
Concejo,CUNDINAMARCA,CAJICA,FREDY MAURICIO AYALA SANTANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36615
