corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,CHAGUANI,ADONAI  ZARATE BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38380
Concejo,CUNDINAMARCA,CHAGUANI,AIDA MILENA HORTA HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38381
Concejo,CUNDINAMARCA,CHAGUANI,ALEJANDRA  DEVIA FELIX,PARTIDO CENTRO DEMOCRATICO,38341
Concejo,CUNDINAMARCA,CHAGUANI,ALFIDIA  MORENO OLAYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,38348
Concejo,CUNDINAMARCA,CHAGUANI,ANDRES ALEJANDRO AYURE FLOREZ,PARTIDO ALIANZA VERDE,38374
Concejo,CUNDINAMARCA,CHAGUANI,BENANCIO  GOMEZ GOMEZ,PARTIDO ALIANZA VERDE,38377
Concejo,CUNDINAMARCA,CHAGUANI,BERENICE  MEDINA RAMIREZ,PARTIDO CAMBIO RADICAL,38367
Concejo,CUNDINAMARCA,CHAGUANI,BLANCA YOLANDA VERGARA MARTINEZ,PARTIDO COLOMBIA JUSTA LIBRES,38352
Concejo,CUNDINAMARCA,CHAGUANI,CLARA  RUBIO VASQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,38350
Concejo,CUNDINAMARCA,CHAGUANI,DURIAM ESTEBAN PEÑUELA CORTES,PARTIDO CAMBIO RADICAL,38369
Concejo,CUNDINAMARCA,CHAGUANI,EDILBERTO  CAMPOS ,PARTIDO COLOMBIA JUSTA LIBRES,38358
Concejo,CUNDINAMARCA,CHAGUANI,EDISON DUVAN MELENDEZ ALDANA,PARTIDO CONSERVADOR COLOMBIANO,38361
Concejo,CUNDINAMARCA,CHAGUANI,ELIZ DORA BOHORQUEZ IBAÑEZ,PARTIDO CONSERVADOR COLOMBIANO,38365
Concejo,CUNDINAMARCA,CHAGUANI,ELMER HERNANDO DIAZ MENDEZ,PARTIDO COLOMBIA JUSTA LIBRES,38357
Concejo,CUNDINAMARCA,CHAGUANI,ELVIRA  CASTIBLANCO NIETO,PARTIDO LIBERAL COLOMBIANO,38334
Concejo,CUNDINAMARCA,CHAGUANI,FREDY ALBERTO MUÑOZ SEPULVEDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,38346
Concejo,CUNDINAMARCA,CHAGUANI,GILBERTO  ALFONSO QUINTANILLA,PARTIDO COLOMBIA JUSTA LIBRES,38356
Concejo,CUNDINAMARCA,CHAGUANI,HEBER ORLANDO RAMIREZ PATARROYO,PARTIDO LIBERAL COLOMBIANO,38336
Concejo,CUNDINAMARCA,CHAGUANI,HECTOR  VELA BERNAL,PARTIDO LIBERAL COLOMBIANO,38335
Concejo,CUNDINAMARCA,CHAGUANI,ISIDRO  ROJAS SANCHEZ,PARTIDO CENTRO DEMOCRATICO,38343
Concejo,CUNDINAMARCA,CHAGUANI,JANETH  ROJAS ,PARTIDO LIBERAL COLOMBIANO,38338
Concejo,CUNDINAMARCA,CHAGUANI,JAVIER EDUARDO LEON PARDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,38351
Concejo,CUNDINAMARCA,CHAGUANI,JEISSON FERNEY GOMEZ GUAYAZAN,PARTIDO ALIANZA VERDE,38375
Concejo,CUNDINAMARCA,CHAGUANI,JESUS ANTONIO PACHON MAHECHA,PARTIDO CONSERVADOR COLOMBIANO,38359
Concejo,CUNDINAMARCA,CHAGUANI,JORGE  CHIGUAZUQUE VASQUEZ,PARTIDO CAMBIO RADICAL,38371
Concejo,CUNDINAMARCA,CHAGUANI,JORGE ALEJANDRO ORTIZ RIAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38378
Concejo,CUNDINAMARCA,CHAGUANI,JORGE MANUEL NARANJO VASQUEZ,PARTIDO LIBERAL COLOMBIANO,38337
Concejo,CUNDINAMARCA,CHAGUANI,JOSE JAVIER VASQUEZ FETECUA,PARTIDO CONSERVADOR COLOMBIANO,38363
Concejo,CUNDINAMARCA,CHAGUANI,JOSE REINALDO OSORIO RUBIANO,PARTIDO CENTRO DEMOCRATICO,38342
Concejo,CUNDINAMARCA,CHAGUANI,KARENT DAYANNA OSORIO VASQUEZ,PARTIDO ALIANZA VERDE,38376
Concejo,CUNDINAMARCA,CHAGUANI,LIBARDO  MELO BASTO,PARTIDO CAMBIO RADICAL,38372
Concejo,CUNDINAMARCA,CHAGUANI,LINO  BELLO PATARROYO,PARTIDO COLOMBIA JUSTA LIBRES,38354
Concejo,CUNDINAMARCA,CHAGUANI,LISEC  RODRIGUEZ ENCISO,PARTIDO CONSERVADOR COLOMBIANO,38362
Concejo,CUNDINAMARCA,CHAGUANI,LUIS ALBERTO RAMIREZ BRICEÑO,PARTIDO CONSERVADOR COLOMBIANO,38360
