corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,CUCUNUBA,ALIRIO  HERNANDEZ RIAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38325
Concejo,CUNDINAMARCA,CUCUNUBA,ALIRIO DE JESUS VALBUENA DEL RIO,PARTIDO LIBERAL COLOMBIANO,38296
Concejo,CUNDINAMARCA,CUCUNUBA,ALVARO  CONTRERAS MONTAÑO,PARTIDO LIBERAL COLOMBIANO,38294
Concejo,CUNDINAMARCA,CUCUNUBA,ANA SUSANA PIRAQUIVE CASTIBLANCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38332
Concejo,CUNDINAMARCA,CUCUNUBA,BLANCA MERCEDES CAICEDO ALVARADO,PARTIDO LIBERAL COLOMBIANO,38301
Concejo,CUNDINAMARCA,CUCUNUBA,CAMPO ELIAS MORENO GOMEZ,PARTIDO CAMBIO RADICAL,38316
Concejo,CUNDINAMARCA,CUCUNUBA,CELIANO  TARAZONA BERNAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38326
Concejo,CUNDINAMARCA,CUCUNUBA,CIRO ANTONIO GOMEZ ROJAS,PARTIDO CONSERVADOR COLOMBIANO,38311
Concejo,CUNDINAMARCA,CUCUNUBA,DANNY MARCELA GUZMAN GARCIA,PARTIDO LIBERAL COLOMBIANO,38300
Concejo,CUNDINAMARCA,CUCUNUBA,DIANA CAROLINA PEREZ PRADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38333
Concejo,CUNDINAMARCA,CUCUNUBA,EFRAIN  CHOCONTA MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,38308
Concejo,CUNDINAMARCA,CUCUNUBA,ELEAZAR DE JESUS RODRIGUEZ GOMEZ,PARTIDO ALIANZA VERDE,38323
Concejo,CUNDINAMARCA,CUCUNUBA,ELMAR JOBANY BOLIVAR BOLIVAR,PARTIDO CONSERVADOR COLOMBIANO,38310
Concejo,CUNDINAMARCA,CUCUNUBA,ERIKA YUNARY CONTRERAS GUACANEME,PARTIDO CONSERVADOR COLOMBIANO,38305
Concejo,CUNDINAMARCA,CUCUNUBA,FELIX CRISANTO NIÑO AHUMADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38327
Concejo,CUNDINAMARCA,CUCUNUBA,GERMAN  CASTILLO CONTRERAS,PARTIDO LIBERAL COLOMBIANO,38295
Concejo,CUNDINAMARCA,CUCUNUBA,GERMAN  GARZON SUAREZ,PARTIDO LIBERAL COLOMBIANO,38297
Concejo,CUNDINAMARCA,CUCUNUBA,GINA YOHANA ARIAS GARCIA,PARTIDO ALIANZA VERDE,38324
Concejo,CUNDINAMARCA,CUCUNUBA,GLORIA EMILCE VELASCO LOZANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38330
Concejo,CUNDINAMARCA,CUCUNUBA,GLORIA INES BELLO BELLO,PARTIDO ALIANZA VERDE,38319
Concejo,CUNDINAMARCA,CUCUNUBA,HERMINDA  BOLIVAR CORREDOR,PARTIDO LIBERAL COLOMBIANO,38298
Concejo,CUNDINAMARCA,CUCUNUBA,HUMBERTO  VALBUENA DEL RIO,PARTIDO ALIANZA VERDE,38320
Concejo,CUNDINAMARCA,CUCUNUBA,JAVIER SILVINO CARRILLO ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38328
Concejo,CUNDINAMARCA,CUCUNUBA,JOHANN SANTIAGO ROJAS MENDEZ,PARTIDO ALIANZA VERDE,38321
Concejo,CUNDINAMARCA,CUCUNUBA,JOSE ALBEIRO VELASQUEZ VELASQUEZ,PARTIDO ALIANZA VERDE,38318
Concejo,CUNDINAMARCA,CUCUNUBA,JOSE ARQUIDIO BAÑOL MORALES,PARTIDO LIBERAL COLOMBIANO,38299
Concejo,CUNDINAMARCA,CUCUNUBA,JOSE GUILLERMO QUINTANA CASTRO,PARTIDO CONSERVADOR COLOMBIANO,38306
Concejo,CUNDINAMARCA,CUCUNUBA,JOSE JORGE NOVA SIERRA,PARTIDO CONSERVADOR COLOMBIANO,38307
Concejo,CUNDINAMARCA,CUCUNUBA,JUAN JOSE SUAREZ NIÑO,PARTIDO CONSERVADOR COLOMBIANO,38309
Concejo,CUNDINAMARCA,CUCUNUBA,LILIA MARCELA GIL TINJACA,PARTIDO CONSERVADOR COLOMBIANO,38304
Concejo,CUNDINAMARCA,CUCUNUBA,LUIS ADRIANO CARRILLO PASCAGAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38331
Concejo,CUNDINAMARCA,CUCUNUBA,MARIA RAQUEL SALAZAR BELLO,PARTIDO CONSERVADOR COLOMBIANO,38303
Concejo,CUNDINAMARCA,CUCUNUBA,MARIO ALEXANDER BELLO VELASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,38329
Concejo,CUNDINAMARCA,CUCUNUBA,MARLEN CRISTINA VELASQUEZ MANCILLA,PARTIDO ALIANZA VERDE,38322
Concejo,CUNDINAMARCA,CUCUNUBA,MIGUEL ANTONIO CASTIBLANCO MENDEZ,PARTIDO CAMBIO RADICAL,38313
Concejo,CUNDINAMARCA,CUCUNUBA,PATRICIA  BARRIGA CARRILLO,PARTIDO CAMBIO RADICAL,38317
Concejo,CUNDINAMARCA,CUCUNUBA,RAMIRO ABELARDO CARRILLO CONTRERAS,PARTIDO CAMBIO RADICAL,38312
Concejo,CUNDINAMARCA,CUCUNUBA,SERGIO TOBIAS ACOSTA CONTRERAS,PARTIDO CAMBIO RADICAL,38315
