corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,EL PEÑON,ANA CECILIA PRADA BOBADILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39089
Concejo,CUNDINAMARCA,EL PEÑON,CARMEN YORLENI HERRERA FEO,PARTIDO CAMBIO RADICAL,39078
Concejo,CUNDINAMARCA,EL PEÑON,CESAR AUGUSTO CASTRO BUSTOS,PARTIDO CAMBIO RADICAL,39083
Concejo,CUNDINAMARCA,EL PEÑON,EDUAR  BUSTOS PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39084
Concejo,CUNDINAMARCA,EL PEÑON,FRANCI MARIA MOLINA HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39088
Concejo,CUNDINAMARCA,EL PEÑON,HECTOR DANIEL LINARES CHACON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39087
Concejo,CUNDINAMARCA,EL PEÑON,HERMES HERNAN PABON ROJAS,PARTIDO CAMBIO RADICAL,39079
Concejo,CUNDINAMARCA,EL PEÑON,JORGE ELIECER GARCIA BOHORQUEZ,PARTIDO CAMBIO RADICAL,39077
Concejo,CUNDINAMARCA,EL PEÑON,LUBIN ALFONSO MAHECHA VASQUEZ,PARTIDO CAMBIO RADICAL,39081
Concejo,CUNDINAMARCA,EL PEÑON,LUZ MIRYAN SEGURA VEGA,PARTIDO CAMBIO RADICAL,39082
Concejo,CUNDINAMARCA,EL PEÑON,RAUL  TRIANA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39085
Concejo,CUNDINAMARCA,EL PEÑON,SANDRA LILIANA CASTILLO GARCIA,PARTIDO CAMBIO RADICAL,39080
Concejo,CUNDINAMARCA,EL PEÑON,YOBANNY ALEXANDER OLAYA ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39090
Concejo,CUNDINAMARCA,EL PEÑON,YURI PAOLA ACOSTA JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39086
