corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,EL ROSAL,ALFONSO  GOMEZ LOBATON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39182
Concejo,CUNDINAMARCA,EL ROSAL,ANDREA ELIZABETH RODRIGUEZ LUQUE,PARTIDO ALIANZA VERDE,39158
Concejo,CUNDINAMARCA,EL ROSAL,ANGELICA MARIA ARDILA OCHOA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39167
Concejo,CUNDINAMARCA,EL ROSAL,ANNY PAOLA OSSA CADENA,PARTIDO ADA,39123
Concejo,CUNDINAMARCA,EL ROSAL,ARAMINTA  LEON MENDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39183
Concejo,CUNDINAMARCA,EL ROSAL,CAMILA  SALGADO ULE,PARTIDO ALIANZA VERDE,39152
Concejo,CUNDINAMARCA,EL ROSAL,CARLOS ALBERTO MELO INFANTE,PARTIDO CAMBIO RADICAL,39140
Concejo,CUNDINAMARCA,EL ROSAL,CARLOS HUMBERTO AREVALO AREVALO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,39114
Concejo,CUNDINAMARCA,EL ROSAL,CINDY LORENA CIFUENTES FORERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39170
Concejo,CUNDINAMARCA,EL ROSAL,DEIBY ORLANDO ACOSTA ZAMBRANO,PARTIDO ADA,39124
Concejo,CUNDINAMARCA,EL ROSAL,DEMETRIO  AGUDELO TURRIAGO,PARTIDO ALIANZA VERDE,39156
Concejo,CUNDINAMARCA,EL ROSAL,DIANA ESPERANZA BOTIA CUBILLOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,39118
Concejo,CUNDINAMARCA,EL ROSAL,DIEGO HERNANDO GUEVARA VELASCO,PARTIDO COLOMBIA JUSTA LIBRES,39122
Concejo,CUNDINAMARCA,EL ROSAL,DUVAN ANDRES SANCHEZ MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,39117
Concejo,CUNDINAMARCA,EL ROSAL,EBERT ALBERTO LONDOÑO HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,39105
Concejo,CUNDINAMARCA,EL ROSAL,EDGAR FERNANDO DIAZ OLIVEROS,PARTIDO ALIANZA VERDE,39157
Concejo,CUNDINAMARCA,EL ROSAL,EDUARDO JULIAN SANTOS NEUQUE,PARTIDO ALIANZA VERDE,39159
Concejo,CUNDINAMARCA,EL ROSAL,EDY RICARDO NOMELY RUBIO,PARTIDO LIBERAL COLOMBIANO,39091
Concejo,CUNDINAMARCA,EL ROSAL,ELSA  MAHECHA GONZALEZ,PARTIDO ADA,39131
Concejo,CUNDINAMARCA,EL ROSAL,EMANUEL FERNANDO RODRIGUEZ LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39166
Concejo,CUNDINAMARCA,EL ROSAL,ERICA YOANA LONDOÑO OVALLE,PARTIDO CAMBIO RADICAL,39146
Concejo,CUNDINAMARCA,EL ROSAL,FRANCISCO ORLANDO STELLA MORA,PARTIDO ALIANZA VERDE,39151
