corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,FUQUENE,ALCIDES  ROJAS ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39766
Concejo,CUNDINAMARCA,FUQUENE,ANSELMO  PAEZ MATAMOROS,PARTIDO LIBERAL COLOMBIANO,39731
Concejo,CUNDINAMARCA,FUQUENE,BLANCA LILIA MURCIA MORENO,PARTIDO CONSERVADOR COLOMBIANO,39736
Concejo,CUNDINAMARCA,FUQUENE,CAMILO ALBERTO ROJAS LANCHEROS,PARTIDO CONSERVADOR COLOMBIANO,39739
Concejo,CUNDINAMARCA,FUQUENE,CARLOS JULIO FORERO PACHON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39777
Concejo,CUNDINAMARCA,FUQUENE,CARMEN CIELO HINCAPIE SANCHEZ,PARTIDO COLOMBIA JUSTA LIBRES,39732
Concejo,CUNDINAMARCA,FUQUENE,CENON  CHACON PEÑA,PARTIDO CAMBIO RADICAL,39752
Concejo,CUNDINAMARCA,FUQUENE,CESAR ORLANDO CHACON LOMBANA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39763
Concejo,CUNDINAMARCA,FUQUENE,CESAR SEGUNDO ROCHA FRANCO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39764
Concejo,CUNDINAMARCA,FUQUENE,CLAUDIA  CORTES ARIAS,PARTIDO CAMBIO RADICAL,39751
Concejo,CUNDINAMARCA,FUQUENE,CRISTIAN GERMAN RODRIGUEZ HERNANDEZ,PARTIDO CAMBIO RADICAL,39750
Concejo,CUNDINAMARCA,FUQUENE,DIEGO  CAÑON PACHON,PARTIDO ALIANZA VERDE,39757
Concejo,CUNDINAMARCA,FUQUENE,ELISABETH  HERNANDEZ MURCIA,PARTIDO ALIANZA VERDE,39753
Concejo,CUNDINAMARCA,FUQUENE,ELSA MARIA MURCIA RINCON,PARTIDO ALIANZA VERDE,39755
Concejo,CUNDINAMARCA,FUQUENE,EMILSON STEVE ROJAS ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39778
Concejo,CUNDINAMARCA,FUQUENE,ERIKA CONSTANZA PULGA PULGA,PARTIDO CAMBIO RADICAL,39748
Concejo,CUNDINAMARCA,FUQUENE,GINA PAOLA ROCHA MURCIA,PARTIDO ALIANZA VERDE,39754
Concejo,CUNDINAMARCA,FUQUENE,GLORIA ELISA CAÑON CASTIBLANCO,PARTIDO ALIANZA VERDE,39756
Concejo,CUNDINAMARCA,FUQUENE,HECTOR  PAEZ FRANCO,PARTIDO CONSERVADOR COLOMBIANO,39743
Concejo,CUNDINAMARCA,FUQUENE,HECTOR MANUEL GARZON PAEZ,PARTIDO LIBERAL COLOMBIANO,39725
Concejo,CUNDINAMARCA,FUQUENE,JAVIER JESUS CASTELLANOS CRUZ,PARTIDO CONSERVADOR COLOMBIANO,39742
Concejo,CUNDINAMARCA,FUQUENE,JORGE ELI RAMIREZ RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39762
Concejo,CUNDINAMARCA,FUQUENE,JOSE EFRAIN CAÑON CAÑON,PARTIDO CAMBIO RADICAL,39749
Concejo,CUNDINAMARCA,FUQUENE,JOSE EUSEBIO CAÑON FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,39771
Concejo,CUNDINAMARCA,FUQUENE,JOSE IGNACIO MENDIETA PAEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,39765
Concejo,CUNDINAMARCA,FUQUENE,JOSE OMAR ESPEJO GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,39737
Concejo,CUNDINAMARCA,FUQUENE,JOSE REINALDO PAEZ CORREDOR,PARTIDO ALIANZA VERDE,39761
Concejo,CUNDINAMARCA,FUQUENE,JOSE REINERIO CAÑON CARRILLO,PARTIDO LIBERAL COLOMBIANO,39724
