corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GIRARDOT,ADALBER  ESCOBAR CAMACHO,PARTIDO LIBERAL COLOMBIANO,30694
Concejo,CUNDINAMARCA,GIRARDOT,ALBEIRO  CRUZ CANDIL,PARTIDO COLOMBIA JUSTA LIBRES,30741
Concejo,CUNDINAMARCA,GIRARDOT,ALEJANDRO  QUENGUAN ORTIZ,PARTIDO COLOMBIA JUSTA LIBRES,30740
Concejo,CUNDINAMARCA,GIRARDOT,ALEX EPAMINONDAS ZARATE BUELVAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,30837
Concejo,CUNDINAMARCA,GIRARDOT,ALEXANDRA  TREJOS ,PARTIDO ALIANZA VERDE,30832
Concejo,CUNDINAMARCA,GIRARDOT,ALVARO  GARCIA MONTEJO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,30729
Concejo,CUNDINAMARCA,GIRARDOT,ALVARO  ORTIZ ,PARTIDO COLOMBIA RENACIENTE,30754
Concejo,CUNDINAMARCA,GIRARDOT,ANDRES FELIPE JARAMILLO TOVAR,PARTIDO POLITICO MIRA,30867
Concejo,CUNDINAMARCA,GIRARDOT,ANDRES IVAN TRUJILLO SANCHEZ,PARTIDO ADA,30768
Concejo,CUNDINAMARCA,GIRARDOT,ANGELICA MILLENA ARAUJO LEMUS,PARTIDO CONSERVADOR COLOMBIANO,30797
Concejo,CUNDINAMARCA,GIRARDOT,ARGENIS  LARA BARRERO,PARTIDO COLOMBIA RENACIENTE,30745
Concejo,CUNDINAMARCA,GIRARDOT,ARNULFO  GRANADOS BARBOSA,PARTIDO CENTRO DEMOCRATICO,30710
Concejo,CUNDINAMARCA,GIRARDOT,BEATRIZ  BOCANEGRA RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30851
Concejo,CUNDINAMARCA,GIRARDOT,BLANCA INES TOVAR ESCOBAR,PARTIDO CENTRO DEMOCRATICO,30717
Concejo,CUNDINAMARCA,GIRARDOT,CAMILO ANDRES ORTIZ ARIAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,30849
