corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GUADUAS,ADRIAN DE JESUS MORENO DIOSA,PARTIDO CONSERVADOR COLOMBIANO,31040
Concejo,CUNDINAMARCA,GUADUAS,ALEXANDER  QUIROGA PINTO,PARTIDO CENTRO DEMOCRATICO,31014
Concejo,CUNDINAMARCA,GUADUAS,AURORA  HERNANDEZ MARQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31078
Concejo,CUNDINAMARCA,GUADUAS,CAMILO ANDRES HERNANDEZ OROZCO,PARTIDO LIBERAL COLOMBIANO,30999
Concejo,CUNDINAMARCA,GUADUAS,CAMILO ANDRES MARTINEZ IZQUIERDO,PARTIDO ALIANZA VERDE,31058
Concejo,CUNDINAMARCA,GUADUAS,CARLOS ENRIQUE JIMENEZ ,PARTIDO LIBERAL COLOMBIANO,31001
Concejo,CUNDINAMARCA,GUADUAS,CARMEN ROSA BERMUDEZ SANCHEZ,PARTIDO CAMBIO RADICAL,31046
Concejo,CUNDINAMARCA,GUADUAS,CLAUDIA MARITZA VERA CORTEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31070
Concejo,CUNDINAMARCA,GUADUAS,DIANA NOHEMI CAMARGO BUSTOS,PARTIDO CAMBIO RADICAL,31051
Concejo,CUNDINAMARCA,GUADUAS,DIANA PATRICIA CORTES POVEDA,PARTIDO CENTRO DEMOCRATICO,31023
Concejo,CUNDINAMARCA,GUADUAS,DIDIER MIGUEL ABREO GALINDO,PARTIDO ALIANZA VERDE,31052
Concejo,CUNDINAMARCA,GUADUAS,EIDY JOHANNA MONTENEGRO MARTINEZ,PARTIDO ALIANZA VERDE,31060
Concejo,CUNDINAMARCA,GUADUAS,ELENA  TINOCO TORRES,PARTIDO LIBERAL COLOMBIANO,31004
Concejo,CUNDINAMARCA,GUADUAS,ELIANA  RIVERA VARGAS,PARTIDO CENTRO DEMOCRATICO,31012
Concejo,CUNDINAMARCA,GUADUAS,ELSA JANNEDT RAMIREZ ZABALA,PARTIDO LIBERAL COLOMBIANO,31010
Concejo,CUNDINAMARCA,GUADUAS,ERNESTO  GUEVARA GUERRERO,PARTIDO LIBERAL COLOMBIANO,31006
Concejo,CUNDINAMARCA,GUADUAS,FELIX  SALGUERO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,31033
Concejo,CUNDINAMARCA,GUADUAS,FERNANDO  HINCAPIE ,PARTIDO CENTRO DEMOCRATICO,31016
Concejo,CUNDINAMARCA,GUADUAS,FERNEY  SILVA LUNA,PARTIDO CENTRO DEMOCRATICO,31018
Concejo,CUNDINAMARCA,GUADUAS,GUILLERMO  SERRATO TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31077
Concejo,CUNDINAMARCA,GUADUAS,HERNAN MAURICIO HERNANDEZ CASTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31069
Concejo,CUNDINAMARCA,GUADUAS,HERNANDO  CAMACHO SANCHEZ,PARTIDO CENTRO DEMOCRATICO,31019
Concejo,CUNDINAMARCA,GUADUAS,JACKELINE  CRUZ MAHECHA,PARTIDO LIBERAL COLOMBIANO,31000
Concejo,CUNDINAMARCA,GUADUAS,JAIR ANDRES JIMENEZ VALENZUELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31073
Concejo,CUNDINAMARCA,GUADUAS,JAQUELINE  BOLIVAR SEGURA,PARTIDO LIBERAL COLOMBIANO,31007
Concejo,CUNDINAMARCA,GUADUAS,JESSICA JURLEY OSPINA LOPEZ,PARTIDO LIBERAL COLOMBIANO,31008
Concejo,CUNDINAMARCA,GUADUAS,JESUS ANTONIO LAMPREA LOAIZA,PARTIDO CENTRO DEMOCRATICO,31020
Concejo,CUNDINAMARCA,GUADUAS,JHON ALEXANDER HERRERA AVILA,PARTIDO CONSERVADOR COLOMBIANO,31042
Concejo,CUNDINAMARCA,GUADUAS,JHON ALEXANDER RODRIGUEZ GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31067
Concejo,CUNDINAMARCA,GUADUAS,JHON HENRY PARDO CRUZ,PARTIDO CENTRO DEMOCRATICO,31021
Concejo,CUNDINAMARCA,GUADUAS,JOHN EDISON PEREZ GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31068
Concejo,CUNDINAMARCA,GUADUAS,JOHN JAIRO BARRERO NAVARRO,PARTIDO CONSERVADOR COLOMBIANO,31043
Concejo,CUNDINAMARCA,GUADUAS,JORGE AVELINO ROLDAN ,PARTIDO CONSERVADOR COLOMBIANO,31031
Concejo,CUNDINAMARCA,GUADUAS,JORGE HERNANDO BERMUDEZ ORJUELA,PARTIDO CAMBIO RADICAL,31045
Concejo,CUNDINAMARCA,GUADUAS,JOSE ALBERTO MACARENO GONZALEZ,PARTIDO COLOMBIA JUSTA LIBRES,31026
Concejo,CUNDINAMARCA,GUADUAS,JOSE ALBERTO RAMOS SASTRE,PARTIDO ALIANZA VERDE,31062
Concejo,CUNDINAMARCA,GUADUAS,JOSE ARTURO RAMOS SASTRE,PARTIDO POLITICO MIRA,31064
Concejo,CUNDINAMARCA,GUADUAS,JOSE GUSTAVO TORRES TELLEZ,PARTIDO CONSERVADOR COLOMBIANO,31039
Concejo,CUNDINAMARCA,GUADUAS,JOSE LUIS GONGORA GARZON,PARTIDO ALIANZA VERDE,31057
Concejo,CUNDINAMARCA,GUADUAS,JOSE SAUL BELLO MOSQUERA,PARTIDO ALIANZA VERDE,31056
Concejo,CUNDINAMARCA,GUADUAS,JUAN  ABREO GALINDO,PARTIDO LIBERAL COLOMBIANO,31005
Concejo,CUNDINAMARCA,GUADUAS,JUAN CARLOS MORENO MAHECHA,PARTIDO CAMBIO RADICAL,31044
Concejo,CUNDINAMARCA,GUADUAS,JUAN CARLOS YAÑES ,PARTIDO COLOMBIA JUSTA LIBRES,31027
Concejo,CUNDINAMARCA,GUADUAS,JUAN DAVID GONZALEZ CASTIBLANCO,PARTIDO CONSERVADOR COLOMBIANO,31035
Concejo,CUNDINAMARCA,GUADUAS,JUAN ELICIO VALCARCEL ORDOÑEZ,PARTIDO CENTRO DEMOCRATICO,31024
Concejo,CUNDINAMARCA,GUADUAS,JULIAN ANDRES GARZON HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31071
Concejo,CUNDINAMARCA,GUADUAS,JULIAN FERNANDO CHINOME SALAMANCA,PARTIDO CAMBIO RADICAL,31048
Concejo,CUNDINAMARCA,GUADUAS,JULIETT  PERDOMO MASIAS,PARTIDO POLITICO MIRA,31063
Concejo,CUNDINAMARCA,GUADUAS,LAURA LORENA GARAVITO RODRIGUEZ,PARTIDO ALIANZA VERDE,31055
Concejo,CUNDINAMARCA,GUADUAS,LEONARDO  LINARES LOTA,PARTIDO LIBERAL COLOMBIANO,31009
Concejo,CUNDINAMARCA,GUADUAS,LESLY SELENA MONCADA RAMIREZ,PARTIDO ALIANZA VERDE,31059
Concejo,CUNDINAMARCA,GUADUAS,LEYVI DIANA ROJAS BARBOSA,PARTIDO CONSERVADOR COLOMBIANO,31036
Concejo,CUNDINAMARCA,GUADUAS,LUZ HEIDY MONROY PINILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31075
Concejo,CUNDINAMARCA,GUADUAS,LUZ MARY MONROY AYALA,PARTIDO COLOMBIA JUSTA LIBRES,31030
Concejo,CUNDINAMARCA,GUADUAS,MARGARITA  TORRES MUÑOZ,PARTIDO LIBERAL COLOMBIANO,31002
Concejo,CUNDINAMARCA,GUADUAS,MARIA DEL PILAR RIVERA SANTOS,PARTIDO ALIANZA VERDE,31053
Concejo,CUNDINAMARCA,GUADUAS,MIGUEL ANGEL PAVA GUERRERO,PARTIDO CONSERVADOR COLOMBIANO,31032
Concejo,CUNDINAMARCA,GUADUAS,MYRIAM  GAMBOA VANEGAS,PARTIDO CONSERVADOR COLOMBIANO,31041
Concejo,CUNDINAMARCA,GUADUAS,NATALIA ALEJANDRA JIMENEZ REYES,PARTIDO CONSERVADOR COLOMBIANO,31037
Concejo,CUNDINAMARCA,GUADUAS,NELLY  RUBIANO ENCISO,PARTIDO CAMBIO RADICAL,31047
Concejo,CUNDINAMARCA,GUADUAS,NELLYDA  PALACIO VERA,PARTIDO CENTRO DEMOCRATICO,31017
Concejo,CUNDINAMARCA,GUADUAS,NICOLAS YUSEP BULLA MARIN,PARTIDO CONSERVADOR COLOMBIANO,31038
Concejo,CUNDINAMARCA,GUADUAS,OLGA LILIANA VALENZUELA AGUDELO,PARTIDO POLITICO MIRA,31065
Concejo,CUNDINAMARCA,GUADUAS,ORLANDO  NIETO MARTINEZ,PARTIDO ALIANZA VERDE,31061
Concejo,CUNDINAMARCA,GUADUAS,ORLANDO  OLAYA MURILLO,PARTIDO CENTRO DEMOCRATICO,31022
Concejo,CUNDINAMARCA,GUADUAS,OSCAR  ARIAS MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31066
Concejo,CUNDINAMARCA,GUADUAS,PABLO GUILLERMO TORRES MORENO,PARTIDO LIBERAL COLOMBIANO,31011
Concejo,CUNDINAMARCA,GUADUAS,PABLO WALDISNEY BOLIVAR LUNA,PARTIDO COLOMBIA JUSTA LIBRES,31029
Concejo,CUNDINAMARCA,GUADUAS,PAULA ANDREA CUERVO MARTINEZ,PARTIDO CAMBIO RADICAL,31049
Concejo,CUNDINAMARCA,GUADUAS,ROSA ELENA LAVERDE BOHORQUEZ,PARTIDO CENTRO DEMOCRATICO,31013
Concejo,CUNDINAMARCA,GUADUAS,SAMMY ALEXIS RODRIGUEZ GARAY,PARTIDO ALIANZA VERDE,31054
Concejo,CUNDINAMARCA,GUADUAS,SOLFANETH  MENDOZA RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,31028
Concejo,CUNDINAMARCA,GUADUAS,SUGUEY  BARRAGAN TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31074
Concejo,CUNDINAMARCA,GUADUAS,WENDY YURANY ZABALA BOLIVAR,PARTIDO CONSERVADOR COLOMBIANO,31034
Concejo,CUNDINAMARCA,GUADUAS,WILLIAM ANTONIO RINCON AYALA,PARTIDO COLOMBIA JUSTA LIBRES,31025
