corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GUATAVITA,ANA ISABEL CORTES CORTES,PARTIDO CONSERVADOR COLOMBIANO,31257
Concejo,CUNDINAMARCA,GUATAVITA,ANGIE LORENA ACOSTA VILLAMIL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31283
Concejo,CUNDINAMARCA,GUATAVITA,ASTRID ROCIO MONROY PINEDA,PARTIDO CAMBIO RADICAL,31265
Concejo,CUNDINAMARCA,GUATAVITA,CARLOS JOSE PRIETO PISCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31253
Concejo,CUNDINAMARCA,GUATAVITA,CLARA MILENA HERNANDEZ SISA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31249
Concejo,CUNDINAMARCA,GUATAVITA,DANIEL  GARZON RODRIGUEZ,PARTIDO ALIANZA VERDE,31267
Concejo,CUNDINAMARCA,GUATAVITA,DIEGO ARMANDO VELANDIA VELANDIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31276
Concejo,CUNDINAMARCA,GUATAVITA,EDNA RAQUEL MORA LUNA,PARTIDO CAMBIO RADICAL,31260
Concejo,CUNDINAMARCA,GUATAVITA,ELKIN ALEXANDER BOJACA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,31245
Concejo,CUNDINAMARCA,GUATAVITA,ERIKA LORENA LOPEZ RAMOS,PARTIDO CONSERVADOR COLOMBIANO,31258
Concejo,CUNDINAMARCA,GUATAVITA,ERMENEGILDO  SARMIENTO GARZON,PARTIDO CAMBIO RADICAL,31263
Concejo,CUNDINAMARCA,GUATAVITA,EUDALIA  ACOSTA DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31278
Concejo,CUNDINAMARCA,GUATAVITA,FERNANDO  DIAZ SARMIENTO,PARTIDO CONSERVADOR COLOMBIANO,31256
Concejo,CUNDINAMARCA,GUATAVITA,FRANCISCO JAVIER MARTINEZ MURCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31284
Concejo,CUNDINAMARCA,GUATAVITA,FREDY GEOVANNY ALMANZA LEON,PARTIDO CAMBIO RADICAL,31259
Concejo,CUNDINAMARCA,GUATAVITA,GERARDO  SASTOQUE ALFONSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31250
Concejo,CUNDINAMARCA,GUATAVITA,GLORIA ISABEL ROZO RODRIGUEZ,PARTIDO ALIANZA VERDE,31266
Concejo,CUNDINAMARCA,GUATAVITA,HECTOR HERNANDO CORTES JIMENEZ,PARTIDO CENTRO DEMOCRATICO,31244
Concejo,CUNDINAMARCA,GUATAVITA,HECTOR SILBERIO GOMEZ VELANDIA,PARTIDO CENTRO DEMOCRATICO,31243
Concejo,CUNDINAMARCA,GUATAVITA,JAVIER ANTONIO RODRIGUEZ BAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31282
Concejo,CUNDINAMARCA,GUATAVITA,JAVIER HUMBERTO RODRIGUEZ RUEDA,PARTIDO ALIANZA VERDE,31270
Concejo,CUNDINAMARCA,GUATAVITA,JOSE ANTONIO BARRIGA VELASQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31251
Concejo,CUNDINAMARCA,GUATAVITA,JOSE LUIS RODRIGUEZ RODRIGUEZ,PARTIDO ALIANZA VERDE,31273
Concejo,CUNDINAMARCA,GUATAVITA,JOSE ORLANDO VELANDIA RODRIGUEZ,PARTIDO CAMBIO RADICAL,31261
Concejo,CUNDINAMARCA,GUATAVITA,JOSE VICENTE CANDIL PISCO,PARTIDO CONSERVADOR COLOMBIANO,31255
Concejo,CUNDINAMARCA,GUATAVITA,JUAN CARLOS GOMEZ AVELLANEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31281
Concejo,CUNDINAMARCA,GUATAVITA,JUAN DE DIOS RODRIGUEZ FUQUEN,PARTIDO CENTRO DEMOCRATICO,31240
Concejo,CUNDINAMARCA,GUATAVITA,JUAN SEBASTIAN SANTOS DIAZ,PARTIDO CAMBIO RADICAL,31264
Concejo,CUNDINAMARCA,GUATAVITA,KAREN YAMILE FETIVA VELANDIA,PARTIDO ALIANZA VERDE,31272
Concejo,CUNDINAMARCA,GUATAVITA,LEIDY TATIANA RAMOS MILA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31252
Concejo,CUNDINAMARCA,GUATAVITA,LINA XIMENA FUQUENE CORTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31279
Concejo,CUNDINAMARCA,GUATAVITA,LUIS ANGEL MUÑOZ ROZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31277
Concejo,CUNDINAMARCA,GUATAVITA,LUZ MERY CASTILLO RAMOS,PARTIDO CAMBIO RADICAL,31262
Concejo,CUNDINAMARCA,GUATAVITA,MARIA HERSY BUITRAGO IBAGUE,PARTIDO CENTRO DEMOCRATICO,31246
Concejo,CUNDINAMARCA,GUATAVITA,MARIA LEONOR DIAZ CORREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31286
Concejo,CUNDINAMARCA,GUATAVITA,MARISOL  PEÑUELA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31287
Concejo,CUNDINAMARCA,GUATAVITA,MARTHA HILDA VELANDIA GONZALEZ,PARTIDO CENTRO DEMOCRATICO,31247
Concejo,CUNDINAMARCA,GUATAVITA,MAURICIO ALEXANDER CALDERON FUQUEN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31275
Concejo,CUNDINAMARCA,GUATAVITA,MAURICIO EDUARDO RODRIGUEZ CAJICA,PARTIDO CENTRO DEMOCRATICO,31248
Concejo,CUNDINAMARCA,GUATAVITA,NELLY ZORAIDA ACOSTA ACOSTA,PARTIDO CENTRO DEMOCRATICO,31241
Concejo,CUNDINAMARCA,GUATAVITA,NICOLAS ORLANDO RAMOS FETIVA,PARTIDO ALIANZA VERDE,31274
Concejo,CUNDINAMARCA,GUATAVITA,OMAIRA CATALINA GARZON RAMOS,PARTIDO ALIANZA VERDE,31269
Concejo,CUNDINAMARCA,GUATAVITA,OSCAR ORLANDO CORTES MUNAR,PARTIDO CONSERVADOR COLOMBIANO,31254
Concejo,CUNDINAMARCA,GUATAVITA,PABLO EMILIO TORRES VELANDIA,PARTIDO ALIANZA VERDE,31271
Concejo,CUNDINAMARCA,GUATAVITA,RAMIRO  VENEGAS GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31280
Concejo,CUNDINAMARCA,GUATAVITA,RAUL  CORTES BONILLA,PARTIDO CENTRO DEMOCRATICO,31242
Concejo,CUNDINAMARCA,GUATAVITA,SEBASTIAN RICARDO FETIVA VELANDIA,PARTIDO ALIANZA VERDE,31268
Concejo,CUNDINAMARCA,GUATAVITA,SERGIO OSWALDO CASTAÑEDA GALINDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31285
