corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ALIRIO ANTONIO MOLINA CRUZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31323
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ANA LUCERO BURGOS LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,31299
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ANA MARIA VALBUENA CHISICA,PARTIDO CENTRO DEMOCRATICO,31291
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,AQUILINO  OCHOA AMAYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31318
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,AURA MARIA ACEVEDO JIMENEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31319
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,CARLOS HUMBERTO MONTAÑA VARGAS,PARTIDO ALIANZA VERDE,31311
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,CRISTOBAL  SABOGAL CASTIBLANCO,PARTIDO ALIANZA VERDE,31314
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,DANNY ALDEMAR VELA MELO,PARTIDO CAMBIO RADICAL,31303
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,DAVID ESTEBAN AREVALO CASALLAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31317
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,DIEGO ARMANDO BELTRAN GAMBOA,PARTIDO LIBERAL COLOMBIANO,31289
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,DIONEL  RIAÑO ,PARTIDO CAMBIO RADICAL,31304
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,DORIS CONCEPCION DUQUE HERRERA,PARTIDO ALIANZA VERDE,31316
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ELSA  AGUIRRE FARFAN,PARTIDO CAMBIO RADICAL,31308
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ERIKA ZULAY HERNANDEZ GARZA,PARTIDO ALIANZA VERDE,31315
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,GERARDO  HURTADO BARBOSA,PARTIDO ALIANZA VERDE,31310
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,GLADYS LUCIA CRISTANCHO MORALES,PARTIDO CONSERVADOR COLOMBIANO,31298
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,HECTOR HERNAN PRIETO DIAZ,PARTIDO CAMBIO RADICAL,31306
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,HELLEN LIZETH CASTILLO GARAY,PARTIDO CONSERVADOR COLOMBIANO,31300
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,HERMELINDA  NARANJO ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31321
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,INES  AMORTEGUI RINCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31329
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,ISMAEL ENRIQUE RODRIGUEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,31296
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JAIRO HUMBERTO BARON LUIS,PARTIDO CONSERVADOR COLOMBIANO,31297
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JANETH CONSUELO BERMUDEZ NIÑO,PARTIDO CENTRO DEMOCRATICO,31295
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JAVIER  GAMBOA CARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31328
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JAVIER IGNACIO CARDENAS VILLALBA,PARTIDO CENTRO DEMOCRATICO,31294
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JAZMIN  CAMACHO GUERRERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31322
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,JUAN LUCAS MENDEZ BARRETO,PARTIDO ALIANZA VERDE,31313
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LEONICIO  CRISTANCHO RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31324
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LEYDI DANIELA HERRERA BERNAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31327
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LUCERO  PINZON CORREDOR,PARTIDO CONSERVADOR COLOMBIANO,31301
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LUZ AMANDA AREVALO RUIZ,PARTIDO CENTRO DEMOCRATICO,31293
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LUZ MARINA NEIRA ,PARTIDO LIBERAL COLOMBIANO,31288
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,LUZ MARY SALAZAR BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31325
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,MARIA ANGELICA SORIANO SORIANO,PARTIDO CENTRO DEMOCRATICO,31292
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,MARIA CAMILA MENDEZ BARRETO,PARTIDO LIBERAL COLOMBIANO,31290
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,MARIA DEL CARMEN GALEANO BARRAGAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31326
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,MARIA ELIZABETH FONSECA TORRES,PARTIDO CAMBIO RADICAL,31305
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,PABLO AUGUSTO ALFARO SALCEDO,PARTIDO CONSERVADOR COLOMBIANO,31302
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,YEILI  GARCIA CHISICA,PARTIDO CAMBIO RADICAL,31307
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,YEISSON IVAN RODRIGUEZ GARAVITO,PARTIDO CAMBIO RADICAL,31309
Concejo,CUNDINAMARCA,GUAYABAL DE SIQUIMA,YINETH MARIBEL RODRIGUEZ BERNAL,PARTIDO ALIANZA VERDE,31312
