corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GUAYABETAL,ALVARO  VELASQUEZ CRUZ,PARTIDO CAMBIO RADICAL,31352
Concejo,CUNDINAMARCA,GUAYABETAL,ANA IDALY REY RUIZ,PARTIDO CENTRO DEMOCRATICO,31335
Concejo,CUNDINAMARCA,GUAYABETAL,ANDREA  SOGAMOSO CORTES,PARTIDO CAMBIO RADICAL,31349
Concejo,CUNDINAMARCA,GUAYABETAL,ANGIE JOHANA AGUDELO BARBOSA,PARTIDO CONSERVADOR COLOMBIANO,31339
Concejo,CUNDINAMARCA,GUAYABETAL,FANNY MARITZA PEREZ ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31358
Concejo,CUNDINAMARCA,GUAYABETAL,FREDY YAMID VELASQUEZ MANCERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31359
Concejo,CUNDINAMARCA,GUAYABETAL,GERMAN ANDRES MORALES FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31355
Concejo,CUNDINAMARCA,GUAYABETAL,HECTOR ARLEY CASTRO PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31357
Concejo,CUNDINAMARCA,GUAYABETAL,HILDA LEONOR ACUÑA MORALES,PARTIDO CAMBIO RADICAL,31348
Concejo,CUNDINAMARCA,GUAYABETAL,JHON DAVID CARDENAS SUAREZ,PARTIDO CAMBIO RADICAL,31351
Concejo,CUNDINAMARCA,GUAYABETAL,JHON JAIR PARRADO LOPEZ,PARTIDO ADA,31337
Concejo,CUNDINAMARCA,GUAYABETAL,JORGE ENRIQUE GUAVITA PARRADO,PARTIDO CONSERVADOR COLOMBIANO,31340
Concejo,CUNDINAMARCA,GUAYABETAL,LEIDY MARCELA RODRIGUEZ CASTRO,PARTIDO CONSERVADOR COLOMBIANO,31343
Concejo,CUNDINAMARCA,GUAYABETAL,LUIS ALBERTO FORERO VELASQUEZ,PARTIDO CENTRO DEMOCRATICO,31330
Concejo,CUNDINAMARCA,GUAYABETAL,LUZ EMILCE CORTES RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31356
Concejo,CUNDINAMARCA,GUAYABETAL,MANUEL ANTONIO MANCERA RIVEROS,PARTIDO CONSERVADOR COLOMBIANO,31342
Concejo,CUNDINAMARCA,GUAYABETAL,MARIA LUCERO REY DIAZ,PARTIDO CENTRO DEMOCRATICO,31331
Concejo,CUNDINAMARCA,GUAYABETAL,MARITZA  VARELA RICARDO,PARTIDO CAMBIO RADICAL,31347
Concejo,CUNDINAMARCA,GUAYABETAL,MIRIAN  CARRILLO CARRILLO,PARTIDO ADA,117841
Concejo,CUNDINAMARCA,GUAYABETAL,NELLY  RODRIGUEZ LEAL,PARTIDO CENTRO DEMOCRATICO,31334
Concejo,CUNDINAMARCA,GUAYABETAL,NELSON ALBERTO CAVIATIVA MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31353
Concejo,CUNDINAMARCA,GUAYABETAL,NORBERTO  CASTRO ROMERO,PARTIDO CENTRO DEMOCRATICO,31333
Concejo,CUNDINAMARCA,GUAYABETAL,OSCAR FRANCISCO FORERO VELASQUEZ,PARTIDO CAMBIO RADICAL,31350
Concejo,CUNDINAMARCA,GUAYABETAL,ROBINSON DAMIAN ROMERO BAQUERO,PARTIDO CENTRO DEMOCRATICO,31336
Concejo,CUNDINAMARCA,GUAYABETAL,RUBY  SARMIENTO ROJAS,PARTIDO CONSERVADOR COLOMBIANO,31345
Concejo,CUNDINAMARCA,GUAYABETAL,SANDRA CONSTANZA GUTIERREZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31354
Concejo,CUNDINAMARCA,GUAYABETAL,WILMER DEMETRIO ROJAS ROJAS,PARTIDO CONSERVADOR COLOMBIANO,31341
Concejo,CUNDINAMARCA,GUAYABETAL,YANETH  PABON AMAYA,PARTIDO CENTRO DEMOCRATICO,31332
Concejo,CUNDINAMARCA,GUAYABETAL,YHON FREDY GUTIERREZ CASTRO,PARTIDO CAMBIO RADICAL,31346
Concejo,CUNDINAMARCA,GUAYABETAL,YINA LUCERO GUAVITA CORTES,PARTIDO CONSERVADOR COLOMBIANO,31344
Concejo,CUNDINAMARCA,GUAYABETAL,YOHANN SMITH REY HERNANDEZ,PARTIDO ADA,31338
