corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,GUTIERREZ,ANDREA PATRICIA QUEVEDO QUEVEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31453
Concejo,CUNDINAMARCA,GUTIERREZ,CARLOS ADELMO RUIZ RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31450
Concejo,CUNDINAMARCA,GUTIERREZ,CESAR JULIAN RODRIGUEZ REY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31451
Concejo,CUNDINAMARCA,GUTIERREZ,CLAUDIA PATRICIA QUEVEDO ROMERO,PARTIDO CAMBIO RADICAL,31446
Concejo,CUNDINAMARCA,GUTIERREZ,DIANA MARSELLA LADINO MORENO,PARTIDO CONSERVADOR COLOMBIANO,31439
Concejo,CUNDINAMARCA,GUTIERREZ,DUVAN MANUEL SANABRIA CRUZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31449
Concejo,CUNDINAMARCA,GUTIERREZ,GERARDO ELIECER TEJERO GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,31437
Concejo,CUNDINAMARCA,GUTIERREZ,HERNEY GIOVANNY LADINO VARGAS,PARTIDO CONSERVADOR COLOMBIANO,31440
Concejo,CUNDINAMARCA,GUTIERREZ,JAVIER LIBARDO JARA RIVEROS,PARTIDO CONSERVADOR COLOMBIANO,31441
Concejo,CUNDINAMARCA,GUTIERREZ,JOHN FREDDY GONZALEZ ACUÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31448
Concejo,CUNDINAMARCA,GUTIERREZ,JOSE ALIRIO CORTES MORENO,PARTIDO CAMBIO RADICAL,31447
Concejo,CUNDINAMARCA,GUTIERREZ,LILIA MERCEDES GUTIERREZ OLAYA,PARTIDO CONSERVADOR COLOMBIANO,31438
Concejo,CUNDINAMARCA,GUTIERREZ,LUIS  ROMERO QUEVEDO,PARTIDO CONSERVADOR COLOMBIANO,31436
Concejo,CUNDINAMARCA,GUTIERREZ,MARGARITA MARIA GARZON ROMERO,PARTIDO CAMBIO RADICAL,31444
Concejo,CUNDINAMARCA,GUTIERREZ,MARTHA LILIANA QUEVEDO MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31454
Concejo,CUNDINAMARCA,GUTIERREZ,MARY LUZ SECHAGUA PARDO,PARTIDO CONSERVADOR COLOMBIANO,31442
Concejo,CUNDINAMARCA,GUTIERREZ,NELSON VICENTE HERNANDEZ MORALES,PARTIDO CAMBIO RADICAL,31443
Concejo,CUNDINAMARCA,GUTIERREZ,NORBERTO  PARDO PARDO,PARTIDO CAMBIO RADICAL,31445
Concejo,CUNDINAMARCA,GUTIERREZ,PAMELA  FORERO MONCADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31452
