corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,JUNIN,ABSALON  GONZALEZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,31584
Concejo,CUNDINAMARCA,JUNIN,ALEJANDRO  BELTRAN RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,31604
Concejo,CUNDINAMARCA,JUNIN,ALEYDA MARIBEL CORTES GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31607
Concejo,CUNDINAMARCA,JUNIN,ANA ELISA CHITIVA RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,31603
Concejo,CUNDINAMARCA,JUNIN,ANGEL FRANCISCO ACOSTA SARMIENTO,PARTIDO CAMBIO RADICAL,31590
Concejo,CUNDINAMARCA,JUNIN,BLANCA MARINA LEAL DE BELTRAN,PARTIDO CONSERVADOR COLOMBIANO,31583
Concejo,CUNDINAMARCA,JUNIN,CARLOS ANDRES RAMOS CAMEJO,PARTIDO CENTRO DEMOCRATICO,31573
Concejo,CUNDINAMARCA,JUNIN,CARLOS EDUARDO LEE REYES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31610
Concejo,CUNDINAMARCA,JUNIN,CLAUDIA INES LOPEZ GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,31606
Concejo,CUNDINAMARCA,JUNIN,CLAUDIA XIMENA CASTILLO PRIETO,PARTIDO ALIANZA VERDE,31599
Concejo,CUNDINAMARCA,JUNIN,DAGOBERTO  CARRION GARZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31608
Concejo,CUNDINAMARCA,JUNIN,DAVID ALEJANDRO PEÑUELA PEÑUELA,PARTIDO CONSERVADOR COLOMBIANO,31587
Concejo,CUNDINAMARCA,JUNIN,DIANA ALEJANDRA VELASQUEZ RIAÑO,PARTIDO CAMBIO RADICAL,31594
Concejo,CUNDINAMARCA,JUNIN,DOLFUS ALEJANDRO PEÑA BELTRAN,PARTIDO CONSERVADOR COLOMBIANO,31581
Concejo,CUNDINAMARCA,JUNIN,DORA INES PRIETO VELASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,31586
Concejo,CUNDINAMARCA,JUNIN,EDUARDO ENRIQUE MANCERA RODRIGUEZ,PARTIDO CAMBIO RADICAL,31589
Concejo,CUNDINAMARCA,JUNIN,FABIO EDUARDO LADINO BEJARANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,31602
Concejo,CUNDINAMARCA,JUNIN,GLORIA ALICIA PARRA MENDEZ,PARTIDO CAMBIO RADICAL,31591
Concejo,CUNDINAMARCA,JUNIN,GLORIA INES RINCON FRANCO,PARTIDO ALIANZA VERDE,31597
Concejo,CUNDINAMARCA,JUNIN,GLORIA NINA RICO CORTES,PARTIDO CENTRO DEMOCRATICO,31575
Concejo,CUNDINAMARCA,JUNIN,HERNANDO GUSTAVO ALFONSO VARGAS,PARTIDO CENTRO DEMOCRATICO,31571
Concejo,CUNDINAMARCA,JUNIN,HORTENCIA MARGARITA MENDEZ MENDEZ,PARTIDO CENTRO DEMOCRATICO,31577
Concejo,CUNDINAMARCA,JUNIN,JESUS ALBERTO MENDEZ MORENO,PARTIDO ALIANZA VERDE,31601
Concejo,CUNDINAMARCA,JUNIN,JORGE MELQUISEDEC MANCERA GONZALEZ,PARTIDO ALIANZA VERDE,31598
Concejo,CUNDINAMARCA,JUNIN,JULIAN ALFONSO RODRIGUEZ MENDEZ,PARTIDO CENTRO DEMOCRATICO,31578
Concejo,CUNDINAMARCA,JUNIN,LETICIA FLORALBA GONZALEZ OBANDO,PARTIDO CAMBIO RADICAL,31588
Concejo,CUNDINAMARCA,JUNIN,LUCINIO DE JESUS ALFONSO PRIETO,PARTIDO CONSERVADOR COLOMBIANO,31585
Concejo,CUNDINAMARCA,JUNIN,LUIS ANTONIO GONZALEZ JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,31579
Concejo,CUNDINAMARCA,JUNIN,LUIS CARLOS BELTRAN BELTRAN,PARTIDO CAMBIO RADICAL,31593
Concejo,CUNDINAMARCA,JUNIN,LUIS DUMAR RODRIGUEZ BELTRAN,PARTIDO ALIANZA VERDE,31600
Concejo,CUNDINAMARCA,JUNIN,MANUEL ANTONIO BELTRAN GARAVITO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31613
Concejo,CUNDINAMARCA,JUNIN,MARIA ESPERANZA BELTRAN MARTINEZ,PARTIDO CENTRO DEMOCRATICO,31574
Concejo,CUNDINAMARCA,JUNIN,MARLEN YADIRA PEÑA BELTRAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31609
Concejo,CUNDINAMARCA,JUNIN,MARTHA EMILE RODRIGUEZ PRIETO,PARTIDO CONSERVADOR COLOMBIANO,31580
Concejo,CUNDINAMARCA,JUNIN,MIGUEL ANGEL RODRIGUEZ ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,31605
Concejo,CUNDINAMARCA,JUNIN,NOEMITH  DIAZ ZAPATA,PARTIDO CAMBIO RADICAL,31592
Concejo,CUNDINAMARCA,JUNIN,PABLO EDGAR CORTES CHITIVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31612
Concejo,CUNDINAMARCA,JUNIN,PEDRO ALDEMAR RODRIGUEZ MORENO,PARTIDO CAMBIO RADICAL,31595
Concejo,CUNDINAMARCA,JUNIN,REYNEL ANCIZAR RODRIGUEZ MORENO,PARTIDO ALIANZA VERDE,31596
Concejo,CUNDINAMARCA,JUNIN,ROSA VIVIANA CASTILLO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31611
Concejo,CUNDINAMARCA,JUNIN,VICTOR JESUS VARGAS VELASQUEZ,PARTIDO CENTRO DEMOCRATICO,31572
Concejo,CUNDINAMARCA,JUNIN,WILMEIDER  CAICEDO LOPEZ,PARTIDO CENTRO DEMOCRATICO,31576
Concejo,CUNDINAMARCA,JUNIN,YESID ALBERTO GONZALEZ BELTRAN,PARTIDO CONSERVADOR COLOMBIANO,31582
