corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,LA CALERA,ADRIANA LUCIA DELGADO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31719
Concejo,CUNDINAMARCA,LA CALERA,ALEJANDRA LUCIA QUINTEROS ALVAREZ,PARTIDO ALIANZA VERDE,31687
Concejo,CUNDINAMARCA,LA CALERA,ALEX FULBIO VASQUEZ PRIETO,PARTIDO CENTRO DEMOCRATICO,31632
Concejo,CUNDINAMARCA,LA CALERA,ALVARO  ALMECIGA MARTINEZ,PARTIDO CAMBIO RADICAL,31677
Concejo,CUNDINAMARCA,LA CALERA,ANA MARIA LEON CORTES,PARTIDO COLOMBIA JUSTA LIBRES,31645
Concejo,CUNDINAMARCA,LA CALERA,ANAIS  RODRIGUEZ ALMECIGA,PARTIDO CONSERVADOR COLOMBIANO,31664
Concejo,CUNDINAMARCA,LA CALERA,ANGEL AUGUSTO ORJUELA ORJUELA,PARTIDO CAMBIO RADICAL,31679
Concejo,CUNDINAMARCA,LA CALERA,ASTRID JOHANNA TEJADA PLAZAS,PARTIDO CENTRO DEMOCRATICO,31630
Concejo,CUNDINAMARCA,LA CALERA,BAIRON EDUARDO MOSQUERA CUBILLOS,PARTIDO LIBERAL COLOMBIANO,31616
Concejo,CUNDINAMARCA,LA CALERA,BERTHA NERIS SANCHEZ VASQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31641
Concejo,CUNDINAMARCA,LA CALERA,CARLOS ALBERTO GALLEGO CARDONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31703
Concejo,CUNDINAMARCA,LA CALERA,CARLOS ALBERTO MANTILLA GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,31665
Concejo,CUNDINAMARCA,LA CALERA,CARLOS ALBERTO PEDRAZA CASAS,PARTIDO ALIANZA VERDE,31694
Concejo,CUNDINAMARCA,LA CALERA,CARLOS ANDRES HERAZO INDABURU,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31706
Concejo,CUNDINAMARCA,LA CALERA,CARLOS ANDRES PINZON GARZON,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,31649
Concejo,CUNDINAMARCA,LA CALERA,CARLOS DAVID RAMOS LANDEROS,PARTIDO LIBERAL COLOMBIANO,31626
Concejo,CUNDINAMARCA,LA CALERA,CARLOS EDUARDO MORENO GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31720
Concejo,CUNDINAMARCA,LA CALERA,CAROLINA  MORALES SANCHEZ,PARTIDO POLITICO MIRA,31712
Concejo,CUNDINAMARCA,LA CALERA,CLAUDIA LUCIA URIZA ESTRADA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31696
Concejo,CUNDINAMARCA,LA CALERA,CLAUDIA MARCELA CASAS DIAZ,PARTIDO CONSERVADOR COLOMBIANO,31666
Concejo,CUNDINAMARCA,LA CALERA,DAVID FELIPE CAMPOS RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31700
Concejo,CUNDINAMARCA,LA CALERA,DERSON FABIAN BARAHONA CORTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31698
Concejo,CUNDINAMARCA,LA CALERA,DIANA JANNETH GUTIERREZ PARRA,PARTIDO LIBERAL COLOMBIANO,31618
Concejo,CUNDINAMARCA,LA CALERA,DIEGO ISAI LOPEZ ALFONSO,PARTIDO COLOMBIA JUSTA LIBRES,31643
Concejo,CUNDINAMARCA,LA CALERA,EDGAR ANTONIO CIFUENTES VARGAS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,31646
Concejo,CUNDINAMARCA,LA CALERA,EDGAR AUGUSTO FLOREZ CIFUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31718
Concejo,CUNDINAMARCA,LA CALERA,EDGAR RODRIGO SUAREZ RUEDA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,31648
Concejo,CUNDINAMARCA,LA CALERA,EDISON JAVIER VENEGAS MARTINEZ,PARTIDO CAMBIO RADICAL,31682
Concejo,CUNDINAMARCA,LA CALERA,EDISON NORBEY CARDENAS RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31639
Concejo,CUNDINAMARCA,LA CALERA,EDUAR MAURICIO SANCHEZ BARRERA,PARTIDO LIBERAL COLOMBIANO,31624
Concejo,CUNDINAMARCA,LA CALERA,EDUARD ANDRES GARCIA VENEGAS,PARTIDO LIBERAL COLOMBIANO,31623
Concejo,CUNDINAMARCA,LA CALERA,EDWIN ANDRES ALAYON ALMECIGA,PARTIDO ALIANZA VERDE,31690
Concejo,CUNDINAMARCA,LA CALERA,EDWIN FERNEY MARTINEZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,31663
Concejo,CUNDINAMARCA,LA CALERA,EDWIN GIOVANNY MORENO PEREZ,PARTIDO CAMBIO RADICAL,31683
Concejo,CUNDINAMARCA,LA CALERA,ERICKA DEL PILAR MORENO ESCOBAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31640
Concejo,CUNDINAMARCA,LA CALERA,ERVIN  BELLO LANDINEZ,PARTIDO CAMBIO RADICAL,31675
Concejo,CUNDINAMARCA,LA CALERA,EVA ESPERANZA ESMERALDA LOPEZ GALVEZ,PARTIDO CAMBIO RADICAL,31671
Concejo,CUNDINAMARCA,LA CALERA,FABIAN ARMANDO INTENCIPA ACOSTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31705
Concejo,CUNDINAMARCA,LA CALERA,FABIAN DARIO OCHOA CASTRO,PARTIDO LIBERAL COLOMBIANO,31625
Concejo,CUNDINAMARCA,LA CALERA,FELIPE  MORALES NIELSEN,PARTIDO CENTRO DEMOCRATICO,31627
Concejo,CUNDINAMARCA,LA CALERA,FELIX ANTONIO BORDA GALINDO,PARTIDO CENTRO DEMOCRATICO,31636
Concejo,CUNDINAMARCA,LA CALERA,FREDY  MONTES GARZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31701
Concejo,CUNDINAMARCA,LA CALERA,GABRIEL ANDRES CARDONA CORTES,PARTIDO POLITICO MIRA,31709
Concejo,CUNDINAMARCA,LA CALERA,GERMAN ULISES GARCIA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,31667
Concejo,CUNDINAMARCA,LA CALERA,GLORIA YANETH OTALVARO LOPEZ,PARTIDO POLITICO MIRA,31708
Concejo,CUNDINAMARCA,LA CALERA,GONZALO  PAEZ BELTRAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31725
Concejo,CUNDINAMARCA,LA CALERA,HAIRON GEOVANNI RUEDA ACOSTA,PARTIDO CENTRO DEMOCRATICO,31631
Concejo,CUNDINAMARCA,LA CALERA,HARRY AUGUSTO GOMEZ ESPINOSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31717
Concejo,CUNDINAMARCA,LA CALERA,HENRY ALEXANDER CIFUENTES AMORTEGUI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31722
