corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,LA PALMA,ADRIANA LICETH MONTAÑO ARIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31896
Concejo,CUNDINAMARCA,LA PALMA,ANDRES FELIPE QUIÑONEZ MOYANO,PARTIDO CONSERVADOR COLOMBIANO,31871
Concejo,CUNDINAMARCA,LA PALMA,ARGENIZ  CALVO BELTRAN,PARTIDO CAMBIO RADICAL,31880
Concejo,CUNDINAMARCA,LA PALMA,BENJAMIN  BUSTOS ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,31872
Concejo,CUNDINAMARCA,LA PALMA,BRAYAN JAVIER MAHECHA VASCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31857
Concejo,CUNDINAMARCA,LA PALMA,BRIAN STIVEN GARCIA GALINDO,PARTIDO CONSERVADOR COLOMBIANO,31867
Concejo,CUNDINAMARCA,LA PALMA,CARLOS AUGUSTO ESCOBAR ANZOLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31890
Concejo,CUNDINAMARCA,LA PALMA,CENAIDA  RIVERA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31893
Concejo,CUNDINAMARCA,LA PALMA,CESAR AUGUSTO MONTENEGRO CAMACHO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,31888
Concejo,CUNDINAMARCA,LA PALMA,CLAUDIO  CORREA CIFUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,31892
Concejo,CUNDINAMARCA,LA PALMA,DEISSY NORIED FORERO GALINDO,PARTIDO CAMBIO RADICAL,31876
Concejo,CUNDINAMARCA,LA PALMA,DERLIS YURANY MAHECHA PEDROZA,PARTIDO LIBERAL COLOMBIANO,31843
Concejo,CUNDINAMARCA,LA PALMA,DIEGO  VEGA MAHECHA,PARTIDO CAMBIO RADICAL,31882
Concejo,CUNDINAMARCA,LA PALMA,DIEGO FERNANDO GAITAN VIRGUEZ,PARTIDO LIBERAL COLOMBIANO,31841
Concejo,CUNDINAMARCA,LA PALMA,DIEGO FERNANDO MOJICA MIRANDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,31858
Concejo,CUNDINAMARCA,LA PALMA,EDILSON  MEDINA ,PARTIDO CENTRO DEMOCRATICO,31852
Concejo,CUNDINAMARCA,LA PALMA,EDNA MARIA CARRION VALENCIA,PARTIDO CENTRO DEMOCRATICO,31848
Concejo,CUNDINAMARCA,LA PALMA,FRANCISCO ELISEO BOTERO MIRANDA,PARTIDO CENTRO DEMOCRATICO,31854
