corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,MOSQUERA,ADRIANA  PARDO GONZALEZ,PARTIDO LIBERAL COLOMBIANO,32458
Concejo,CUNDINAMARCA,MOSQUERA,ADRIANA MILENA CASAS AVILA,PARTIDO ADA,32521
Concejo,CUNDINAMARCA,MOSQUERA,ALVARO  MORALES CASTELLANOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32568
Concejo,CUNDINAMARCA,MOSQUERA,ALVARO ANDREY MARTINEZ SOLER,PARTIDO COLOMBIA RENACIENTE,32511
Concejo,CUNDINAMARCA,MOSQUERA,ANA BEATRIZ VASQUEZ CASTILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32488
Concejo,CUNDINAMARCA,MOSQUERA,ANA ROSA PRIETO LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32486
Concejo,CUNDINAMARCA,MOSQUERA,ANDREA CAROLINA GARCIA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32582
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES ALONSO MORENO RIVERA,PARTIDO ADA,32526
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES DAVID PATIÑO LOPEZ,PARTIDO LIBERAL COLOMBIANO,32464
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES FELIPE MARTINEZ MARTINEZ,PARTIDO LIBERAL COLOMBIANO,32469
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES FELIPE QUIROZ JURADO,SOMOS LA ALTERNATIVA,32611
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES FERNANDO GARCIA CASTILLO,PARTIDO LIBERAL COLOMBIANO,32459
Concejo,CUNDINAMARCA,MOSQUERA,ANDRES MAURICIO MONTEALEGRE GARZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32567
Concejo,CUNDINAMARCA,MOSQUERA,ANGEL GABRIEL ROMERO RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32555
Concejo,CUNDINAMARCA,MOSQUERA,ANGIE NATHALIA MARTINEZ CORDERO,PARTIDO CAMBIO RADICAL,32540
Concejo,CUNDINAMARCA,MOSQUERA,ARNOVIS  GARCIA IBAÑEZ,PARTIDO CENTRO DEMOCRATICO,32478
Concejo,CUNDINAMARCA,MOSQUERA,BETY YADIRY GUTIERREZ LADINO,PARTIDO CAMBIO RADICAL,32531
Concejo,CUNDINAMARCA,MOSQUERA,BLANCA LILIA SALOM ALFARO,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32594
Concejo,CUNDINAMARCA,MOSQUERA,BREYDI ANDRES SUAREZ GARCIA,PARTIDO COLOMBIA JUSTA LIBRES,32500
Concejo,CUNDINAMARCA,MOSQUERA,CAMILO ALEJANDRO GIL OCHOA,PARTIDO COLOMBIA JUSTA LIBRES,32501
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ADOLFO ALVARADO RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32492
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ALBERTO RODRIGUEZ CALDERON,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32595
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ANDRES CASTELLANOS ZAMBRANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32585
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ANDRES PABON GOMEZ,PARTIDO CAMBIO RADICAL,32537
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ARTURO LEON ,PARTIDO COLOMBIA RENACIENTE,32510
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS ARTURO SANTANA ANGEL,PARTIDO ADA,32519
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS HERNAN ROA ARIAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32547
Concejo,CUNDINAMARCA,MOSQUERA,CARLOS LIBARDO SANABRIA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32584
Concejo,CUNDINAMARCA,MOSQUERA,CARMEN MATILDE CORTES GUZMAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32561
Concejo,CUNDINAMARCA,MOSQUERA,CAROLINA  BELTRAN LARROTA,PARTIDO COLOMBIA RENACIENTE,32516
Concejo,CUNDINAMARCA,MOSQUERA,CESAR AUGUSTO GARNICA BENAVIDES,PARTIDO ADA,32518
Concejo,CUNDINAMARCA,MOSQUERA,CESAR AUGUSTO PESCADOR CAICEDO,PARTIDO CENTRO DEMOCRATICO,32475
Concejo,CUNDINAMARCA,MOSQUERA,CESAR AUGUSTO RAMIREZ MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32495
Concejo,CUNDINAMARCA,MOSQUERA,CESAR IVAN CORREDOR CORREDOR,SOMOS LA ALTERNATIVA,32603
Concejo,CUNDINAMARCA,MOSQUERA,CLARA INES MORENO CRUZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32545
Concejo,CUNDINAMARCA,MOSQUERA,CRISTIAN ANDRES GODOY GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32549
Concejo,CUNDINAMARCA,MOSQUERA,CRISTIAN CAMILO LOPEZ VANEGAS,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32590
Concejo,CUNDINAMARCA,MOSQUERA,DANIEL EDUARDO GARCIA GONZALEZ,PARTIDO COLOMBIA RENACIENTE,32512
Concejo,CUNDINAMARCA,MOSQUERA,DANIELA  DUQUINO PARDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32554
Concejo,CUNDINAMARCA,MOSQUERA,DIANA CRISTINA RUIZ MELO,SOMOS LA ALTERNATIVA,32613
Concejo,CUNDINAMARCA,MOSQUERA,DIANA EVANGELINA MORENO ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32562
Concejo,CUNDINAMARCA,MOSQUERA,DIANA LUCERO VALBUENA ALQUICHIDES,SOMOS LA ALTERNATIVA,32616
Concejo,CUNDINAMARCA,MOSQUERA,DIANA PAOLA VARELA VARELA,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32592
Concejo,CUNDINAMARCA,MOSQUERA,DIANA XIMENA LEDESMA TEJADA,SOMOS LA ALTERNATIVA,32606
Concejo,CUNDINAMARCA,MOSQUERA,DIANA YOLANDA IBAÑEZ CARDENAS,PARTIDO ADA,32525
Concejo,CUNDINAMARCA,MOSQUERA,DIEGO ARMANDO ABRIL ALVAREZ,PARTIDO ADA,32520
Concejo,CUNDINAMARCA,MOSQUERA,EDGAR ALFREDO CASTELLANOS OLAYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32489
Concejo,CUNDINAMARCA,MOSQUERA,EDGARDO ARTURO GARCIA DAMS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32565
Concejo,CUNDINAMARCA,MOSQUERA,EDUARDO YOVANY ALZATE ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32573
Concejo,CUNDINAMARCA,MOSQUERA,EDWIN EDUARDO UYABAN BELLO,SOMOS LA ALTERNATIVA,32610
Concejo,CUNDINAMARCA,MOSQUERA,EDWIN JOSE GUERRERO MOSQUERA,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32593
Concejo,CUNDINAMARCA,MOSQUERA,EDWIN YESID SARMIENTO GUTIERREZ,SOMOS LA ALTERNATIVA,32602
Concejo,CUNDINAMARCA,MOSQUERA,EIDER ALEXANDER CAICEDO RUBIANO,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32598
Concejo,CUNDINAMARCA,MOSQUERA,ELSA LISBETH GONZALEZ BERRIO,PARTIDO LIBERAL COLOMBIANO,32462
Concejo,CUNDINAMARCA,MOSQUERA,FABIAN ENRIQUE FORERO TORRES,PARTIDO CONSERVADOR - PARTIDO POLITICO MIRA,32596
Concejo,CUNDINAMARCA,MOSQUERA,FABIO  ARENAS ,PARTIDO LIBERAL COLOMBIANO,32467
Concejo,CUNDINAMARCA,MOSQUERA,FABIO  CUJABAN ZAZA,PARTIDO ADA,32524
Concejo,CUNDINAMARCA,MOSQUERA,FABIO NELSON MONTENEGRO GUIZA,PARTIDO CAMBIO RADICAL,32527
Concejo,CUNDINAMARCA,MOSQUERA,FARASH VALERIA CONTRERAS RODRIGUEZ,SOMOS LA ALTERNATIVA,32609
Concejo,CUNDINAMARCA,MOSQUERA,FELIPE FRANCISCO GONZALEZ ARIZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32491
Concejo,CUNDINAMARCA,MOSQUERA,FRANCY ALEJANDRA BUELVAS VARGAS,PARTIDO CAMBIO RADICAL,32541
Concejo,CUNDINAMARCA,MOSQUERA,FRANCY ELENA MAZUERA BUENDIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,32564
Concejo,CUNDINAMARCA,MOSQUERA,GILBERTO  SOLER GIL,PARTIDO CENTRO DEMOCRATICO,32481
Concejo,CUNDINAMARCA,MOSQUERA,GONZALO  VELANDIA MEDINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32485
Concejo,CUNDINAMARCA,MOSQUERA,HAROLD VICENTE BARON AGUIRRE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32553
Concejo,CUNDINAMARCA,MOSQUERA,HUMBERTO  TORRES RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,32457
Concejo,CUNDINAMARCA,MOSQUERA,JAIME EDUARDO MALDONADO CARRIAZO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32550
Concejo,CUNDINAMARCA,MOSQUERA,JAVIER ALBERTO CASTAÑEDA RUIZ,SOMOS LA ALTERNATIVA,32615
Concejo,CUNDINAMARCA,MOSQUERA,JAVIER ENRIQUE MATIZ CASTRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32551
Concejo,CUNDINAMARCA,MOSQUERA,JENIFER PAOLA GRAJALES GARCIA,PARTIDO CENTRO DEMOCRATICO,32477
Concejo,CUNDINAMARCA,MOSQUERA,JENNY NATALIA MARTINEZ VIANA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,32546
Concejo,CUNDINAMARCA,MOSQUERA,JESUS ANTONIO RIVAS BECERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32498
