corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,NILO,ALEXANDER  ESCOBAR GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32816
Concejo,CUNDINAMARCA,NILO,ALEXANDER  MARIN SASTRE,PARTIDO CAMBIO RADICAL,32803
Concejo,CUNDINAMARCA,NILO,ALVARO  CASTILLO ACUÑA,PARTIDO CAMBIO RADICAL,32798
Concejo,CUNDINAMARCA,NILO,ALVARO  GARCIA ESCAMILLA,PARTIDO CAMBIO RADICAL,32802
Concejo,CUNDINAMARCA,NILO,ANDERSON STIVEN ENCISO SUAREZ,PARTIDO ALIANZA VERDE,32810
Concejo,CUNDINAMARCA,NILO,BERTHA YANEIR MORALES ACOSTA,PARTIDO CENTRO DEMOCRATICO,32785
Concejo,CUNDINAMARCA,NILO,BREINY JOHANA PADILLA BUZON,PARTIDO LIBERAL COLOMBIANO,32776
Concejo,CUNDINAMARCA,NILO,CARLOS JULIO SANCHEZ BAUTISTA,PARTIDO CAMBIO RADICAL,32794
Concejo,CUNDINAMARCA,NILO,CARMEN ELISA PARRA LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32817
Concejo,CUNDINAMARCA,NILO,CARMEN MARIA PACHECO VEGA,PARTIDO LIBERAL COLOMBIANO,32771
Concejo,CUNDINAMARCA,NILO,CRISTIAN ANDRES CARVAJAL CARDENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32820
Concejo,CUNDINAMARCA,NILO,DAVID GILDARDO BORDA TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32824
Concejo,CUNDINAMARCA,NILO,DAVID RICARDO GUERRA GARZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32818
Concejo,CUNDINAMARCA,NILO,DUMAR  DIAZ ARREGOCES,PARTIDO CENTRO DEMOCRATICO,32782
Concejo,CUNDINAMARCA,NILO,EDUARDO  CENDALES CAMPUZANO,PARTIDO COLOMBIA JUSTA LIBRES,32789
