corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,NOCAIMA,ALVARO  LAVERDE MAHECHA,PARTIDO CAMBIO RADICAL,32878
Concejo,CUNDINAMARCA,NOCAIMA,AMANDA  CEDEÑO JIMENEZ,PARTIDO CENTRO DEMOCRATICO,32860
Concejo,CUNDINAMARCA,NOCAIMA,AMELIA  RAMIREZ DE ACOSTA,PARTIDO CONSERVADOR COLOMBIANO,32868
Concejo,CUNDINAMARCA,NOCAIMA,ANA YULISSA ACUÑA ESQUINAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32865
Concejo,CUNDINAMARCA,NOCAIMA,ANGELA LORENA OLARTE LAVERDE,PARTIDO ALIANZA VERDE,32889
Concejo,CUNDINAMARCA,NOCAIMA,ANGIE GISED ABRIL BAZZANI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32894
Concejo,CUNDINAMARCA,NOCAIMA,ANIBAL  LAVERDE MENDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32892
Concejo,CUNDINAMARCA,NOCAIMA,CARLOS ANDRES ESCUCHA MALDONADO,PARTIDO CONSERVADOR COLOMBIANO,32872
Concejo,CUNDINAMARCA,NOCAIMA,CARLOS EDUARDO SOTO CARO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32893
Concejo,CUNDINAMARCA,NOCAIMA,CARLOS HUMBERTO LESMES FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32863
Concejo,CUNDINAMARCA,NOCAIMA,DAIRO JAVIER DUQUE DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,32866
Concejo,CUNDINAMARCA,NOCAIMA,DEISY PAOLA FORERO PALACIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32895
Concejo,CUNDINAMARCA,NOCAIMA,ELBERTO  RODRIGUEZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,32869
Concejo,CUNDINAMARCA,NOCAIMA,FREDY ALEXANDER RIOS PINZON,PARTIDO CAMBIO RADICAL,32881
Concejo,CUNDINAMARCA,NOCAIMA,GABRIELA  HERNANDEZ ORTIZ,PARTIDO CAMBIO RADICAL,32884
Concejo,CUNDINAMARCA,NOCAIMA,GEOVANNI  SAAVEDRA ,PARTIDO CAMBIO RADICAL,32885
Concejo,CUNDINAMARCA,NOCAIMA,HECTOR ESNEYDER ENCISO FLOREZ,PARTIDO ALIANZA VERDE,32887
Concejo,CUNDINAMARCA,NOCAIMA,HECTOR HERNAN PINZON URRIAGA,PARTIDO ALIANZA VERDE,32886
Concejo,CUNDINAMARCA,NOCAIMA,HECTOR SEBASTIAN CAMACHO SANTANA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,32896
Concejo,CUNDINAMARCA,NOCAIMA,HERNAN  DELGADO HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,32856
Concejo,CUNDINAMARCA,NOCAIMA,HERNAN YOVANY HERRERA DELGADO,PARTIDO CONSERVADOR COLOMBIANO,32870
