corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,PAIME,ALEXANDER  CARDENAS MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33055
Concejo,CUNDINAMARCA,PAIME,ANCELMO  SANCHEZ AGUILAR,PARTIDO CENTRO DEMOCRATICO,33037
Concejo,CUNDINAMARCA,PAIME,ANGELICA  MARTINEZ PALACIOS,PARTIDO CENTRO DEMOCRATICO,33039
Concejo,CUNDINAMARCA,PAIME,EDILSON  MONTAÑO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33059
Concejo,CUNDINAMARCA,PAIME,HEBER  PUENTES ANZOLA,PARTIDO CAMBIO RADICAL,33043
Concejo,CUNDINAMARCA,PAIME,HENRRY  MURCIA CAICEDO,PARTIDO CENTRO DEMOCRATICO,33040
Concejo,CUNDINAMARCA,PAIME,HUGO ALEXANDER AGUILAR BUSTOS,PARTIDO CAMBIO RADICAL,33049
Concejo,CUNDINAMARCA,PAIME,JAVIER  USAQUEN MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33057
Concejo,CUNDINAMARCA,PAIME,JOSE DEL CARMEN HERNANDEZ VILLARRAGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33053
Concejo,CUNDINAMARCA,PAIME,JOSE MELQUICEDEC MUÑOZ ACHURY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33056
Concejo,CUNDINAMARCA,PAIME,JOSE MILLER ROCHA ,PARTIDO CAMBIO RADICAL,33045
Concejo,CUNDINAMARCA,PAIME,KENNDY  SANTANA SANCHEZ,PARTIDO CAMBIO RADICAL,33048
Concejo,CUNDINAMARCA,PAIME,LILI  ALFONSO LOZANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33051
Concejo,CUNDINAMARCA,PAIME,LILIANA JAZMIN MOLINA MARTINEZ,PARTIDO CAMBIO RADICAL,33050
Concejo,CUNDINAMARCA,PAIME,MARIA IRENE GALEANO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33052
Concejo,CUNDINAMARCA,PAIME,MARIA LIGIA CARRILLO LARA,PARTIDO CAMBIO RADICAL,33046
Concejo,CUNDINAMARCA,PAIME,MICHAEL HERNAN DAVILA FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33054
Concejo,CUNDINAMARCA,PAIME,MIGDONIA SOLANDY LARA MEDINA,PARTIDO CENTRO DEMOCRATICO,33038
Concejo,CUNDINAMARCA,PAIME,NIDIA JAZMIN NIÑO ARIAS,PARTIDO CAMBIO RADICAL,33047
Concejo,CUNDINAMARCA,PAIME,NUBIA  NIÑO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33058
Concejo,CUNDINAMARCA,PAIME,OLGA PATRICIA RINCON RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,33041
Concejo,CUNDINAMARCA,PAIME,OMAR  RODRIGUEZ MARTINEZ,PARTIDO CAMBIO RADICAL,33044
Concejo,CUNDINAMARCA,PAIME,RIGOBERTO  MOLINA CIFUENTES,PARTIDO CENTRO DEMOCRATICO,33042
