corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,PANDI,ADRIANA LUCIA HERNANDEZ ARIAS,PARTIDO ADA,33084
Concejo,CUNDINAMARCA,PANDI,ALBA FABIOLA DURAN MARTINEZ,PARTIDO ADA,33078
Concejo,CUNDINAMARCA,PANDI,ALBA ROSA RAMOS CASAS,PARTIDO CAMBIO RADICAL,33095
Concejo,CUNDINAMARCA,PANDI,ALEXANDRA  FRANCO ALDANA,PARTIDO LIBERAL COLOMBIANO,33065
Concejo,CUNDINAMARCA,PANDI,ALFREDO  CHAVEZ SILVA,PARTIDO LIBERAL COLOMBIANO,33068
Concejo,CUNDINAMARCA,PANDI,ALIX MERCEDES RODRIGUEZ ACERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33109
Concejo,CUNDINAMARCA,PANDI,ALVARO  GUAVITA FUQUENE,PARTIDO CONSERVADOR COLOMBIANO,33093
Concejo,CUNDINAMARCA,PANDI,ANGIE ZULIET RINCON GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,33070
Concejo,CUNDINAMARCA,PANDI,ANIBAL ARMANDO CASTILLO PULIDO,PARTIDO CONSERVADOR COLOMBIANO,33091
Concejo,CUNDINAMARCA,PANDI,ARGEMIRO  DIAZ ACUÑA,PARTIDO LIBERAL COLOMBIANO,33066
Concejo,CUNDINAMARCA,PANDI,CARMEN LUZ HERNANDEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33120
Concejo,CUNDINAMARCA,PANDI,CRISTOBAL  ESCOBAR MARTINEZ,PARTIDO ADA,33082
Concejo,CUNDINAMARCA,PANDI,DEISY ESPERANZA GONZALEZ ACOSTA,PARTIDO CONSERVADOR COLOMBIANO,33087
Concejo,CUNDINAMARCA,PANDI,DINA MARIA CORDOBA MONTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33119
Concejo,CUNDINAMARCA,PANDI,EUGENIO  MURILLO OTALORA,PARTIDO CAMBIO RADICAL,33096
Concejo,CUNDINAMARCA,PANDI,FEDERICO  CUBILLOS VELASQUEZ,PARTIDO CAMBIO RADICAL,33098
Concejo,CUNDINAMARCA,PANDI,FERNANDO ARTURO GUTIERREZ GARAVITO,PARTIDO CONSERVADOR COLOMBIANO,33086
Concejo,CUNDINAMARCA,PANDI,FLORENTINO  ESPINOSA ,PARTIDO CENTRO DEMOCRATICO,33069
Concejo,CUNDINAMARCA,PANDI,GERARDO  CUELLAR BOTELLO,PARTIDO CAMBIO RADICAL,33103
Concejo,CUNDINAMARCA,PANDI,GLADIS PAOLA BERNAL PAEZ,PARTIDO CENTRO DEMOCRATICO,33076
Concejo,CUNDINAMARCA,PANDI,HECTOR ARMANDO TORRES SARMIENTO,PARTIDO CAMBIO RADICAL,33097
Concejo,CUNDINAMARCA,PANDI,ISIDORO  BELTRAN RAMIREZ,PARTIDO CENTRO DEMOCRATICO,33074
Concejo,CUNDINAMARCA,PANDI,JAVIER  ORJUELA SASTOQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33115
Concejo,CUNDINAMARCA,PANDI,JESUS ANTONIO CORTES DUARTE,PARTIDO CENTRO DEMOCRATICO,33075
Concejo,CUNDINAMARCA,PANDI,JOAQUIN  CARRILLO LOPEZ,PARTIDO LIBERAL COLOMBIANO,33060
Concejo,CUNDINAMARCA,PANDI,JORGE OCTAVIO DIAZ SARMIENTO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33112
Concejo,CUNDINAMARCA,PANDI,JOSE ABRAHAM ROJAS CLAVIJO,PARTIDO CONSERVADOR COLOMBIANO,33092
Concejo,CUNDINAMARCA,PANDI,JOSE HELIODORO GOMEZ MARTINEZ,PARTIDO CAMBIO RADICAL,33101
Concejo,CUNDINAMARCA,PANDI,JOSE LEONARDO HERNANDEZ ALVAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33106
Concejo,CUNDINAMARCA,PANDI,JOSE LEONARDO HERNANDEZ PARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33113
Concejo,CUNDINAMARCA,PANDI,JOSE REYES DIAZ LADINO,PARTIDO ADA,33080
Concejo,CUNDINAMARCA,PANDI,JUAN YESID BELTRAN CASTILLO,PARTIDO ADA,33079
Concejo,CUNDINAMARCA,PANDI,LIBARDO EVELIO SILVA ACERO,PARTIDO CENTRO DEMOCRATICO,33071
Concejo,CUNDINAMARCA,PANDI,LISDEY KARIME ACOSTA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,33073
Concejo,CUNDINAMARCA,PANDI,LUCILA  HERNANDEZ DE CORREDOR,PARTIDO CONSERVADOR COLOMBIANO,33088
Concejo,CUNDINAMARCA,PANDI,LUIS HERNANDO LEON PINZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33114
Concejo,CUNDINAMARCA,PANDI,LUZ ESTELA BAUTISTA CHAMBUETA,PARTIDO ADA,33083
Concejo,CUNDINAMARCA,PANDI,MANUEL IGNACIO ROBAYO MORALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33104
Concejo,CUNDINAMARCA,PANDI,MARIA CARMENZA SARMIENTO RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,33067
Concejo,CUNDINAMARCA,PANDI,MARIBEL  GUASCA CAJAMARCA,PARTIDO LIBERAL COLOMBIANO,33061
Concejo,CUNDINAMARCA,PANDI,MARTHA CECILIA PAEZ ,PARTIDO CAMBIO RADICAL,33100
Concejo,CUNDINAMARCA,PANDI,MARTINA  MENDEZ CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,33094
Concejo,CUNDINAMARCA,PANDI,MARYSOL  DIAZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33118
Concejo,CUNDINAMARCA,PANDI,MIGUEL HERNAN DIAZ CUBILLOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33110
Concejo,CUNDINAMARCA,PANDI,MISAEL  ROJAS CARDENAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33111
Concejo,CUNDINAMARCA,PANDI,NEFTALI  MOLINA ,PARTIDO LIBERAL COLOMBIANO,33064
Concejo,CUNDINAMARCA,PANDI,NORMAN CHRISTIAN OGILVIE-BROWNE ,PARTIDO CONSERVADOR COLOMBIANO,33089
Concejo,CUNDINAMARCA,PANDI,OMAR  LOPEZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,33062
Concejo,CUNDINAMARCA,PANDI,OSCAR JOSE ROJAS DIAZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33108
Concejo,CUNDINAMARCA,PANDI,OSCAR MANUEL CUBILLOS CARO,PARTIDO CENTRO DEMOCRATICO,33072
Concejo,CUNDINAMARCA,PANDI,PABLO HERNAN CORTES HERRERA,PARTIDO CONSERVADOR COLOMBIANO,33090
Concejo,CUNDINAMARCA,PANDI,PAULA MARCELA ZACIPA BARON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33121
Concejo,CUNDINAMARCA,PANDI,RAFAEL  ORTIZ PERALTA,PARTIDO ADA,33085
Concejo,CUNDINAMARCA,PANDI,RAUL  MOLINA NUÑEZ,PARTIDO COLOMBIA JUSTA LIBRES,33077
Concejo,CUNDINAMARCA,PANDI,SERGIO ANDRES CUADROS LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33117
Concejo,CUNDINAMARCA,PANDI,TERESA DE JESUS MARTINEZ CASTILLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33105
Concejo,CUNDINAMARCA,PANDI,YADIRA PATRICIA ROJAS SEPULVEDA,PARTIDO ADA,33081
Concejo,CUNDINAMARCA,PANDI,YINETH JASBLEIDY BERNAL GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,33063
Concejo,CUNDINAMARCA,PANDI,YINETH MARCELA RODRIGUEZ GUASCA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33107
Concejo,CUNDINAMARCA,PANDI,YULI CONSUELO URREA BEJARANO,PARTIDO CAMBIO RADICAL,33102
