corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,PASCA,ADRIANA ISABEL RODRIGUEZ SANTOS,PARTIDO ALIANZA VERDE,33236
Concejo,CUNDINAMARCA,PASCA,ALEX YAMID GUTIERREZ HURTADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,33238
Concejo,CUNDINAMARCA,PASCA,ANA ELSA PORRAS ,PARTIDO CAMBIO RADICAL,33221
Concejo,CUNDINAMARCA,PASCA,ANA MARINA SIMBAQUEBA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,33189
Concejo,CUNDINAMARCA,PASCA,ANA SILVIA GOMEZ JIMENEZ,PARTIDO ALIANZA VERDE,33235
Concejo,CUNDINAMARCA,PASCA,ANDRES FELIPE HORTUA ALBARRACIN,PARTIDO CAMBIO RADICAL,33218
Concejo,CUNDINAMARCA,PASCA,ANGIE PAOLA TORRES PINILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,33239
Concejo,CUNDINAMARCA,PASCA,BERENICE  TORRES MOLINA,PARTIDO CAMBIO RADICAL,33223
Concejo,CUNDINAMARCA,PASCA,CARLOS UBALDO PINILLA ESPEJO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33256
Concejo,CUNDINAMARCA,PASCA,CESAR AUGUSTO BENAVIDES PORRAS,PARTIDO ALIANZA VERDE,33231
Concejo,CUNDINAMARCA,PASCA,CLARA INES AGUIRRE ,PARTIDO CONSERVADOR COLOMBIANO,33207
Concejo,CUNDINAMARCA,PASCA,CLARA INES ROJAS BUITRAGO,PARTIDO CAMBIO RADICAL,33226
Concejo,CUNDINAMARCA,PASCA,CLAUDIA YANETH CASALLAS GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,33199
Concejo,CUNDINAMARCA,PASCA,DANIEL ARTURO CUBILLOS PARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33250
