corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,PULI,ALFONSO  NIETO ROMERO,PARTIDO CAMBIO RADICAL,33378
Concejo,CUNDINAMARCA,PULI,ALVARO  NARANJO GORDILLO,PARTIDO CONSERVADOR COLOMBIANO,33370
Concejo,CUNDINAMARCA,PULI,ANA CECILIA PRADO GORDILLO,PARTIDO CONSERVADOR COLOMBIANO,33368
Concejo,CUNDINAMARCA,PULI,ANGELINA  BAUTISTA TIBAGUY,PARTIDO ALIANZA VERDE,33384
Concejo,CUNDINAMARCA,PULI,ARACELY  MENDOZA CORREDOR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33388
Concejo,CUNDINAMARCA,PULI,CHAROL YALITH TREJOS LOZANO,PARTIDO CENTRO DEMOCRATICO,33365
Concejo,CUNDINAMARCA,PULI,DIANA PAOLA PEDREROS GOMEZ,PARTIDO CAMBIO RADICAL,33379
Concejo,CUNDINAMARCA,PULI,EDWAR ESNEIDER GIL ,PARTIDO CAMBIO RADICAL,33375
Concejo,CUNDINAMARCA,PULI,EDWIN FERNANDO GOMEZ ESPITIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117843
Concejo,CUNDINAMARCA,PULI,EMILCE  CARDOZO MONSALVE,PARTIDO CENTRO DEMOCRATICO,33366
Concejo,CUNDINAMARCA,PULI,ERLY PIEDAD BRIÑEZ TIBAGUY,PARTIDO CAMBIO RADICAL,33376
Concejo,CUNDINAMARCA,PULI,FABIO  CHARRY ROJAS,PARTIDO ALIANZA VERDE,33383
Concejo,CUNDINAMARCA,PULI,GEYDI ISABEL MOLANO PIEDRAHITA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33395
Concejo,CUNDINAMARCA,PULI,GILBERTO  AMAYA AMAYA,PARTIDO CONSERVADOR COLOMBIANO,33367
Concejo,CUNDINAMARCA,PULI,HUGO HERNAN LOZANO SERRATO,PARTIDO CENTRO DEMOCRATICO,33363
Concejo,CUNDINAMARCA,PULI,JAIRO  ROMERO ROMERO,PARTIDO CONSERVADOR COLOMBIANO,33369
Concejo,CUNDINAMARCA,PULI,JEISSON ARLES VERA DIAZ,PARTIDO ALIANZA VERDE,33381
Concejo,CUNDINAMARCA,PULI,JESUS HERNANDO VALERO RICO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33394
Concejo,CUNDINAMARCA,PULI,JONN LEOPOLDO AVILA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33393
Concejo,CUNDINAMARCA,PULI,JORGE HERNAN SALAZAR GORDILLO,PARTIDO CENTRO DEMOCRATICO,33360
Concejo,CUNDINAMARCA,PULI,JOSE ALBEIRO CHARRY TRUJILLO,PARTIDO CENTRO DEMOCRATICO,33364
Concejo,CUNDINAMARCA,PULI,JOSE EIMAR GARCIA BELTRAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33396
Concejo,CUNDINAMARCA,PULI,JUAN CARLOS SANCHEZ ,PARTIDO CAMBIO RADICAL,33374
Concejo,CUNDINAMARCA,PULI,JUDITH  CASTIBLANCO CHAVEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33387
Concejo,CUNDINAMARCA,PULI,JULIO ALBERTO RAMOS GUZMAN,PARTIDO CENTRO DEMOCRATICO,33361
Concejo,CUNDINAMARCA,PULI,LIZ YISEL DIAZ VERA,PARTIDO CAMBIO RADICAL,33377
Concejo,CUNDINAMARCA,PULI,LUIS FELIPE PARADA ,PARTIDO CONSERVADOR COLOMBIANO,33372
Concejo,CUNDINAMARCA,PULI,LUZ AMPARO VARGAS SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,33371
Concejo,CUNDINAMARCA,PULI,MANUEL IGNACIO BOLIVAR RICO,PARTIDO CAMBIO RADICAL,33373
Concejo,CUNDINAMARCA,PULI,MANUEL VICENTE RODRIGUEZ DELGADO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33386
Concejo,CUNDINAMARCA,PULI,MARIA ISABEL GARZON DANIEL,PARTIDO ALIANZA VERDE,33382
Concejo,CUNDINAMARCA,PULI,OSCAR ANDRES HOYOS RICO,PARTIDO ALIANZA VERDE,33380
Concejo,CUNDINAMARCA,PULI,PARMENIO  GARZON GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33390
Concejo,CUNDINAMARCA,PULI,RUBEN DARIO FERNANDEZ BAUTISTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33391
Concejo,CUNDINAMARCA,PULI,SANDRA JANNETH CASTILLO RINCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33392
Concejo,CUNDINAMARCA,PULI,VICTOR MANUEL FERNANDEZ GUZMAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33385
Concejo,CUNDINAMARCA,PULI,YENNY PATRICIA SILVA SARMIENTO,PARTIDO CENTRO DEMOCRATICO,33362
