corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,SAN CAYETANO,ALVARO ANTONIO SANCHEZ RIOS,PARTIDO CAMBIO RADICAL,33912
Concejo,CUNDINAMARCA,SAN CAYETANO,AURORA DEL CARMEN PALACIOS BALLESTEROS,PARTIDO CONSERVADOR COLOMBIANO,33907
Concejo,CUNDINAMARCA,SAN CAYETANO,CLARA YOLANDA COLMENARES ROCHA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33930
Concejo,CUNDINAMARCA,SAN CAYETANO,CLAUDIA CENAIDA FRESNEDA CASTAÑEDA,PARTIDO ALIANZA VERDE,33921
Concejo,CUNDINAMARCA,SAN CAYETANO,CLEIDY YOHANA GOMEZ PINILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33928
Concejo,CUNDINAMARCA,SAN CAYETANO,EDELMIRA  VANEGAS SALCEDO,PARTIDO CAMBIO RADICAL,33914
Concejo,CUNDINAMARCA,SAN CAYETANO,EDUYN AMILKAR CASTRO PRADA,PARTIDO ALIANZA VERDE,33923
Concejo,CUNDINAMARCA,SAN CAYETANO,ENUS ORLANDO AMAYA VELASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33931
Concejo,CUNDINAMARCA,SAN CAYETANO,ERIKA ALEJANDRA ALARCON PANCHE,PARTIDO CAMBIO RADICAL,33917
Concejo,CUNDINAMARCA,SAN CAYETANO,FAVIO  CONTRERAS CASTIBLANCO,PARTIDO ALIANZA VERDE,33924
Concejo,CUNDINAMARCA,SAN CAYETANO,HENRY  ARDILA FRANCO,PARTIDO CONSERVADOR COLOMBIANO,33909
Concejo,CUNDINAMARCA,SAN CAYETANO,HERNAN  SANTANA PACHON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33929
Concejo,CUNDINAMARCA,SAN CAYETANO,HUMBERTO  CEDIEL GOMEZ,PARTIDO ALIANZA VERDE,33920
Concejo,CUNDINAMARCA,SAN CAYETANO,ITALO JAVIER EDUARDO RIOS CIFUENTES,PARTIDO CONSERVADOR COLOMBIANO,33906
Concejo,CUNDINAMARCA,SAN CAYETANO,JAIRO  MARTINEZ VARGAS,PARTIDO ALIANZA VERDE,33919
Concejo,CUNDINAMARCA,SAN CAYETANO,JAIRO ALEXANDER HERNANDEZ BUSTOS,PARTIDO CONSERVADOR COLOMBIANO,33904
Concejo,CUNDINAMARCA,SAN CAYETANO,JOHN CARLOS ROJAS RIVEROS,PARTIDO CAMBIO RADICAL,33918
Concejo,CUNDINAMARCA,SAN CAYETANO,JORGE ADELMO SANTANA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33926
Concejo,CUNDINAMARCA,SAN CAYETANO,LIBARDO  CASTAÑEDA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33925
Concejo,CUNDINAMARCA,SAN CAYETANO,LIBARDO  ORTIZ ALARCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33927
Concejo,CUNDINAMARCA,SAN CAYETANO,LINA SOLEIMY GOMEZ REDONDO,PARTIDO ALIANZA VERDE,33922
Concejo,CUNDINAMARCA,SAN CAYETANO,LUBIN ALFONSO MONTANO SANDOVAL,PARTIDO CAMBIO RADICAL,33910
Concejo,CUNDINAMARCA,SAN CAYETANO,LUIS ERNESTO BARACALDO PIÑEROS,PARTIDO CONSERVADOR COLOMBIANO,33905
Concejo,CUNDINAMARCA,SAN CAYETANO,LUZ YANETH PEÑA RODRIGUEZ,PARTIDO CAMBIO RADICAL,33915
Concejo,CUNDINAMARCA,SAN CAYETANO,NANCY  RODRIGUEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,33916
Concejo,CUNDINAMARCA,SAN CAYETANO,NOHORA SIRLEY PACHON PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,33932
Concejo,CUNDINAMARCA,SAN CAYETANO,PATRICIA ALEXANDRA VARGAS BENITEZ,PARTIDO CONSERVADOR COLOMBIANO,33908
Concejo,CUNDINAMARCA,SAN CAYETANO,RODRIGO  NIÑO WILCHEZ,PARTIDO CAMBIO RADICAL,33913
Concejo,CUNDINAMARCA,SAN CAYETANO,YEISON ALFONSO MOLINA SIERRA,PARTIDO CAMBIO RADICAL,33911
