corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,SAN FRANCISCO,ABELARDO  OLAYA GARZON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33984
Concejo,CUNDINAMARCA,SAN FRANCISCO,ADRIANA YANETH CASTAÑO VALLEJO,PARTIDO CAMBIO RADICAL,33970
Concejo,CUNDINAMARCA,SAN FRANCISCO,ALEXANDER  GUEVARA CHALA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,33991
Concejo,CUNDINAMARCA,SAN FRANCISCO,ALICIA EDITH SANCHEZ BOHORQUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33983
Concejo,CUNDINAMARCA,SAN FRANCISCO,ANA GRACIELA RODRIGUEZ SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,33941
Concejo,CUNDINAMARCA,SAN FRANCISCO,ANA MARIA ACOSTA FORERO,PARTIDO ALIANZA VERDE,33977
Concejo,CUNDINAMARCA,SAN FRANCISCO,ANDRES CAMILO ROJAS GUTIERREZ,PARTIDO ALIANZA VERDE,33972
Concejo,CUNDINAMARCA,SAN FRANCISCO,ANDRES IGNACIO VILLAMIL ROBAYO,PARTIDO CENTRO DEMOCRATICO,33933
Concejo,CUNDINAMARCA,SAN FRANCISCO,ARMANDO  RAMIREZ HERNANDEZ,PARTIDO CAMBIO RADICAL,33964
Concejo,CUNDINAMARCA,SAN FRANCISCO,CAMILO EDUARDO BAUTISTA LEON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,33943
Concejo,CUNDINAMARCA,SAN FRANCISCO,CAROLINA  CONTRERAS ,PARTIDO CENTRO DEMOCRATICO,33936
Concejo,CUNDINAMARCA,SAN FRANCISCO,CLARA INES PINZON MARTINEZ,PARTIDO ALIANZA VERDE,33973
Concejo,CUNDINAMARCA,SAN FRANCISCO,DANIEL FELIPE MURILLO AVENDAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,33939
Concejo,CUNDINAMARCA,SAN FRANCISCO,DAVID JULIAN ROJAS FRANCO,PARTIDO CONSERVADOR COLOMBIANO,33962
Concejo,CUNDINAMARCA,SAN FRANCISCO,DERLY CECILIA LEON LOPEZ,PARTIDO ADA,33946
Concejo,CUNDINAMARCA,SAN FRANCISCO,DIANA CAROLINA SANCHEZ PRIETO,PARTIDO ADA,33950
Concejo,CUNDINAMARCA,SAN FRANCISCO,EDISON FABIAN MARIN TRIANA,PARTIDO ADA,33952
Concejo,CUNDINAMARCA,SAN FRANCISCO,ELIBARDO  ACERO ALVARADO,PARTIDO CONSERVADOR COLOMBIANO,33954
Concejo,CUNDINAMARCA,SAN FRANCISCO,ELMER JULIAN GARZON BARRERA,PARTIDO ADA,33953
Concejo,CUNDINAMARCA,SAN FRANCISCO,ERIBERTO  FAJARDO GAMBA,PARTIDO ADA,33951
Concejo,CUNDINAMARCA,SAN FRANCISCO,FABIAN NELSON BERNAL CARDENAS,PARTIDO CONSERVADOR COLOMBIANO,33960
Concejo,CUNDINAMARCA,SAN FRANCISCO,FABIO EDUARDO VELANDIA HERNANDEZ,PARTIDO ADA,33945
Concejo,CUNDINAMARCA,SAN FRANCISCO,FELIPE NICANOR OSTOS ALBA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,33987
Concejo,CUNDINAMARCA,SAN FRANCISCO,FLOR MARIA GARZON VEGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,33995
Concejo,CUNDINAMARCA,SAN FRANCISCO,FREDY ALEXANDER DIAZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,34003
Concejo,CUNDINAMARCA,SAN FRANCISCO,GLORIA  DELGADO GUZMAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,33990
