corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,SOPO,ADELA  SARMIENTO RINCON,PARTIDO LIBERAL COLOMBIANO,34864
Concejo,CUNDINAMARCA,SOPO,ADRIANA MARCELA RODRIGUEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,34939
Concejo,CUNDINAMARCA,SOPO,ALBA CECILIA ROZO DE FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,34988
Concejo,CUNDINAMARCA,SOPO,ALBA LUZ RAMIREZ PEÑA,COALICION SOPO,35000
Concejo,CUNDINAMARCA,SOPO,ALBA MILENA ALFONSO GARZON,PARTIDO ALIANZA VERDE,34948
Concejo,CUNDINAMARCA,SOPO,AMANDA  HOYOS LONDOÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,34978
Concejo,CUNDINAMARCA,SOPO,ANA ADRIANA SANCHEZ GARNICA,PARTIDO CONSERVADOR COLOMBIANO,34927
Concejo,CUNDINAMARCA,SOPO,ANDREA CAROLINA FERNANDEZ PINEDA,PARTIDO CAMBIO RADICAL,34932
Concejo,CUNDINAMARCA,SOPO,ANDRES FELIPE PARRAGA TORRES,PARTIDO CENTRO DEMOCRATICO,34877
Concejo,CUNDINAMARCA,SOPO,ANGELA  RAMIREZ CARRANZA,PARTIDO COLOMBIA RENACIENTE,34913
Concejo,CUNDINAMARCA,SOPO,ANGIE VALERIA DURAN PRIETO,PARTIDO COLOMBIA RENACIENTE,34909
Concejo,CUNDINAMARCA,SOPO,BEATRIZ STELLA VILLAMIZAR MUJICA,PARTIDO POLITICO MIRA,34982
Concejo,CUNDINAMARCA,SOPO,BENITO  LARA MANCERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,34985
Concejo,CUNDINAMARCA,SOPO,BRAHYAM RICARDO MALDONADO IBAGUE,PARTIDO POLITICO MIRA,34981
Concejo,CUNDINAMARCA,SOPO,BRAYAN FELIPE POVEDA RUEDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,34958
Concejo,CUNDINAMARCA,SOPO,CARLOS EDUARDO ROMERO VASQUEZ,PARTIDO CAMBIO RADICAL,34934
Concejo,CUNDINAMARCA,SOPO,CELINA  LIMAS PULIDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34898
Concejo,CUNDINAMARCA,SOPO,CESAR AUGUSTO HILARION GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34889
Concejo,CUNDINAMARCA,SOPO,CIELO ADRIANA CAMACHO GONZALEZ,PARTIDO LIBERAL COLOMBIANO,34868
Concejo,CUNDINAMARCA,SOPO,CILIA AZUCENA GUIO ESPITIA,PARTIDO COLOMBIA RENACIENTE,34911
Concejo,CUNDINAMARCA,SOPO,CLAUDIA IBETH GOMEZ MAHECHA,COALICION SOPO,35003
Concejo,CUNDINAMARCA,SOPO,CLAUDIA VIVIANA PRIETO JOYA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,34959
Concejo,CUNDINAMARCA,SOPO,CRISTHIAN  PEÑA CASTILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34891
Concejo,CUNDINAMARCA,SOPO,CRISTIAN FELIPE BERMUDEZ VELASQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,34972
Concejo,CUNDINAMARCA,SOPO,CRISTIAN FERNANDO AVELLANEDA COLMENARES,PARTIDO CENTRO DEMOCRATICO,34882
Concejo,CUNDINAMARCA,SOPO,DANIEL  VARGAS IBARRA,PARTIDO POLITICO MIRA,34979
Concejo,CUNDINAMARCA,SOPO,DANIEL ARTURO CARDENAS DIAZ,PARTIDO ALIANZA VERDE,34946
Concejo,CUNDINAMARCA,SOPO,DAVID  MEDINA SACHICA,PARTIDO CENTRO DEMOCRATICO,34883
Concejo,CUNDINAMARCA,SOPO,DIANA MARCELA JIMENEZ JOYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34900
Concejo,CUNDINAMARCA,SOPO,DIANA MARCELA MARTINEZ PULGAR,COALICION SOPO,35004
Concejo,CUNDINAMARCA,SOPO,DIANA NATALY PARAMO LINAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,34989
Concejo,CUNDINAMARCA,SOPO,DIEGO ANDRES ACOSTA GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,34954
Concejo,CUNDINAMARCA,SOPO,EDGARDO  CHAVES BAUTISTA,PARTIDO ALIANZA VERDE,34944
Concejo,CUNDINAMARCA,SOPO,EDUAR FERNEY FIGUEREDO SUAREZ,COALICION SOPO,34998
Concejo,CUNDINAMARCA,SOPO,EDUARDO  FLAUTERO PADILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,34991
Concejo,CUNDINAMARCA,SOPO,ELKIN ANDRES MUÑOZ VALBUENA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34896
Concejo,CUNDINAMARCA,SOPO,EMILDA MARIA PARDO DUARTE,PARTIDO CONSERVADOR COLOMBIANO,34926
Concejo,CUNDINAMARCA,SOPO,EMILIANO  ALMECIGA NIVIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,34967
Concejo,CUNDINAMARCA,SOPO,ERWIN DIOVAN FORERO PRIETO,PARTIDO CENTRO DEMOCRATICO,34879
Concejo,CUNDINAMARCA,SOPO,FABIO  PINZON RODRIGUEZ,COALICION SOPO,34999
Concejo,CUNDINAMARCA,SOPO,FABIO  RINCON GUEVARA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,34964
Concejo,CUNDINAMARCA,SOPO,FRANKIL ROBERTO RODRIGUEZ LOMBANA,PARTIDO LIBERAL COLOMBIANO,34872
Concejo,CUNDINAMARCA,SOPO,GLADYS EDID DIAZ AMAYA,PARTIDO CAMBIO RADICAL,34937
Concejo,CUNDINAMARCA,SOPO,GLADYS ISABEL CHUNZA GALVIS,PARTIDO CAMBIO RADICAL,34930
Concejo,CUNDINAMARCA,SOPO,GLADYS MILEIDY GARCIA MORA,COALICION SOPO,35005
Concejo,CUNDINAMARCA,SOPO,GLORIA CECILIA RODRIGUEZ TOVAR,PARTIDO CONSERVADOR COLOMBIANO,34923
Concejo,CUNDINAMARCA,SOPO,GLORIA CONSUELO ACERO SUAREZ,PARTIDO POLITICO MIRA,34980
Concejo,CUNDINAMARCA,SOPO,GLORIA LILIANA CHALA URREGO,COALICION SOPO,35006
Concejo,CUNDINAMARCA,SOPO,GLORIA STELLA SANTIZ RODRIGUEZ,COALICION SOPO,34995
Concejo,CUNDINAMARCA,SOPO,GONZALO  ESTEPA CUBAQUE,PARTIDO CAMBIO RADICAL,34933
Concejo,CUNDINAMARCA,SOPO,GONZALO MAURICIO RODRIGUEZ ACUÑA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,34977
Concejo,CUNDINAMARCA,SOPO,GRACIELA  TORRES ABRIL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,34957
Concejo,CUNDINAMARCA,SOPO,GUSTAVO ADOLFO SANCHEZ LLANOS,PARTIDO LIBERAL COLOMBIANO,34867
Concejo,CUNDINAMARCA,SOPO,HEBER YIMI RODRIGUEZ AVELLANEDA,PARTIDO ALIANZA VERDE,34950
Concejo,CUNDINAMARCA,SOPO,HELBER ENRIQUE VALLEJO GAMBOA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34890
Concejo,CUNDINAMARCA,SOPO,HENRY  GOMEZ BARAHONA,PARTIDO ALIANZA VERDE,34947
Concejo,CUNDINAMARCA,SOPO,HERNAN MANUEL ROBAYO AVILA,PARTIDO LIBERAL COLOMBIANO,34866
Concejo,CUNDINAMARCA,SOPO,HUGO  RAMIREZ LOPEZ,PARTIDO COLOMBIA RENACIENTE,34906
Concejo,CUNDINAMARCA,SOPO,IGNACIO ALFREDO RODRIGUEZ LARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,34895
Concejo,CUNDINAMARCA,SOPO,INGRID ESTEFANIA RODRIGUEZ FORERO,PARTIDO ALIANZA VERDE,34945
Concejo,CUNDINAMARCA,SOPO,IVAN GIOVANNY JUNCA MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,34974
