corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,SUBACHOQUE,AIDA INES MORENO SANTAMARIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35057
Concejo,CUNDINAMARCA,SUBACHOQUE,ANA BEATRIZ RINCON TORRES,SUBACHOQUE SIEMPRE SEGURO,35067
Concejo,CUNDINAMARCA,SUBACHOQUE,ANDRES  GAITAN LUQUE,PARTIDO ALIANZA VERDE,35047
Concejo,CUNDINAMARCA,SUBACHOQUE,ANGELICA MARIA JIMENEZ ACERO,PARTIDO CAMBIO RADICAL,35030
Concejo,CUNDINAMARCA,SUBACHOQUE,ARIOSTO  MORENO RICO,PARTIDO LIBERAL COLOMBIANO,35010
Concejo,CUNDINAMARCA,SUBACHOQUE,CAMILO ANDRES SASTOQUE CAÑON,PARTIDO ALIANZA VERDE,35042
Concejo,CUNDINAMARCA,SUBACHOQUE,CARLOS ADOLFO MARIN CORTES,SUBACHOQUE SIEMPRE SEGURO,35063
Concejo,CUNDINAMARCA,SUBACHOQUE,CARLOS CELIANO CHAVES RAMIREZ,SUBACHOQUE SIEMPRE SEGURO,35059
Concejo,CUNDINAMARCA,SUBACHOQUE,CARLOS JULIO PRIETO CEDIEL,PARTIDO CAMBIO RADICAL,35037
Concejo,CUNDINAMARCA,SUBACHOQUE,CELIANO  JIMENEZ ALEMAN,PARTIDO ALIANZA VERDE,35046
Concejo,CUNDINAMARCA,SUBACHOQUE,CRISTIAN EDUARDO ESTUPIÑAN MORENO,SUBACHOQUE SIEMPRE SEGURO,35061
Concejo,CUNDINAMARCA,SUBACHOQUE,DAYRA JULIETH ROJAS SALAMANCA,PARTIDO LIBERAL COLOMBIANO,35008
Concejo,CUNDINAMARCA,SUBACHOQUE,EDUARDO  MONTAÑO SALAMANCA,PARTIDO CAMBIO RADICAL,35032
Concejo,CUNDINAMARCA,SUBACHOQUE,ENRIQUE JUAN DE JESUS CORTES MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35053
Concejo,CUNDINAMARCA,SUBACHOQUE,FABIO ALONSO HERNANDEZ GONZALEZ,PARTIDO ALIANZA VERDE,35041
Concejo,CUNDINAMARCA,SUBACHOQUE,GABRIEL  ROBAYO MORALES,PARTIDO CONSERVADOR COLOMBIANO,35023
Concejo,CUNDINAMARCA,SUBACHOQUE,HECTOR BERCELIO ALARCON GOMEZ,SUBACHOQUE SIEMPRE SEGURO,35060
Concejo,CUNDINAMARCA,SUBACHOQUE,HECTOR FERNANDO PINZON HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,35014
Concejo,CUNDINAMARCA,SUBACHOQUE,INGRID JULIANA SANCHEZ SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35054
Concejo,CUNDINAMARCA,SUBACHOQUE,IVAN YESID HERNANDEZ ACERO,PARTIDO LIBERAL COLOMBIANO,35017
Concejo,CUNDINAMARCA,SUBACHOQUE,JAIRO  ROCHA OVALLE,PARTIDO CONSERVADOR COLOMBIANO,35025
Concejo,CUNDINAMARCA,SUBACHOQUE,JAVIER ALBEIRO VARGAS GIL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35051
Concejo,CUNDINAMARCA,SUBACHOQUE,JESUS ALBERTO CABRERA NIÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35052
Concejo,CUNDINAMARCA,SUBACHOQUE,JESUS MARIA RODRIGUEZ MONTAÑO,PARTIDO CONSERVADOR COLOMBIANO,35021
Concejo,CUNDINAMARCA,SUBACHOQUE,JORGE ALBERTO MUÑOZ GAITAN,PARTIDO ALIANZA VERDE,35040
Concejo,CUNDINAMARCA,SUBACHOQUE,JORGE ERNESTO LOGREIRA GOMEZ,SUBACHOQUE SIEMPRE SEGURO,35065
Concejo,CUNDINAMARCA,SUBACHOQUE,JOSE ADEODATO CRUZ MENDIVELSO,PARTIDO CAMBIO RADICAL,35036
Concejo,CUNDINAMARCA,SUBACHOQUE,JOSE LISANDRO TOVAR LOPEZ,PARTIDO CAMBIO RADICAL,35034
Concejo,CUNDINAMARCA,SUBACHOQUE,JOSE NICOLAS GONZALEZ LAVERDE,SUBACHOQUE SIEMPRE SEGURO,35062
Concejo,CUNDINAMARCA,SUBACHOQUE,JUAN PABLO RUIZ GACHANCIPA,PARTIDO LIBERAL COLOMBIANO,35009
Concejo,CUNDINAMARCA,SUBACHOQUE,JULIAN DAVID DELGADO BONILLA,PARTIDO LIBERAL COLOMBIANO,35013
