corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,SUSA,ADRIAN MAURICIO HURTADO MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35243
Concejo,CUNDINAMARCA,SUSA,ANA CLARA ROCIO GALEANO SANTANA,PARTIDO CAMBIO RADICAL,35224
Concejo,CUNDINAMARCA,SUSA,ANA INES COCA MOLINA,PARTIDO LIBERAL COLOMBIANO,35195
Concejo,CUNDINAMARCA,SUSA,ANA ISABEL MARTINEZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,35197
Concejo,CUNDINAMARCA,SUSA,ANGIE YADIRA GUZMAN GUERRERO,PARTIDO CAMBIO RADICAL,35221
Concejo,CUNDINAMARCA,SUSA,ASLI DAYANA PULIDO GUILLERMO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35239
Concejo,CUNDINAMARCA,SUSA,AURA LIGIA SANCHEZ PEÑA,PARTIDO CONSERVADOR COLOMBIANO,35209
Concejo,CUNDINAMARCA,SUSA,BLANCA MERY AGUILAR FUQUENE,PARTIDO CENTRO DEMOCRATICO,35208
Concejo,CUNDINAMARCA,SUSA,CARLOS EDUARDO COCA ARDILA,PARTIDO CAMBIO RADICAL,35223
Concejo,CUNDINAMARCA,SUSA,CARLOS EDUARDO GERENA CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35235
Concejo,CUNDINAMARCA,SUSA,CARLOS EDUARDO MORENO ROBAYO,PARTIDO ALIANZA VERDE,35234
Concejo,CUNDINAMARCA,SUSA,CARLOS EDUARDO MOYA ALARCON,PARTIDO LIBERAL COLOMBIANO,35198
Concejo,CUNDINAMARCA,SUSA,CESAR ARTURO CASTELLANOS BEDOYA,PARTIDO CENTRO DEMOCRATICO,35202
Concejo,CUNDINAMARCA,SUSA,CLAUDIA FRANCY MORA MEJIA,PARTIDO ALIANZA VERDE,35232
Concejo,CUNDINAMARCA,SUSA,CLAUDIA MARIA ROBAYO ROBAYO,PARTIDO ALIANZA VERDE,35229
Concejo,CUNDINAMARCA,SUSA,DANILO ANTONIO ARDILA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,35211
Concejo,CUNDINAMARCA,SUSA,DELIO  SALCEDO ROBLES,PARTIDO CAMBIO RADICAL,35225
Concejo,CUNDINAMARCA,SUSA,DIEGO  MARTINEZ FUQUENE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35242
Concejo,CUNDINAMARCA,SUSA,EDGAR  ACOSTA CORTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35236
Concejo,CUNDINAMARCA,SUSA,EDGAR HUMBERTO ROBAYO GERENA,PARTIDO LIBERAL COLOMBIANO,35196
Concejo,CUNDINAMARCA,SUSA,ERIKA JULIETH PINEDA SORIANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35241
Concejo,CUNDINAMARCA,SUSA,FERNANDO ALFREDO PAEZ BALLEN,PARTIDO CONSERVADOR COLOMBIANO,35210
