corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,TIBIRITA,ANA CECILIA VIVAS RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,35729
Concejo,CUNDINAMARCA,TIBIRITA,ANA PIEDAD MONTENEGRO DE HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,35723
Concejo,CUNDINAMARCA,TIBIRITA,ANA ROSA MONTENEGRO CARRANZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35746
Concejo,CUNDINAMARCA,TIBIRITA,CARLOS ARTURO LEIVA PERILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35745
Concejo,CUNDINAMARCA,TIBIRITA,CESAR OVIDIO SALAS MORENO,PARTIDO CONSERVADOR COLOMBIANO,35734
Concejo,CUNDINAMARCA,TIBIRITA,CLAUDIA GRACIELA GONZALEZ GUTIERREZ,PARTIDO CAMBIO RADICAL,35738
Concejo,CUNDINAMARCA,TIBIRITA,DANIEL  MUNAR MUNAR,PARTIDO CONSERVADOR COLOMBIANO,35730
Concejo,CUNDINAMARCA,TIBIRITA,DIANA PATRICIA VALERO ALDANA,PARTIDO LIBERAL COLOMBIANO,35720
Concejo,CUNDINAMARCA,TIBIRITA,EVA MARCELA ROJAS MATEUS,PARTIDO CONSERVADOR COLOMBIANO,35731
Concejo,CUNDINAMARCA,TIBIRITA,HECTOR JULIO MARIN RUBIANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35743
Concejo,CUNDINAMARCA,TIBIRITA,IVAN  SALAS PATIÑO,PARTIDO LIBERAL COLOMBIANO,35719
Concejo,CUNDINAMARCA,TIBIRITA,JAIRO MARIA SALAS JIMENEZ,PARTIDO LIBERAL COLOMBIANO,35718
Concejo,CUNDINAMARCA,TIBIRITA,JESUS ORLANDO GONGORA CORTES,PARTIDO CENTRO DEMOCRATICO,35721
Concejo,CUNDINAMARCA,TIBIRITA,JOSE ALIRIO VIVAS TORRES,PARTIDO CAMBIO RADICAL,35737
Concejo,CUNDINAMARCA,TIBIRITA,JOSE ARISTIDES MELGAREJO AREVALO,PARTIDO CENTRO DEMOCRATICO,35722
Concejo,CUNDINAMARCA,TIBIRITA,LUIS FERNANDO ROA AREVALO,PARTIDO LIBERAL COLOMBIANO,35715
Concejo,CUNDINAMARCA,TIBIRITA,LUIS GILBERTO CARVAJAL JIMENEZ,PARTIDO CENTRO DEMOCRATICO,35725
Concejo,CUNDINAMARCA,TIBIRITA,NEIDY VIVIANA LEURO MORENO,PARTIDO CONSERVADOR COLOMBIANO,35732
Concejo,CUNDINAMARCA,TIBIRITA,NIXON YESID MORENO GARCIA,PARTIDO CAMBIO RADICAL,35736
Concejo,CUNDINAMARCA,TIBIRITA,PEDRO ANTONIO MEJIA CASTRO,PARTIDO COLOMBIA RENACIENTE,35728
Concejo,CUNDINAMARCA,TIBIRITA,RAFAEL ANTONIO CALDERON RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35744
Concejo,CUNDINAMARCA,TIBIRITA,ROSA HERMINDA ALDANA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,35717
Concejo,CUNDINAMARCA,TIBIRITA,RUBIEL ANGEL ZAMORA CARRANZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35742
Concejo,CUNDINAMARCA,TIBIRITA,SANDRO JAVIER ROMERO ,PARTIDO CAMBIO RADICAL,35741
Concejo,CUNDINAMARCA,TIBIRITA,SANTIAGO  HUERTAS GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,35735
Concejo,CUNDINAMARCA,TIBIRITA,SEBASTIAN FELIPE ROBLES VIVAS,PARTIDO LIBERAL COLOMBIANO,35716
Concejo,CUNDINAMARCA,TIBIRITA,TERESA  GUERRERO MORENO,PARTIDO COLOMBIA RENACIENTE,35726
Concejo,CUNDINAMARCA,TIBIRITA,URIEL MARIA VIVAS MELGAREJO,PARTIDO CAMBIO RADICAL,35739
Concejo,CUNDINAMARCA,TIBIRITA,VERONICA  BERMUDEZ BERMUDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35747
Concejo,CUNDINAMARCA,TIBIRITA,VICTOR MANUEL MEDINA VARGAS,PARTIDO CONSERVADOR COLOMBIANO,35733
Concejo,CUNDINAMARCA,TIBIRITA,YANCIRA  MORENO MAHECHA,PARTIDO CENTRO DEMOCRATICO,35724
Concejo,CUNDINAMARCA,TIBIRITA,YEINZON  MARIN VILLALOBOS,PARTIDO COLOMBIA RENACIENTE,35727
Concejo,CUNDINAMARCA,TIBIRITA,YULI YESENIA DUARTE ,PARTIDO CAMBIO RADICAL,35740
