corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,TOCAIMA,ADRIANA MARIA MOLANO MEDINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35825
Concejo,CUNDINAMARCA,TOCAIMA,ALEXANDER  RODRIGUEZ AMPIQUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35770
Concejo,CUNDINAMARCA,TOCAIMA,ANA DEICY SANCHEZ FONSECA,PARTIDO CAMBIO RADICAL,35796
Concejo,CUNDINAMARCA,TOCAIMA,ANDREA JEANNETTE CALDERON MENDEZ,PARTIDO ALIANZA VERDE,35807
Concejo,CUNDINAMARCA,TOCAIMA,ANDRES LEONARDO MORA PINEDA,PARTIDO CAMBIO RADICAL,35788
Concejo,CUNDINAMARCA,TOCAIMA,ANDRES LEONARDO PUENTES HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,35759
Concejo,CUNDINAMARCA,TOCAIMA,AUGUSTO FRANCISCO ALARCON LINARES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35831
Concejo,CUNDINAMARCA,TOCAIMA,BENITO  SEPULVEDA RINCON,PARTIDO COLOMBIA JUSTA LIBRES,35782
Concejo,CUNDINAMARCA,TOCAIMA,BLANCA LILIA RODRIGUEZ CASTILLO,PARTIDO LIBERAL COLOMBIANO,35749
Concejo,CUNDINAMARCA,TOCAIMA,BRAYAN DUVAN SERNA FONSECA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35775
Concejo,CUNDINAMARCA,TOCAIMA,CAMILO  ORTIZ CORREA,PARTIDO LIBERAL COLOMBIANO,117849
Concejo,CUNDINAMARCA,TOCAIMA,CARLA MARIAJOSE BONILLA RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35813
Concejo,CUNDINAMARCA,TOCAIMA,CARLOS ALFREDO TOVAR RUBIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35822
Concejo,CUNDINAMARCA,TOCAIMA,CARLOS ANDRES CUERVO ZARATE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35819
Concejo,CUNDINAMARCA,TOCAIMA,CARLOS CESAR REYES SOTO,PARTIDO ALIANZA VERDE,35806
Concejo,CUNDINAMARCA,TOCAIMA,CARLOS FERNANDO CAMACHO RUBIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35832
Concejo,CUNDINAMARCA,TOCAIMA,CARLOS JULIO VERA JEREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35809
Concejo,CUNDINAMARCA,TOCAIMA,CAROLINA  REINOSO MORA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35827
Concejo,CUNDINAMARCA,TOCAIMA,CIRO ALFONSO SEGURA RINCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35821
Concejo,CUNDINAMARCA,TOCAIMA,CONSUELO CECILIA LOPEZ ORTIZ,PARTIDO ALIANZA VERDE,35805
Concejo,CUNDINAMARCA,TOCAIMA,CRISTIAN LEONARDO CAMARGO BERDUGO,PARTIDO CENTRO DEMOCRATICO,35763
Concejo,CUNDINAMARCA,TOCAIMA,DIANA YAMILE MORENO SAAVEDRA,PARTIDO LIBERAL COLOMBIANO,35757
Concejo,CUNDINAMARCA,TOCAIMA,DIVER ANTONIO MEJIA PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35829
Concejo,CUNDINAMARCA,TOCAIMA,DORIS LILIANA VALDERRAMA LONDOÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35777
Concejo,CUNDINAMARCA,TOCAIMA,DUVAN ANDRES MARTINEZ FORERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35810
Concejo,CUNDINAMARCA,TOCAIMA,EDGAR ANDRES BERNAL MUÑOZ,PARTIDO CAMBIO RADICAL,35789
Concejo,CUNDINAMARCA,TOCAIMA,ELIAS  NIÑO TORRES,PARTIDO CENTRO DEMOCRATICO,35762
Concejo,CUNDINAMARCA,TOCAIMA,FERNANDO  BARRAGAN QUIJANO,PARTIDO LIBERAL COLOMBIANO,35753
Concejo,CUNDINAMARCA,TOCAIMA,FERNEY  GONGORA CALDAS,PARTIDO CAMBIO RADICAL,35794
Concejo,CUNDINAMARCA,TOCAIMA,GLORIA ESPERANZA LOPEZ ORTIZ,PARTIDO CAMBIO RADICAL,35792
Concejo,CUNDINAMARCA,TOCAIMA,HAROLD WILSON RIVERA CHAVARRO,PARTIDO CENTRO DEMOCRATICO,35769
Concejo,CUNDINAMARCA,TOCAIMA,HERMINDA  CABALLERO PRIETO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35778
Concejo,CUNDINAMARCA,TOCAIMA,HERNAN DARIO MORENO CRUZ,PARTIDO LIBERAL COLOMBIANO,35756
Concejo,CUNDINAMARCA,TOCAIMA,HUGO ARCADIO DIAZ PALACIOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35773
Concejo,CUNDINAMARCA,TOCAIMA,ILDER JOSE DUARTE HERNANDEZ,PARTIDO ALIANZA VERDE,35804
Concejo,CUNDINAMARCA,TOCAIMA,JAIME ALFREDO PRIETO FORERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35812
Concejo,CUNDINAMARCA,TOCAIMA,JAIRO  CALDERON CALLEJAS,PARTIDO CAMBIO RADICAL,35795
Concejo,CUNDINAMARCA,TOCAIMA,JEIMMY JOHANA RODRIGUEZ RAMIREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35811
Concejo,CUNDINAMARCA,TOCAIMA,JHONATAN JAVIER MARTINEZ ,PARTIDO ALIANZA VERDE,35799
Concejo,CUNDINAMARCA,TOCAIMA,JORGE ALBERTO MUÑOZ ALFONSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35771
Concejo,CUNDINAMARCA,TOCAIMA,JORGE ALFREDO SANCHEZ PEÑALOZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,35824
Concejo,CUNDINAMARCA,TOCAIMA,JORGE LUIS CARDENAS SIERRA,PARTIDO CAMBIO RADICAL,35791
Concejo,CUNDINAMARCA,TOCAIMA,JORGE REYMI VIDALES ZAMORA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,35772
Concejo,CUNDINAMARCA,TOCAIMA,JOSE ALBERTO HERRERA ,PARTIDO ALIANZA VERDE,35802
Concejo,CUNDINAMARCA,TOCAIMA,JOSE ALONSO BARRIOS RAMIREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35817
Concejo,CUNDINAMARCA,TOCAIMA,JOSE ALVARO ISAACS ENCISO,PARTIDO COLOMBIA JUSTA LIBRES,35784
Concejo,CUNDINAMARCA,TOCAIMA,JOSE HONORIO IBAÑEZ BALLESTEROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35834
Concejo,CUNDINAMARCA,TOCAIMA,JUAN ANDRES IBARRA DONADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,35830
Concejo,CUNDINAMARCA,TOCAIMA,KAREN SOFIA MERCHAN ARIAS,PARTIDO COLOMBIA JUSTA LIBRES,35785
Concejo,CUNDINAMARCA,TOCAIMA,KENNY ANDERSON RIVERA JOVEN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,35815
Concejo,CUNDINAMARCA,TOCAIMA,LEONEL ALBERTO RODRIGUEZ RONCANCIO,PARTIDO COLOMBIA JUSTA LIBRES,35786
Concejo,CUNDINAMARCA,TOCAIMA,LEYBER ALEXANDER ANDRADE MARTINEZ,PARTIDO LIBERAL COLOMBIANO,35748
Concejo,CUNDINAMARCA,TOCAIMA,LUIS ANGEL SERRANO SIERRA,PARTIDO CENTRO DEMOCRATICO,35760
Concejo,CUNDINAMARCA,TOCAIMA,LUIS EDUARDO YELA PENAGOS,PARTIDO ALIANZA VERDE,35798
Concejo,CUNDINAMARCA,TOCAIMA,LUIS EMIR URUEÑA RAMIREZ,PARTIDO ALIANZA VERDE,35803
Concejo,CUNDINAMARCA,TOCAIMA,LUIS FERNANDO BARRAGAN CORREA,PARTIDO CENTRO DEMOCRATICO,35766
Concejo,CUNDINAMARCA,TOCAIMA,LUIS HERNANDO MAHECHA MARTINEZ,PARTIDO CENTRO DEMOCRATICO,35764
