corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,UBAQUE,ADRIANA MILENA AGUAS CASTELLANOS,PARTIDO CAMBIO RADICAL,36327
Concejo,CUNDINAMARCA,UBAQUE,AHIDA NELI CANDURI AGUIRRE,PARTIDO ALIANZA VERDE,36334
Concejo,CUNDINAMARCA,UBAQUE,ANA ENID PEREZ QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36364
Concejo,CUNDINAMARCA,UBAQUE,ANA GRACIELA REY GUTIERREZ,PARTIDO ADA,36310
Concejo,CUNDINAMARCA,UBAQUE,ANDRES  MORA SABOGAL,PARTIDO CAMBIO RADICAL,36328
Concejo,CUNDINAMARCA,UBAQUE,ANGELICA NATALY HERRERA BECERRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36340
Concejo,CUNDINAMARCA,UBAQUE,AURA RAQUEL MORA MORA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36351
Concejo,CUNDINAMARCA,UBAQUE,BENEDICTA  MATIAS ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36353
Concejo,CUNDINAMARCA,UBAQUE,CARLOS ABDON LAVADO CRUZ,PARTIDO CAMBIO RADICAL,36325
Concejo,CUNDINAMARCA,UBAQUE,CARLOS HUMBERTO RINCON PRIETO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36348
Concejo,CUNDINAMARCA,UBAQUE,CLARA MERCEDES CASTILLO DE HERRERA,PARTIDO CAMBIO RADICAL,36326
Concejo,CUNDINAMARCA,UBAQUE,CRISTIAN DAVID VELASQUEZ ANGEL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36342
Concejo,CUNDINAMARCA,UBAQUE,DAMARYS  CHACON BARRETO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36362
Concejo,CUNDINAMARCA,UBAQUE,DAVID FERNANDO VELASQUEZ RUIZ,PARTIDO LIBERAL COLOMBIANO,36297
Concejo,CUNDINAMARCA,UBAQUE,DIEGO FERNANDO ALVAREZ MORA,PARTIDO ADA,36311
Concejo,CUNDINAMARCA,UBAQUE,DORA CECILIA PASIVE PASIVE,PARTIDO CENTRO DEMOCRATICO,36301
Concejo,CUNDINAMARCA,UBAQUE,EDGAR ARNULFO VELANDIA AVILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36350
Concejo,CUNDINAMARCA,UBAQUE,EDUVIN JOSELIN SAGASTUY LADINO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36339
Concejo,CUNDINAMARCA,UBAQUE,EDWAR ANDRES MORA VANEGAS,PARTIDO CENTRO DEMOCRATICO,36304
Concejo,CUNDINAMARCA,UBAQUE,EDWIN ALFONSO CARRION VELASQUEZ,PARTIDO CAMBIO RADICAL,36322
Concejo,CUNDINAMARCA,UBAQUE,EFREN ADRIAN HERRERA DAZA,PARTIDO CENTRO DEMOCRATICO,36299
Concejo,CUNDINAMARCA,UBAQUE,FERNEY ROLANDO PARRADO MORA,PARTIDO CONSERVADOR COLOMBIANO,36320
Concejo,CUNDINAMARCA,UBAQUE,FLOR ANGELA SANCHEZ AVENDAÑO,PARTIDO CONSERVADOR COLOMBIANO,36317
Concejo,CUNDINAMARCA,UBAQUE,FLOR ZULAY RINCON BAQUERO,PARTIDO CONSERVADOR COLOMBIANO,36319
Concejo,CUNDINAMARCA,UBAQUE,GINNA MANYELY SANDOVAL SEDANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36344
Concejo,CUNDINAMARCA,UBAQUE,GINNA MARCELA QUINTERO PERILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36367
Concejo,CUNDINAMARCA,UBAQUE,GLORIA  ROMERO PEREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36346
Concejo,CUNDINAMARCA,UBAQUE,HAIR MAURICIO AGUDELO SARAY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,36349
Concejo,CUNDINAMARCA,UBAQUE,HECTOR ALFONSO HERRERA FUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36361
Concejo,CUNDINAMARCA,UBAQUE,HECTOR IVAN RUIZ MORA,PARTIDO LIBERAL COLOMBIANO,36294
Concejo,CUNDINAMARCA,UBAQUE,HECTOR WILLIAM VARELA AGUDELO,PARTIDO CENTRO DEMOCRATICO,36305
Concejo,CUNDINAMARCA,UBAQUE,HERNAN AUGUSTO VILLALOBOS CASTILLO,PARTIDO ADA,36306
Concejo,CUNDINAMARCA,UBAQUE,HERNAN OSWALDO MORA MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36363
Concejo,CUNDINAMARCA,UBAQUE,HERNANDO  SARAY BAQUERO,PARTIDO CONSERVADOR COLOMBIANO,36313
Concejo,CUNDINAMARCA,UBAQUE,HUMBERTO  VILLALOBOS HERRERA,PARTIDO ALIANZA VERDE,36331
Concejo,CUNDINAMARCA,UBAQUE,IVAN ALEJANDRO VANEGAS CRUZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36343
Concejo,CUNDINAMARCA,UBAQUE,JACQUELINE  SOLANO ZAMORA,PARTIDO POLITICO MIRA,36358
Concejo,CUNDINAMARCA,UBAQUE,JAIRO ARTURO CELEITA VARELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36359
