corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,UTICA,ALEXANDER  AMAYA HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36762
Concejo,CUNDINAMARCA,UTICA,ALONSO  DUQUE ZARATE,PARTIDO CONSERVADOR COLOMBIANO,36749
Concejo,CUNDINAMARCA,UTICA,ANA PAOLA HERNANDEZ HERNANDEZ,PARTIDO ALIANZA VERDE,36760
Concejo,CUNDINAMARCA,UTICA,ANGIE CATALINA BAUTISTA ARDILA,PARTIDO CONSERVADOR COLOMBIANO,36751
Concejo,CUNDINAMARCA,UTICA,ANGIE PAOLA MAHECHA BENAVIDES,PARTIDO LIBERAL COLOMBIANO,36734
Concejo,CUNDINAMARCA,UTICA,BAUTISTA  MOYANO CASTILLO,PARTIDO ALIANZA VERDE,36759
Concejo,CUNDINAMARCA,UTICA,BRIAN JAVIER BELTRAN CALDERON,PARTIDO LIBERAL COLOMBIANO,36732
Concejo,CUNDINAMARCA,UTICA,DIEGO ENRIQUE BELTRAN BOHORQUEZ,PARTIDO CONSERVADOR COLOMBIANO,36748
Concejo,CUNDINAMARCA,UTICA,DINA MARCELA CASTAÑEDA TRIANA,PARTIDO CONSERVADOR COLOMBIANO,36752
Concejo,CUNDINAMARCA,UTICA,EDGAR ANDRES MAHECHA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,36747
Concejo,CUNDINAMARCA,UTICA,FERNANDO  QUECAN AMAYA,PARTIDO CENTRO DEMOCRATICO,36743
Concejo,CUNDINAMARCA,UTICA,HENRY HERNAN MOYANO MOJICA,PARTIDO CENTRO DEMOCRATICO,36742
Concejo,CUNDINAMARCA,UTICA,JENNYFER  JIMENEZ HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,36741
Concejo,CUNDINAMARCA,UTICA,JOE  CIFUENTES BERMUDEZ,PARTIDO CENTRO DEMOCRATICO,36739
Concejo,CUNDINAMARCA,UTICA,JOSE LUIS VANEGAS HERNANDEZ,PARTIDO ALIANZA VERDE,36758
Concejo,CUNDINAMARCA,UTICA,JOSE WILSON PEREZ LEON,PARTIDO CAMBIO RADICAL,36756
Concejo,CUNDINAMARCA,UTICA,JUAN PABLO ANZOLA NIÑO,PARTIDO LIBERAL COLOMBIANO,36733
Concejo,CUNDINAMARCA,UTICA,LUIS FERNANDO MONTOYA ESCARRAGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36761
Concejo,CUNDINAMARCA,UTICA,MAGALI ALEXANDRA DUARTE CASTILLO,PARTIDO CENTRO DEMOCRATICO,36740
Concejo,CUNDINAMARCA,UTICA,MAGNOLIA  CIFUENTES MAHECHA,PARTIDO CAMBIO RADICAL,36755
Concejo,CUNDINAMARCA,UTICA,MANUEL JESUS PANATA GALVAN,PARTIDO CAMBIO RADICAL,36757
Concejo,CUNDINAMARCA,UTICA,MARTHA CECILIA SEGURA DELGADO,PARTIDO CAMBIO RADICAL,36753
Concejo,CUNDINAMARCA,UTICA,MILTON  MAHECHA MAHECHA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36765
Concejo,CUNDINAMARCA,UTICA,ROBERT  MONTERO GALINDO,PARTIDO CAMBIO RADICAL,36754
Concejo,CUNDINAMARCA,UTICA,RODRIGO  CIFUENTES MARROQUIN,PARTIDO CENTRO DEMOCRATICO,36738
Concejo,CUNDINAMARCA,UTICA,ROGER EDUARDO SILVA HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,36746
Concejo,CUNDINAMARCA,UTICA,SANDRA PATRICIA VANEGAS TRIANA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36763
Concejo,CUNDINAMARCA,UTICA,SANDRA ROCIO OLAYA REINA,PARTIDO CONSERVADOR COLOMBIANO,36750
Concejo,CUNDINAMARCA,UTICA,SERGIO ALONSO CALDERON JIMENEZ,PARTIDO COLOMBIA JUSTA LIBRES,36745
Concejo,CUNDINAMARCA,UTICA,SINDY ROXANA BALLESTEROS ,PARTIDO LIBERAL COLOMBIANO,36731
Concejo,CUNDINAMARCA,UTICA,VIVIAN LISETH MARTINEZ BELTRAN,PARTIDO CENTRO DEMOCRATICO,36744
Concejo,CUNDINAMARCA,UTICA,WILMER  BELTRAN OLAYA,PARTIDO LIBERAL COLOMBIANO,36736
Concejo,CUNDINAMARCA,UTICA,WILMER JOSE MAHECHA CASTAÑEDA,PARTIDO LIBERAL COLOMBIANO,36737
Concejo,CUNDINAMARCA,UTICA,YENY ASTRID MAHECHA ,PARTIDO LIBERAL COLOMBIANO,36735
Concejo,CUNDINAMARCA,UTICA,YESICA PAOLA BERNAL CASTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36764
