corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,VILLAGOMEZ,ADOLFO ANIBAL MUÑOZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,36920
Concejo,CUNDINAMARCA,VILLAGOMEZ,AIDA LILIANA HERNANDEZ VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36937
Concejo,CUNDINAMARCA,VILLAGOMEZ,ANA BELEN DUARTE HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,36926
Concejo,CUNDINAMARCA,VILLAGOMEZ,ANGEL OCTAVIO MONCADA MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36936
Concejo,CUNDINAMARCA,VILLAGOMEZ,ANGELA MIREYA ACEVEDO IBARRA,PARTIDO CAMBIO RADICAL,36931
Concejo,CUNDINAMARCA,VILLAGOMEZ,CARLOS ALBERTO VARGAS SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,36925
Concejo,CUNDINAMARCA,VILLAGOMEZ,CARLOS DILFREDO RAMIREZ CALDERON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36934
Concejo,CUNDINAMARCA,VILLAGOMEZ,DEISY SUSANA MENDEZ ALFONSO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36933
Concejo,CUNDINAMARCA,VILLAGOMEZ,DUVIS MARINELA RAMIREZ GARZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36939
Concejo,CUNDINAMARCA,VILLAGOMEZ,FERNANDO  AVILA MELENDEZ,PARTIDO CONSERVADOR COLOMBIANO,36923
Concejo,CUNDINAMARCA,VILLAGOMEZ,HECTOR MIGUEL LOPEZ VARGAS,PARTIDO CENTRO DEMOCRATICO,36922
Concejo,CUNDINAMARCA,VILLAGOMEZ,HECTOR NIBARDO SEGURA RAMOS,PARTIDO CAMBIO RADICAL,36930
Concejo,CUNDINAMARCA,VILLAGOMEZ,JEFFERSON DAVID CHOACHI VEGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,36932
Concejo,CUNDINAMARCA,VILLAGOMEZ,JOSE FRANCISCO PRIETO LEON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36941
Concejo,CUNDINAMARCA,VILLAGOMEZ,JOSE LIRIO RODRIGUEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36938
Concejo,CUNDINAMARCA,VILLAGOMEZ,LEIDY MARCELA BABATIVA BELTRAN,PARTIDO CENTRO DEMOCRATICO,36921
Concejo,CUNDINAMARCA,VILLAGOMEZ,LUIS ALFONSO BUITRAGO FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,36918
Concejo,CUNDINAMARCA,VILLAGOMEZ,LUIS ALFONSO MORENO SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36940
Concejo,CUNDINAMARCA,VILLAGOMEZ,LUIS ARTURO MENDEZ ,PARTIDO CONSERVADOR COLOMBIANO,36929
Concejo,CUNDINAMARCA,VILLAGOMEZ,LUZ AURORA PALACIO NIETO,PARTIDO CONSERVADOR COLOMBIANO,36928
Concejo,CUNDINAMARCA,VILLAGOMEZ,MARIA ALICIA ACOSTA ,PARTIDO CONSERVADOR COLOMBIANO,36924
Concejo,CUNDINAMARCA,VILLAGOMEZ,MARIA EUGENIA AHUMADA RINCON,PARTIDO CENTRO DEMOCRATICO,36919
Concejo,CUNDINAMARCA,VILLAGOMEZ,MARY LUZ URBINA VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,36935
