corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,VILLAPINZON,ANA ELIZABETH ROMERO MORENO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37015
Concejo,CUNDINAMARCA,VILLAPINZON,ANA ELVIA BARRANTES RUBIANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37018
Concejo,CUNDINAMARCA,VILLAPINZON,ANGIE JESSEL ROMERO OLAYA,PARTIDO ADA,36973
Concejo,CUNDINAMARCA,VILLAPINZON,ANGIE PAOLA GORDILLO MELO,PARTIDO CONSERVADOR COLOMBIANO,36987
Concejo,CUNDINAMARCA,VILLAPINZON,BLANCA CECILIA LOPEZ PINZON,PARTIDO ALIANZA VERDE,37006
Concejo,CUNDINAMARCA,VILLAPINZON,BLANCA ISABEL BARRERO DUARTE,PARTIDO ALIANZA VERDE,37004
Concejo,CUNDINAMARCA,VILLAPINZON,CARLOS  LOPEZ ESPITIA,PARTIDO ADA,36975
Concejo,CUNDINAMARCA,VILLAPINZON,CARLOS ALFONSO CHACON CAICEDO,PARTIDO ALIANZA VERDE,37002
Concejo,CUNDINAMARCA,VILLAPINZON,CARLOS FERNANDO FORIGUA ORJUELA,PARTIDO CAMBIO RADICAL,36995
Concejo,CUNDINAMARCA,VILLAPINZON,CARLOS JULIO ABRIL SANDOVAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37014
Concejo,CUNDINAMARCA,VILLAPINZON,CESAR SMITH PINZON PINZON,PARTIDO ADA,36976
Concejo,CUNDINAMARCA,VILLAPINZON,CLAUDIA YANETH CARDENAS GOMEZ,PARTIDO CENTRO DEMOCRATICO,36958
Concejo,CUNDINAMARCA,VILLAPINZON,CRISTIAN CAMILO ORJUELA URREGO,PARTIDO CENTRO DEMOCRATICO,36954
Concejo,CUNDINAMARCA,VILLAPINZON,DEMETRIO  HEREDIA VELA,PARTIDO CONSERVADOR COLOMBIANO,36989
Concejo,CUNDINAMARCA,VILLAPINZON,DIANA KATERINE ROMERO GARCIA,PARTIDO ALIANZA VERDE,37008
Concejo,CUNDINAMARCA,VILLAPINZON,DIANA MARCELA QUINTERO PINZON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36966
Concejo,CUNDINAMARCA,VILLAPINZON,DIEGO ARMANDO CAMPOS MARTINEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36964
Concejo,CUNDINAMARCA,VILLAPINZON,DIEGO FERNANDO GARCIA ABRIL,PARTIDO ALIANZA VERDE,37005
Concejo,CUNDINAMARCA,VILLAPINZON,DIOMEDES  BENAVIDES MONROY,PARTIDO CONSERVADOR COLOMBIANO,36982
Concejo,CUNDINAMARCA,VILLAPINZON,DORA ALICIA ABRIL GIL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36969
Concejo,CUNDINAMARCA,VILLAPINZON,EDILMA  ROMERO ORJUELA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37016
Concejo,CUNDINAMARCA,VILLAPINZON,EDISON GABRIEL FERNANDEZ MONROY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37022
Concejo,CUNDINAMARCA,VILLAPINZON,EDUARD ARMANDO ABRIL GIL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36959
Concejo,CUNDINAMARCA,VILLAPINZON,FABIO  GOMEZ CASALLAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37032
Concejo,CUNDINAMARCA,VILLAPINZON,FABIO NELSON LOPEZ PRIETO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37019
Concejo,CUNDINAMARCA,VILLAPINZON,FLOR AMELIA TORRES RAMOS,PARTIDO CAMBIO RADICAL,36992
Concejo,CUNDINAMARCA,VILLAPINZON,FLOR JANETH CASTRO GARCIA,PARTIDO LIBERAL COLOMBIANO,36949
Concejo,CUNDINAMARCA,VILLAPINZON,FRANCISCO ANTONIO REY RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37037
Concejo,CUNDINAMARCA,VILLAPINZON,FREDY HERNAN AREVALO VELANDIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,36965
