corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,VIOTA,ALBA MARIANA ORTEGA TORO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37252
Concejo,CUNDINAMARCA,VIOTA,ALEJANDRO  GONZALEZ IBARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37191
Concejo,CUNDINAMARCA,VIOTA,ALEXANDER  SOTELO VARGAS,PARTIDO ALIANZA VERDE,37227
Concejo,CUNDINAMARCA,VIOTA,ALVARO  AYALA GONZALEZ,COLOMBIA HUMANA UP. FARC,37275
Concejo,CUNDINAMARCA,VIOTA,ALVARO GUILLERMO AGUDELO MENDOZA,COLOMBIA HUMANA UP. FARC,37272
Concejo,CUNDINAMARCA,VIOTA,AMPARO  GOMEZ MONTOYA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37262
Concejo,CUNDINAMARCA,VIOTA,ANDRES FELIPE PINEDA CUBILLOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,37237
Concejo,CUNDINAMARCA,VIOTA,ANGEL ANDRES GAITAN CASTILLO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,37270
Concejo,CUNDINAMARCA,VIOTA,APULEYO  MORALES RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,37200
Concejo,CUNDINAMARCA,VIOTA,BENITO  DIAZ RODRIGUEZ,COLOMBIA HUMANA UP. FARC,37274
Concejo,CUNDINAMARCA,VIOTA,BERNARDO  ROJAS SANMIGUEL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37187
Concejo,CUNDINAMARCA,VIOTA,BLANCA NELLY JUNCA GALINDO,PARTIDO CENTRO DEMOCRATICO,37181
Concejo,CUNDINAMARCA,VIOTA,CAMILO ANDRES RODRIGUEZ CALDERON,PARTIDO CAMBIO RADICAL,37217
Concejo,CUNDINAMARCA,VIOTA,CARLOS ALBERTO SARAVIA CONTRERAS,PARTIDO CAMBIO RADICAL,37214
