corp,dpto,mpio,name,party,wp_no
Concejo,CUNDINAMARCA,ZIPACON,ADONIS FARID MOLINA VANEGAS,PARTIDO ALIANZA VERDE,37408
Concejo,CUNDINAMARCA,ZIPACON,ANGELA MILEIDY TORRES ZABALA,PARTIDO LIBERAL COLOMBIANO,37359
Concejo,CUNDINAMARCA,ZIPACON,ANGELA NATALIA GALINDO GALINDO,PARTIDO CONSERVADOR COLOMBIANO,37389
Concejo,CUNDINAMARCA,ZIPACON,ANGIE KATERINE AZA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,37366
Concejo,CUNDINAMARCA,ZIPACON,ARLEY STIVEN SUAREZ PEÑA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37377
Concejo,CUNDINAMARCA,ZIPACON,BLANCA NUBIA SOLANO PARDO,PARTIDO CAMBIO RADICAL,37399
Concejo,CUNDINAMARCA,ZIPACON,BRAYAN STIVEN SALAZAR MOLINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37380
Concejo,CUNDINAMARCA,ZIPACON,CARLOS ALBERTO DIAZ CABIATIVA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37417
Concejo,CUNDINAMARCA,ZIPACON,CARLOS TULIO GONGORA ,PARTIDO CAMBIO RADICAL,37395
Concejo,CUNDINAMARCA,ZIPACON,CLAUDIA PATRICIA DUQUE TIJO,PARTIDO ALIANZA VERDE,37406
Concejo,CUNDINAMARCA,ZIPACON,CONSTANTINO  GARCIA MOLINA,PARTIDO CAMBIO RADICAL,37398
Concejo,CUNDINAMARCA,ZIPACON,DAIRO ANDRES TORRES LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37378
Concejo,CUNDINAMARCA,ZIPACON,DIANA MIREYA LUIS PEÑA,PARTIDO CAMBIO RADICAL,37401
Concejo,CUNDINAMARCA,ZIPACON,DIEGO ANDRES PEREZ SIERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37374
Concejo,CUNDINAMARCA,ZIPACON,DILSA ROCIO REY MORENO,PARTIDO ALIANZA VERDE,37405
Concejo,CUNDINAMARCA,ZIPACON,DOLLY ANDREA ALFONSO GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37379
Concejo,CUNDINAMARCA,ZIPACON,ELIANA LISETH TORRES JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37428
Concejo,CUNDINAMARCA,ZIPACON,ERNESTO  PULIDO DAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37430
Concejo,CUNDINAMARCA,ZIPACON,ESNEIDER  CASTELLANOS MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37376
Concejo,CUNDINAMARCA,ZIPACON,EZEQUIEL  MOLINA MOLINA,PARTIDO LIBERAL COLOMBIANO,37361
Concejo,CUNDINAMARCA,ZIPACON,FABIAN ALBERTO MURILLO MOLINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37418
Concejo,CUNDINAMARCA,ZIPACON,FABIO ENRIQUE GALINDO GOMEZ,PARTIDO COLOMBIA JUSTA LIBRES,37383
Concejo,CUNDINAMARCA,ZIPACON,FERNANDO DE JESUS RIVERA MATEUS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37429
Concejo,CUNDINAMARCA,ZIPACON,FLOR CLEMENCIA GARZON SALINAS,PARTIDO COLOMBIA JUSTA LIBRES,37386
Concejo,CUNDINAMARCA,ZIPACON,HEBERTO OVIDIO CORREA FORERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37422
Concejo,CUNDINAMARCA,ZIPACON,HEIBER JAHIR SILVA SILVA,PARTIDO CONSERVADOR COLOMBIANO,37390
Concejo,CUNDINAMARCA,ZIPACON,HUGO FABIAN GONZALEZ MOLINA,PARTIDO CONSERVADOR COLOMBIANO,37393
Concejo,CUNDINAMARCA,ZIPACON,ISRAEL  BOLIVAR SAENZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37420
Concejo,CUNDINAMARCA,ZIPACON,IVAN ALFREDO GOMEZ MOLINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37372
Concejo,CUNDINAMARCA,ZIPACON,IVAN FELIPE LINARES SANCHEZ,PARTIDO ALIANZA VERDE,37411
Concejo,CUNDINAMARCA,ZIPACON,JAIME HUMBERTO JURADO ,PARTIDO LIBERAL COLOMBIANO,37365
Concejo,CUNDINAMARCA,ZIPACON,JENNY JULIETH MONTOYA TOVAR,PARTIDO ALIANZA VERDE,37409
Concejo,CUNDINAMARCA,ZIPACON,JENNY MILENA LUIS CITA,PARTIDO COLOMBIA JUSTA LIBRES,37384
Concejo,CUNDINAMARCA,ZIPACON,JHON BRAULIO CUERVO RUIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37419
Concejo,CUNDINAMARCA,ZIPACON,JHON MAURICIO AVILA MOLINA,PARTIDO CONSERVADOR COLOMBIANO,37387
Concejo,CUNDINAMARCA,ZIPACON,JOSE ALFREDO MUÑOZ VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37415
Concejo,CUNDINAMARCA,ZIPACON,JOSE ANTONIO BARON ROJAS,PARTIDO LIBERAL COLOMBIANO,37363
Concejo,CUNDINAMARCA,ZIPACON,JOSE DEL CARMEN GOMEZ RAMIREZ,PARTIDO LIBERAL COLOMBIANO,37360
Concejo,CUNDINAMARCA,ZIPACON,JOSE IGNACIO PRIETO MORENO,PARTIDO CAMBIO RADICAL,37397
Concejo,CUNDINAMARCA,ZIPACON,JUAN PABLO CAÑON RODRIGUEZ,PARTIDO ALIANZA VERDE,37410
Concejo,CUNDINAMARCA,ZIPACON,JULIAN EDUARDO ZAPATA CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,37388
Concejo,CUNDINAMARCA,ZIPACON,JULIO ARISTIPO ESPINOSA HERRERA,PARTIDO CENTRO DEMOCRATICO,37370
Concejo,CUNDINAMARCA,ZIPACON,JULIO ENRIQUE CORREA HINCAPIE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37426
Concejo,CUNDINAMARCA,ZIPACON,KEILA ALEJANDRA NORIEGA PINEDA,PARTIDO CONSERVADOR COLOMBIANO,37394
Concejo,CUNDINAMARCA,ZIPACON,KELVYN  MANTILLA LEON,PARTIDO CENTRO DEMOCRATICO,37369
Concejo,CUNDINAMARCA,ZIPACON,LEIDY ESPERANZA MUÑOZ RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37416
Concejo,CUNDINAMARCA,ZIPACON,LINA HAPSBLEIDY RIAÑO BENAVIDES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37375
Concejo,CUNDINAMARCA,ZIPACON,LUIS  DE NARVAEZ MARTINEZ,PARTIDO ALIANZA VERDE,37407
Concejo,CUNDINAMARCA,ZIPACON,LUIS EDUARDO LUENGAS PARADA,PARTIDO CAMBIO RADICAL,37396
Concejo,CUNDINAMARCA,ZIPACON,LUIS EDUARDO SARMIENTO AGUIAR,PARTIDO CONSERVADOR COLOMBIANO,37391
Concejo,CUNDINAMARCA,ZIPACON,LUZ DARY LLANOS GONZALEZ,PARTIDO CENTRO DEMOCRATICO,37368
Concejo,CUNDINAMARCA,ZIPACON,LUZ MIRY RAMOS TORO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37414
Concejo,CUNDINAMARCA,ZIPACON,LUZ STELLA GALINDO SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,37392
Concejo,CUNDINAMARCA,ZIPACON,MARIA CRISTINA MORA ESTUPIÑAN,PARTIDO LIBERAL COLOMBIANO,37362
Concejo,CUNDINAMARCA,ZIPACON,MARIA TERESA ARDILA DE BENITO,PARTIDO CENTRO DEMOCRATICO,37371
Concejo,CUNDINAMARCA,ZIPACON,MARIYORY  LARROTA GUEVARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37424
Concejo,CUNDINAMARCA,ZIPACON,MARTHA LUCIA CORREDOR CAMELO,PARTIDO COLOMBIA JUSTA LIBRES,37385
Concejo,CUNDINAMARCA,ZIPACON,MAURICIO  GARCIA BERNAL,PARTIDO CAMBIO RADICAL,37402
Concejo,CUNDINAMARCA,ZIPACON,MILCIADES  CORTES VALENZUELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37427
Concejo,CUNDINAMARCA,ZIPACON,OLANDA  CASTIBLANCO CASTRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37421
Concejo,CUNDINAMARCA,ZIPACON,OLGA INES VARGAS PARADA,PARTIDO ALIANZA VERDE,37404
Concejo,CUNDINAMARCA,ZIPACON,OLGA MIREYA PACHON CASASBUENAS,PARTIDO LIBERAL COLOMBIANO,37364
Concejo,CUNDINAMARCA,ZIPACON,OLIVERIO  ORTIZ ,PARTIDO LIBERAL COLOMBIANO,37358
Concejo,CUNDINAMARCA,ZIPACON,OMAR HERNANDO BOTON FARFAN,PARTIDO CAMBIO RADICAL,37403
Concejo,CUNDINAMARCA,ZIPACON,RICARDO  MARTINEZ MATIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37423
Concejo,CUNDINAMARCA,ZIPACON,RITO MANUEL FAJARDO MAYORGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,37413
Concejo,CUNDINAMARCA,ZIPACON,ROCIO  REYES RODRIGUEZ,PARTIDO CAMBIO RADICAL,37400
Concejo,CUNDINAMARCA,ZIPACON,RODOLFO  LOPEZ SIERRA,PARTIDO LIBERAL COLOMBIANO,37357
Concejo,CUNDINAMARCA,ZIPACON,RUBEN DARIO GUTIERREZ AREVALO,PARTIDO COLOMBIA JUSTA LIBRES,37381
Concejo,CUNDINAMARCA,ZIPACON,RUTH ELVIRA ALAGUNA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,37425
Concejo,CUNDINAMARCA,ZIPACON,WHEYMAR HERNAN PRIETO IBAÑEZ,PARTIDO ALIANZA VERDE,37412
Concejo,CUNDINAMARCA,ZIPACON,WILLIAM FABIAN CLAVIJO BENAVIDES,PARTIDO COLOMBIA JUSTA LIBRES,37382
Concejo,CUNDINAMARCA,ZIPACON,YANIRA  JIMENEZ HEREDIA,PARTIDO CENTRO DEMOCRATICO,37367
Concejo,CUNDINAMARCA,ZIPACON,YENNI ALEJANDRA ABRIL RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,37373
