corp,dpto,mpio,name,party,wp_no
Concejo,GUAVIARE,MIRAFLORES,ABELARDO  CORRALES ROMERO,PARTIDO CAMBIO RADICAL,92647
Concejo,GUAVIARE,MIRAFLORES,AGUSTIN  MURCIA MORENO,PARTIDO CONSERVADOR COLOMBIANO,92644
Concejo,GUAVIARE,MIRAFLORES,ANYUL SULMERY ROBAYO VEGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92661
Concejo,GUAVIARE,MIRAFLORES,ARMANDO  ACOSTA LEON,PARTIDO CONSERVADOR COLOMBIANO,92637
Concejo,GUAVIARE,MIRAFLORES,BRAHYAN ALEXANDER GONZALEZ DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92660
Concejo,GUAVIARE,MIRAFLORES,CARLOS ALBERTO MARTINEZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92665
Concejo,GUAVIARE,MIRAFLORES,CARLOS ALBERTO MOSQUERA FIGUEIRA,PARTIDO ALIANZA VERDE,92658
Concejo,GUAVIARE,MIRAFLORES,CARLOS ALBERTO PEÑUELA RAMIREZ,PARTIDO ALIANZA VERDE,92654
Concejo,GUAVIARE,MIRAFLORES,CARLOS EFRAIN DIAZ FINO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92667
Concejo,GUAVIARE,MIRAFLORES,CLARA LETTY NARIÑO GAITAN,PARTIDO CONSERVADOR COLOMBIANO,92635
Concejo,GUAVIARE,MIRAFLORES,DEYSI  SANTOS PEREA,PARTIDO CAMBIO RADICAL,92645
Concejo,GUAVIARE,MIRAFLORES,DEYSI BIBIANA GRACIANO HERRERA,PARTIDO LIBERAL COLOMBIANO,92623
Concejo,GUAVIARE,MIRAFLORES,DIDIER  GIRALDO CARDENAS,PARTIDO CONSERVADOR COLOMBIANO,92642
Concejo,GUAVIARE,MIRAFLORES,DORA  SANCHEZ RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,92634
Concejo,GUAVIARE,MIRAFLORES,ELEAZAR  ORTEGON ,PARTIDO CONSERVADOR COLOMBIANO,92636
Concejo,GUAVIARE,MIRAFLORES,ENCARNACION  ENCISO RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,92638
Concejo,GUAVIARE,MIRAFLORES,FRANCISCO  ALVAREZ ALVAREZ,PARTIDO LIBERAL COLOMBIANO,92631
Concejo,GUAVIARE,MIRAFLORES,FRANCISCO JAVIER RENDON DUQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92663
Concejo,GUAVIARE,MIRAFLORES,FRANKLIN  MENDEZ URREGO,PARTIDO LIBERAL COLOMBIANO,92628
Concejo,GUAVIARE,MIRAFLORES,GABRIEL  ROMERO MIRANDA,PARTIDO ALIANZA VERDE,92657
Concejo,GUAVIARE,MIRAFLORES,GABRIEL ORLANDO MORA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,92639
Concejo,GUAVIARE,MIRAFLORES,GLADYS  VALENCIA VARGAS,PARTIDO CAMBIO RADICAL,92648
Concejo,GUAVIARE,MIRAFLORES,JHEFFERSSON FERNEY CANACUE DIAZ,PARTIDO CONSERVADOR COLOMBIANO,92640
Concejo,GUAVIARE,MIRAFLORES,JOSE ANTONIO GARCIA PEREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92662
Concejo,GUAVIARE,MIRAFLORES,JOSE EDGAR AGUDELO ,PARTIDO LIBERAL COLOMBIANO,92629
Concejo,GUAVIARE,MIRAFLORES,JOSE NAUM CASTILLO GARCIA,PARTIDO CAMBIO RADICAL,92653
Concejo,GUAVIARE,MIRAFLORES,JOSE RICARDO MEZA ,PARTIDO CAMBIO RADICAL,92646
Concejo,GUAVIARE,MIRAFLORES,JOSE RICARDO PRADA MELGAR,PARTIDO CONSERVADOR COLOMBIANO,92641
Concejo,GUAVIARE,MIRAFLORES,KAREN MELISA ROMERO RODRIGUEZ,PARTIDO ALIANZA VERDE,92656
Concejo,GUAVIARE,MIRAFLORES,LEONARDO  LLANOS FANDIÑO,PARTIDO CAMBIO RADICAL,92651
Concejo,GUAVIARE,MIRAFLORES,LIBANIEL DE JESUS ROMERO TREJOS,PARTIDO LIBERAL COLOMBIANO,92633
Concejo,GUAVIARE,MIRAFLORES,LUIS HERNANDO PAPURI VILLALOBOS,PARTIDO LIBERAL COLOMBIANO,92630
Concejo,GUAVIARE,MIRAFLORES,LUIS YOBANY BELTRAN CETINA,PARTIDO LIBERAL COLOMBIANO,92627
Concejo,GUAVIARE,MIRAFLORES,LUISA FERNANDA CARDENAS CARDENAS,PARTIDO CONSERVADOR COLOMBIANO,92643
Concejo,GUAVIARE,MIRAFLORES,MARIA CAROLINA SANCHEZ MORALES,PARTIDO LIBERAL COLOMBIANO,92624
Concejo,GUAVIARE,MIRAFLORES,MARIA EDELMIRA LOMELIN GIL,PARTIDO LIBERAL COLOMBIANO,92632
Concejo,GUAVIARE,MIRAFLORES,MARIA INOCENCIA GARAVITO VACA,PARTIDO CAMBIO RADICAL,92649
Concejo,GUAVIARE,MIRAFLORES,MINELVA  SALGADO NARVAEZ,PARTIDO CAMBIO RADICAL,92650
Concejo,GUAVIARE,MIRAFLORES,MONICA YANIRA VANEGAS LOPEZ,PARTIDO ALIANZA VERDE,92659
Concejo,GUAVIARE,MIRAFLORES,NEHEMIAS  GONZALEZ ,PARTIDO LIBERAL COLOMBIANO,92626
Concejo,GUAVIARE,MIRAFLORES,OSWALDO  PAIVA PAIVA,PARTIDO ALIANZA VERDE,92655
Concejo,GUAVIARE,MIRAFLORES,PAOLA ANDREA SALDARRIAGA OROZCO,PARTIDO LIBERAL COLOMBIANO,92625
Concejo,GUAVIARE,MIRAFLORES,WILDER  CASTRO GALLEGO,PARTIDO CAMBIO RADICAL,92652
Concejo,GUAVIARE,MIRAFLORES,YESICA FAISULLY CAÑON ORQUIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92666
Concejo,GUAVIARE,MIRAFLORES,ZULY FANIN RIVERA SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92664
